ID,Output
1,"helpful_staff, easy_to_communicate_staff, no_evident_not_helpful_staff, no_evident_not_easy_to_communicate_staff"
2,"nice_staff, helpful_staff, no_evident_not_nice_staff, no_evident_not_helpful_staff"
4,"stuff_is_good, no_evident_not_stuff_is_good"
8,"personal_staff, no_evident_not_personal_staff"
9,"helpful_host, host_shows_us_bus_to_town_centre, town_centre, airport"
11,"amazing_staff, great_staff,staff_take_time_to_explain,staff_are_helpful,friendly_staff,staff_are_friendly,nice_staff,staff_are_nice,staff_are_friendly"
12,"exceptional_staff, helpful_staff, friendly_staff, staff_go_out_of_their_way_for_us, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_staff_go_out_of_their_way_for_us"
13,"welcoming_staff, felt_like_staying_with_family, no_evident_not_welcoming_staff, no_evident_not_felt_like_staying_with_family"
14,"staff_not_speak_English_properly, have_evident_staff_not_speak_English_properly"
15,make_it
17,"exceptional_staff, friendly_staff, supportive_staff, wishes_were_met"
18,"friendly_reception_staff, friendly_dining_staff, no_evident_not_friendly_reception_staff, no_evident_not_friendly_dining_staff"
20,"friendly_staff, no_evident_not_friendly_staff"
21,"super_staff, super_staff, super_kind_staff, no_evident_not_super_staff, no_evident_not_super_staff, no_evident_not_super_kind_staff"
22,"accommodating_staff, no_evident_not_accommodating_staff"
26,"wonderful_staff, friendly_staff, nice_staff, amazing_staff, no_evident_not_wonderful_staff, no_evident_not_friendly_staff, no_evident_not_staff_go_out_of_their_way_for_us, no_evident_not_staff_go_out_of_their_way_for_us"
27,"friendly_staff, no_evident_not_friendly_staff"
28,"polite_staff, caring_staff, no_evident_not_polite_staff, no_evident_not_caring_staff"
29,"helpful_staff, no_evident_not_helpful_staff"
30,"lovely_staff, great_service, no_evident_not_lovely_staff, no_evident_not_great_service"
31,"friendly_staff, no_evident_not_friendly_staff"
32,"kind_staff, no_evident_not_kind_staff"
33,"helpful_staff, no_evident_not_helpful_staff"
34,"welcoming_staff, no_evident_not_welcoming_staff"
36,"good_staff, clear_information, no_evident_not_good_staff, no_evident_not_clear_information"
37,"caring_staff, no_evident_not_caring_staff"
41,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
42,"hospitality_staff, no_evident_not_hospitality_staff"
44,"warm_welcome_at_reception, warm_welcome_by_dining_staff, no_evident_not_warm_welcome_at_reception, no_evident_not_warm_welcome_by_dining_staff"
47,"helpful_staff, taxi_collected_us, no_evident_not_helpful_staff, no_evident_not_taxi_collected_us"
48,"owner_is_good, no_evident_not_owner_is_good"
51,"helpful_staff, friendly_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff"
56,"amazing_hospitality, no_evident_not_amazing_hospitality"
57,"helpful_staff, taxi_ordered_for_us, staff_ordered_taxi_for_us, no_evident_not_helpful_staff, no_evident_not_taxi_ordered_for_us, no_evident_not_staff_ordered_taxi_for_us"
58,"nice_staff, helpful_staff, no_evident_not_nice_staff, no_evident_not_helpful_staff"
61,"good_service, no_evident_not_good_service"
62,"host_is_caring, no_evident_not_host_is_caring"
64,"staff_reached_out_in_advance, instructions_provided, reception_closes, no_evident_not_staff_reached_out_in_advance, no_evident_not_instructions_provided, no_evident_not_reception_closes"
66,"friendly_gentleman, lovely_smile, no_evident_not_friendly_gentleman, no_evident_not_lovely_smile"
67,"friendly_staff, no_evident_not_friendly_staff"
68,"friendly_staff, no_evident_not_friendly_staff"
69,"lovely_place, lovely_people, no_evident_not_lovely_place, no_evident_not_lovely_people"
70,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
71,"friendly_staff, nice_staff, no_evident_not_friendly_staff, no_evident_not_nice_staff"
73,"lovely_staff, staff_do_best_to_assist, staff_always_assist, no_evident_not_lovely_staff, no_evident_not_staff_do_best_to_assist, no_evident_not_staff_always_assist"
74,"friendly_staff, nice_staff, no_evident_not_friendly_staff, no_evident_not_nice_staff"
77,"helpful_staff, eager_staff, no_evident_not_helpful_staff, no_evident_not_eager_staff"
78,"friendly_staff, no_evident_not_friendly_staff"
79,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
82,"amazing_staff, no_evident_not_amazing_staff"
83,"nice_staff, friendly_staff, no_evident_not_nice_staff, no_evident_not_friendly_staff"
84,"good_staff, helpful_staff, polite_staff, caring_staff,staff_go_out_of_their_way_for_guests, no_evident_not_good_staff, no_evident_not_helpful_staff, no_evident_not_polite_staff, no_evident_not_caring_staff"
85,"friendly_personnel, no_evident_not_friendly_personnel"
85,"complaint_resolved, have_evident_complaint_resolved"
86,"friendly_staff, no_evident_not_friendly_staff"
87,"friendly_staff, no_evident_not_friendly_staff"
88,"friendly_staff, no_evident_not_friendly_staff"
91,"helpful_staff, friendly_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff"
94,"amazing_staff, no_evident_not_amazing_staff"
96,"nice_staff, no_evident_not_nice_staff"
97,"excellent_service, no_evident_not_excellent_service"
99,"wonderful_staff, no_evident_not_wonderful_staff"
100,"exceptional_staff, polite_staff, no_evident_not_exceptional_staff, no_evident_not_polite_staff"
101,"hospitable_staff, helpful_staff, no_evident_not_hospitable_staff, no_evident_not_helpful_staff"
102,"friendly_staff, no_evident_not_friendly_staff"
105,"nice_staff, no_evident_not_nice_staff"
106,"staff_learn_English, have_evident_staff_learn_English"
109,"helpful_staff, no_evident_not_helpful_staff"
113,"excellent_staff, accommodating_staff, no_evident_not_excellent_staff, no_evident_not_accommodating_staff"
114,"exceptional_staff, helpful_staff, friendly_staff, staff_emailed_me_via_booking_com, staff_asked_me_what_time_i_was_arriving, hotel_is_not_manned_24_7, arrangements_are_made_to_collect_room_key, staff_told_me_which_bus_routes_i_needed_to_take, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_staff_emailed_me_via_booking_com, no_evident_not_staff_asked_me_what_time_i_was_arriving, no_evident_not_hotel_is_not_manned_24_7, no_evident_not_arrangements_are_made_to_collect_room_key, no_evident_not_staff_told_me_which_bus_routes_i_needed_to_take"
115,"helpful_stuff, nice_stuff, no_evident_not_helpful_stuff, no_evident_not_nice_stuff"
118,"perfect_staff, staff_are_10_10, no_evident_not_perfect_staff, no_evident_not_staff_are_10_10"
119,"fantastic_service, friendly_staff, kind_staff, helpful_staff, no_evident_not_fantastic_service, no_evident_not_friendly_staff, no_evident_not_kind_staff, no_evident_not_helpful_staff, staff_able_to_accommodate_my_specific_needs"
120,"helpful_staff, no_evident_not_helpful_staff"
122,"friendly_staff, no_evident_not_friendly_staff"
123,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
124,"friendly_staff, no_evident_not_friendly_staff"
126,"helpful_staff, friendly_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff"
129,"kind_guy, helpful_guy, no_evident_not_kind_guy, no_evident_not_helpful_guy"
131,"nice_staff, no_evident_not_nice_staff"
132,"friendly_host, helpful_host, impeccable_service"
133,"helpful_staff, very_helpful_staff, no_evident_not_helpful_staff"
134,"great_staff, friendly_staff, no_evident_not_great_staff, no_evident_not_friendly_staff"
135,"great_staff, richard_is_a_star, no_evident_not_great_staff, no_evident_not_ richard_is_a_star"
137,"friendly_staff, no_evident_not_friendly_staff"
138,"helpful_personel, kind_personel, no_evident_not_helpful_personel, no_evident_not_kind_personel"
141,"wonderful_staff, no_evident_not_wonderful_staff"
142,"convenient_staff, friendly_staff, no_evident_not_convenient_staff, no_evident_not_friendly_staff"
145,"friendly_staff, made_everything_possible_for_our_stay_to_be_perfect, no_evident_not_friendly_staff, no_evident_not_made_everything_possible_for_our_stay_to_be_perfect"
146,"friendly_staff, staff_make_this_hotel, no_evident_not_friendly_staff"
147,"amazing_staff, no_evident_not_amazing_staff"
149,"friendly_staff, staff_let_us_into_room, staff_arranged_airport_taxi, no_evident_not_friendly_staff, no_evident_not_staff_let_us_into_room, no_evident_not_staff_arranged_airport_taxi"
153,"friendly_staff, quick_check_in, luggage_storage, taxi_call, no_evident_not_friendly_staff, no_evident_not_quick_check_in, no_evident_not_luggage_storage, no_evident_not_taxi_call"
154,"lovely_staff, no_evident_not_lovely_staff"
158,"great_staff, no_evident_not_great_staff"
159,"friendly_staff, no_evident_not_friendly_staff"
162,"exceptional_staff, friendly_staff, no_evident_not_exceptional_staff, no_evident_not_friendly_staff"
164,"accommodating_staff, friendly_staff, no_evident_not_accommodating_staff, no_evident_not_friendly_staff"
165,"friendly_staff, no_evident_not_friendly_staff"
167,"excellent_staff, excellent_service, no_evident_not_excellent_staff, no_evident_not_excellent_service"
169,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
171,"welcoming_staff, no_evident_not_welcoming_staff"
