ID,Output
2,"clean
no evident not clean

well decorated
no evident not well decorated

modern
no evident not modern

not big
no evident not not big"
4,"clean no evident not clean
dirty no evident not dirty"
5,"clean
modern
comfortable beds
no evident not clean
no evident not modern
no evident not comfortable beds"
6,"good_room
clean
no evident not clean
comfortable_bed
no evident not comfortable_bed"
10,"good_room
no_evident_not_good_room
good_room
no_evident_not_good_room"
11,"spacious no evident not spacious
clean no evident not clean
upgraded no evident not upgraded"
12,"clean
not clean

comfortable
not comfortable"
13,"good_room
no_evident_not_good_room
clean
no_evident_not_clean
comfortable
no_evident_not_comfortable
new
no_evident_not_new
lovely
no_evident_not_lovely
mattress_to_taste
no_evident_not_mattress_to_taste"
14,bad_room have evident noise airplane takeoff landing bad_room have evident silence no airplane activity
16,"good_room
spacious
no evident not spacious
clean
no evident not clean
nice_window_view
no evident not nice_window_view"
17,"good_room
balcony
no_evident_not_balcony
sea_view
no_evident_not_sea_view
surrounding_area_view
no_evident_not_surrounding_area_view"
20,"clean
no evident not clean"
21,"clean no evident not clean
nice no evident not nice
comfortable no evident not comfortable"
22,"good_room
new
clean
shiny
perfect
comfortable
roomy
no_evident_not_new
no_evident_not_clean
no_evident_not_shiny
no_evident_not_perfect
no_evident_not_comfortable
no_evident_not_roomy"
22,"bad_room
have evident need_more_drawers
have evident fridge_late_arrival
have evident shower_cold_initially"
23,"good_room
no_evident_not_comfortable

good_room
no_evident_not_comfortable"
24,"good_room
no_evident_not_good_room"
25,"clean
quiet
no evident not clean
no evident not quiet"
26,"good_room
size_good
no_evident_not_size_good

layout_good
no_evident_not_layout_good

bathroom_good
no_evident_not_bathroom_good

balcony_good
no_evident_not_balcony_good"
27,"good_room
no_evident_not_so_comfortable
good_room
no_evident_not_clean"
29,"clean functional rooms
no evident not clean functional rooms
functional rooms
no evident not functional rooms
very clean
no evident not very clean
functional
no evident not functional"
30,"- good_room
- no_evident_not_good_room"
31,"good_room
clean_room
comfortable_room
no_evident_not_clean_room
no_evident_not_comfortable_room"
32,"bed great
bed no evident not great

Rooms clean
Rooms no evident not clean"
33,"clean
no evident not clean

modern furniture
no evident not modern furniture

max comfortable
no evident not max comfortable"
33,"noisy
have evident quiet

bad_lighting
have evident good_lighting

uncomfortable_bed
have evident comfortable_bed

poor_cleanliness
have evident good_cleanliness

lack_of_entertainment_options
have evident variety_of_entertainment_options"
34,"hooks have evident more on walls for towels etc.
hooks have evident less on walls for towels etc."
35,"bad_room
have evident problem_with_heating_water
have evident couldn't_manage_to_have_a_proper_shower
have evident problem_with_heating_water
have evident could_manage_to_have_a_proper_shower"
36,"smaller have evident more spacious
acceptable have evident unacceptable
fussy have evident unfussy"
36,"clean
no evident not clean

comfortable
no evident not comfortable"
37,"clean
not_clean

good_room
bad_room"
38,"good_room
nice
cool
no_evident_not_nice
no_evident_not_cool"
39,"clean
spacious
no evident not clean
no evident not spacious"
40,"bad_room
have evident no curtain
have evident no blind"
