ID,Topic,Output
1,good_location,"close_to_airport, close_to_clean_beach, no_evident_not_close_to_airport, no_evident_not_close_to_clean_beach"
3,good_location,"location_is_great, near_airport, bus_stop_close, no_evident_not_location_is_great, no_evident_not_near_airport, no_evident_not_bus_stop_close"
5,good_location,"convenient_location, easy_stroll, nice_restaurants, great_beach, no_evident_not_convenient_location, no_evident_not_easy_stroll, no_evident_not_nice_restaurants, no_evident_not_great_beach"
8,good_location,"nice_location, no_evident_not_nice_location"
10,good_location,"quiet_location, no_evident_not_quiet_location"
11,good_location,"bus_stop_minutes_walk, bus_stop_2_euros, no_evident_bus_stop_minutes_walk, no_evident_bus_stop_2_euros"
13,good_location,"short_drive_to_airport, well_located, close_to_promenade, near_coffee_shops_restaurants, no_evident_not_short_drive_to_airport, no_evident_not_well_located, no_evident_not_close_to_promenade, no_evident_not_near_coffee_shops_restaurants"
14,good_location,"close_to_airport, close_to_clean_beach, no_evident_not_close_to_airport, no_evident_not_close_to_clean_beach, good_restaurants_nearby, no_evident_not_good_restaurants_nearby"
15,good_location,"reasonably_close_to_airport, near_clean_beach, no_evident_not_reasonably_close_to_airport, no_evident_not_near_clean_beach"
15,bad_location,"near_edge_Larnaca_with_frequent_busses_to_centre, have_evident_near_edge_Larnaca_with_frequent_busses_to_centre"
18,good_location,"bus_every_20_minutes_to_centre_of_Larnaka, no_evident_not_bus_every_20_minutes_to_centre_of_Larnaka"
19,good_location,"close_to_airport, no_evident_not_close_to_airport"
26,good_location,"near_beach, near_lake, no_evident_not_near_beach, no_evident_not_near_lake"
27,good_location,"perfect_for_overnight_stay, perfect_for_flying_from_Larnaca_Airport, no_evident_not_perfect_for_overnight_stay, no_evident_not_perfect_for_flying_from_Larnaca_Airport"
28,bad_location,"surrounding_buildings_under_construction, have_evident_surrounding_buildings_under_construction"
30,good_location,"great_location_for_restaurants, great_location_for_short_drive_to_airport, no_evident_not_great_location_for_restaurants, no_evident_not_great_location_for_short_drive_to_airport"
