ID,Prompt,Topic,Output,Error
1,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",good_food,"tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work",
2,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",good_food,"amazing_breakfast, fresh_breakfast, handmade_breakfast, vegetarian_version_with_humus, great_cook, kind_staff, helpful_staff, no_evident_not_amazing_breakfast, no_evident_not_fresh_breakfast, no_evident_not_handmade_breakfast, no_evident_not_vegetarian_version_with_humus, no_evident_not_great_cook, no_evident_not_kind_staff, no_evident_not_helpful_staff",
11,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] Oh yeah the food is great to and very reasonable prices ..",good_food,"great_food, reasonable_prices, no_evident_not_great_food, no_evident_not_reasonable_prices",
12,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] The breakfast was lovely with room service too.",good_food,"lovely_breakfast, room_service, no_evident_not_lovely_breakfast, no_evident_not_room_service",
16,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",good_food,"restaurant_amazing, food_tasty, food_made_with_care, care_about_details, olive_oil_galore, herbs, food_delicious, no_evident_not_restaurant_amazing, no_evident_not_food_tasty, no_evident_not_food_made_with_care, no_evident_not_care_about_details, no_evident_not_olive_oil_galore, no_evident_not_herbs, no_evident_not_food_delicious",
18,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] Meals well prepared and good value.",good_food,"meals_well_prepared, good_value, no_evident_not_meals_well_prepared, no_evident_not_good_value",
21,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] Everything from breakfast to dinner is absolutely delicious.",good_food,"delicious_breakfast, delicious_dinner, no_evident_not_delicious_breakfast, no_evident_not_delicious_dinner",
22,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""bad_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""have evident"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Ordered pizza one night and was not great, too stodgy

---
ASSISTANT:
not_great_pizza, stodgy_pizza, have_evident_not_great_pizza, have_evident_stodgy_pizza

---
USER:
[Text] Ordered pizza one night and was not great, too stodgy",bad_food,"not_great_pizza, stodgy_pizza, have_evident_not_great_pizza, have_evident_stodgy_pizza",
22,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] The restaurant area is nice",good_food,"nice_restaurant_area, no_evident_not_nice_restaurant_area",
26,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] There is a great restaurant inside where the food is good and not to pricey.",good_food,"great_restaurant, food_good, not_pricey, no_evident_not_great_restaurant, no_evident_not_food_good, no_evident_not_not_pricey",
31,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] Great restaurant beneath the hotel - food excellent & reasonably priced.",good_food,"great_restaurant, excellent_food, reasonably_priced, no_evident_not_great_restaurant, no_evident_not_excellent_food, no_evident_not_reasonably_priced",
33,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_food"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---
USER:
[Text] Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday

---
ASSISTANT:
tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work

---
USER:
[Text] Option to have a good breakfast within the hotel save your time.",good_food,"good_breakfast, no_evident_not_good_breakfast",
