ID,Prompt,PhraseA,PhraseB,Test 2
1,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is helpful_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,helpful_staff,Yes
2,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is easy_to_communicate_with. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,easy_to_communicate_with,No
3,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is nice_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,nice_staff,No
4,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is great_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,great_staff,Yes
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is lovely_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,lovely_staff,No
6,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_show_how_nearby_bus_take_to_town_center. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_show_how_nearby_bus_take_to_town_center,No
7,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_show_how_nearby_bus_take_to_airport. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_show_how_nearby_bus_take_to_airport,No
8,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is amazing_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,amazing_staff,Yes
9,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is beyond_expectation. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,beyond_expectation,No
10,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_take_time_to_explain. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_take_time_to_explain,Yes
11,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is friendliest_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,friendliest_staff,No
12,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is friendly_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,friendly_staff,No
13,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is nice_to_talk_to. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,nice_to_talk_to,No
14,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is exceptional_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,exceptional_staff,No
15,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_go_out_of_their_way_for_us. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_go_out_of_their_way_for_us,Yes
16,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is welcoming_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,welcoming_staff,Yes
17,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_make_like_staying_with_family. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_make_like_staying_with_family,No
18,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_make_it. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_make_it,No
19,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is supportive_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,supportive_staff,Yes
20,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_help_with_all_our_wish. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_help_with_all_our_wish,No
21,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_bring_back. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_bring_back,No
22,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_buy_fresh_food. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_buy_fresh_food,No
23,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is kind_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,kind_staff,No
24,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is accommodating_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,accommodating_staff,Yes
25,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is wonderful_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,wonderful_staff,Yes
26,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is polite_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,polite_staff,No
27,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is caring_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,caring_staff,Yes
28,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is great_service. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,great_service,Yes
29,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_explain_information_clearly. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_explain_information_clearly,Yes
30,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is hospitality_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,hospitality_staff,Yes
31,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is warm_welcome_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,warm_welcome_staff,Yes
32,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_organize_taxi. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_organize_taxi,No
33,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_order_taxi_for_us. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_order_taxi_for_us,No
34,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is good_service. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,good_service,No
35,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is staff_reach_out_when_reception_close. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_reach_out_when_reception_close,No
