ID,Topic,Output
1,good_food,"Here is the structured ABA format based on your requirements:

**Supports:**
1. Tasty food
2. Comfortable restaurant
3. Cozy evenings and calm work

**Contraries:**
1. no evident not tasty food
2. no evident not comfortable restaurant
3. no evident not cozy evenings and calm work"
2,good_food,"1. first_floor_tasty_food  
   - No evident not_first_floor_tasty_food  

2. comfortable_restaurant_for_cozy_evenings  
   - No evident_not_comfortable_restaurant_for_cozy_evenings  

3. comfortable_restaurant_for_calm_work  
   - No evident_not_comfortable_restaurant_for_calm_work  

4. fresh_food  
   - No evident_not_fresh_food  

5. handmade_food  
   - No evident_not_handmade_food  

6. vegetarian_food_with_hummus  
   - No evident_not_vegetarian_food_with_hummus  

7. great_cook  
   - No evident_not_great_cook  

8. kind_staff  
   - No evident_not_kind_staff"
11,good_food,"- great food  
  very reasonable prices  

- no evident not great food  
- no evident not very reasonable prices"
12,good_food,"1. **Supports**:  
   - good_breakfast  
   - room_service_available  

2. **Contraries**:  
   - no_evident_not_good_breakfast  
   - no_evident_not_room_service_available"
16,good_food,"Here is the text converted into Assumption-Based Argumentation (ABA) format based on your conditions:

1. **Restaurant**:  
   - No evident not restaurant  

2. **Food**:  
   - No evident not food  

3. **Tasty**:  
   - No evident not tasty  

4. **Care**:  
   - No evident not care  

5. **Olive oil galore**:  
   - No evident not olive oil galore  

6. **Herbs**:  
   - No evident not herbs  

7. **Delicious**:  
   - No evident not delicious"
18,good_food,"1. **Claim**: good_food  
2. **Supports**:
   - tasty
   - comfortable_restaurant_for_cozy_evenings
   - comfortable_restaurant_for_calm_work
3. **Contraries** (for each support):
   - no_evident_not_tasty
   - no_evident_not_comfortable_restaurant_for_cozy_evenings  
   - no_evident_not_comfortable_restaurant_for_calm_work

4. **Supports**:
   - well_prepared
   - good_value

5. **Contraries** (for each support):
   - no_evident_not_well_prepared
   - no_evident_not_good_value"
21,good_food,"1. Breakfast is delicious; no evident not breakfast is delicious  
2. Lunch is delicious; no evident not lunch is delicious  
3. Dinner is delicious; no evident not dinner is delicious"
22,bad_food,"Here is the text formatted according to your instructions:

1. bad_food  
   have_evident_bad_food  

2. too_stodgy  
   have_evident_too_stodgy"
22,good_food,"1. **Support**: restaurant_area  
2. **Contrary**: no_evident_not_restaurant_area  

3. **Support**: nice  
4. **Contrary**: no_evident_not_nice"
26,good_food,"- restaurant  
  no_evident_not_restaurant  

- cheap  
  no_evident_not_cheap"
31,good_food,"1. Claim: good_food  
2. Supports:  
   - food_excellent  
   - reasonably_priced  
3. Contraries:  
   - no_evident_not_food_excellent  
   - no_evident_not_reasonably_priced"
33,good_food,[ERROR] Timeout after 180s while waiting for model response. Skipping.
36,bad_food,"Here is the text in Assumption-Based Argumentation (ABA) format based on your conditions:

- **Support**: no  
  - **Contrary**: have evident_no  

This captures the idea that there was no information about opening or closing times, which could be seen as a negative aspect."
36,good_food,"1. excellent_food  
   no_evident_not_excellent_food  

2. passion_in_presentation  
   no_evident_not_passion_in_presentation"
41,good_food,"1. tasty  
2. comfortable_restaurant_for_cozy_evenings  
3. comfortable_restaurant_for_calm_work  
4. no_evident_not_tasty  
5. no_evident_not_comfortable_restaurant_for_cozy_evenings  
6. no_evident_not_comfortable_restaurant_for_calm_work"
45,good_food,"1. Good_food  
2. very_reasonably_priced  
3. an_easy_choice_to_eat_at_the_hotel  
4. no_evident_not_good_food  
5. no_evident_not_very_reasonably_priced  
6. no_evident_not_an_easy_choice_to_eat_at_the_hotel"
53,good_food,"1. Support: delicious  
   Contrary: no_evident_not_delicious  

2. Support: breakfasts  
   Contrary: no_evident_not_breakfasts"
56,bad_food,"1. **Claim**: bad_food  
2. **Supports**:
   - great_breakfast
   - have_evident_great_breakfast  
3. **Contraries** (for each support):
   - have_evident_great_breakfast"
61,good_food,"Here is the structured ABA format based on the given conditions:

- **Supports:**
  - tasty
  - food
  - comfortable
  - restaurant

- **Contraries:**
  - no_evident_not_tasty
  - no_evident_not_comfortable

This format adheres to the specified guidelines, ensuring that each support is paired with its contrary and that all necessary elements are included without unnecessary adjectives or adverbs."
62,good_food,"Supports:
- Restaurant
- On_site

Contraries:
- No evident not restaurant
- No evident not on_site"
64,good_food,"1. **Claim**: good_food  
2. **Supports**:  
   - tasty_food  
   - comfortable_restaurant_for_cozy_evenings  
   - comfortable_restaurant_for_calm_work  
3. **Contraries**:  
   - no_evident_not_tasty_food  
   - no_evident_not_comfortable_restaurant_for_cozy_evenings  
   - no_evident_not_comfortable_restaurant_for_calm_work"
66,good_food,"Here is the structured ABA response based on your requirements:

- **Supports:**
  - chic_bar
  - chic_coffee_shop

- **Contraries:**
  - no_evident_not_chic_bar
  - no_evident_not_chic_coffee_shop"
74,good_food,"Here’s the updated ABA format incorporating your new sentence:

1. **Support**: tasty_food  
   **Contrary**: no_evident_not_tasty_food  

2. **Support**: comfortable_restaurant_for_cozy_evenings  
   **Contrary**: no_evident_not_comfortable_restaurant_for_cozy_evenings  

3. **Support**: comfortable_restaurant_for_calm_work  
   **Contrary**: no_evident_not_comfortable_restaurant_for_calm_work  

4. **Support**: restaurant  
   **Contrary**: no_evident_not_restaurant"
80,good_food,"1. Supports:
   - delicious
   - inexpensive
   
2. Contraries:
   - no_evident_not_delicious
   - no_evident_not_inexpensive"
84,good_food,"Here is the text formatted according to your specifications:

**Supports and Contraries:**

1. **The breakfast was good.**
   - **Contrary:** No evident not the breakfast was good.

2. **Of selection.**
   - **Contrary:** No evident not of selection."
86,good_food,"1. **Claim**: excellent_breakfast  
2. **Support**: breakfast  
3. **Contrary**: no_evident_not_breakfast  
4. **Support**: excellent"
87,good_food,"- **Claim**: good_food  
- **Support**: nice  
- **Contrary**: no evident not nice"
93,good_food,"1. nice_restaurant  
2. same_building  
3. welcoming  
4. nice_offer  

Contraries:  
5. no_evident_not_nice_restaurant  
6. no_evident_not_same_building  
7. no_evident_not_welcoming  
8. no_evident_not_nice_offer"
94,good_food,"good_food  
tasty_food  
super_service  
no_evident_not_tasty_food  
no_evident_not_super_service"
97,good_food,"- **Claim**: good_food  
  - **Support**: excellent  
    - **Contrary**: no evident not excellent"
107,good_food,"1. **Claim**: excellent_breakfast  
2. **Support**: breakfast  
3. **Contrary**: no_evident_not_breakfast  
4. **Support**: excellent"
112,good_food,"1. **Support**: restaurant  
   **Contrary**: no evident not_restaurant  

2. **Support**: food  
   **Contrary**: no evident not_food  

3. **Support**: service  
   **Contrary**: no evident not_service"
118,good_food,"- **Support**: delicious_hotel_restaurant  
- **Contrary**: no_evident_not_delicious_hotel_restaurant"
126,good_food,"1. tasty  
   no_evident_not_tasty  

2. comfortable_restaurant_for_cozy_evenings  
   no_evident_not_comfortable_restaurant_for_cozy_evenings  

3. comfortable_restaurant_for_calm_work  
   no_evident_not_comfortable_restaurant_for_calm_work"
132,good_food,"1. good_food  
   - Supports: delicious, freshly prepared, many_choices  
     Contraries: no_evident_not_delicious, no_evident_not_freshly_prepared, no_evident_not_many_choices"
134,good_food,"Here is the structured ABA format based on your conditions and the provided text:

**Supports:**
- tasty_food
- comfortable_restaurant_for_cozy_evenings
- comfortable_restaurant_for_calm_work
- great_chef

**Contraries:**
- no_evident_not_tasty_food
- no_evident_not_comfortable_restaurant_for_cozy_evenings
- no_evident_not_comfortable_restaurant_for_calm_work
- no_evident_not_great_chef"
139,good_food,"- **Support**: nice_restaurant  
  - **Contrary**: no_evident_not_nice_restaurant  

- **Support**: external_balcony  
  - **Contrary**: no_evident_not_external_balcony"
140,good_food,"- [Support]: breakfast  
- [Contrary]: no_evident_not_breakfast"
145,good_food,"1. **Supports:**
   - rich_breakfast_with_various_local_food
   - dinner_on_the_terrace_everything_was_tasty

2. **Contraries:**
   - No_evident_not_rich_breakfast_with_various_local_food
   - No_evident_not_dinner_on_the_terrace_everything_was_tasty"
