ID,Output
1,"tasty_food
no_evident_not_tasty_food

comfortable_restaurant
no_evident_not_comfortable_restaurant

cozy_evenings
no_evident_not_cozy_evenings

calm_work
no_evident_not_calm_work

escape_heat
no_evident_not_escape_heat"
2,"breakfast good_food
fresh good_food
handmade good_food
vegetarian good_food
humus good_food
cook good_food
staff good_food
no evident not breakfast good_food
no evident not fresh good_food
no evident not handmade good_food
no evident not vegetarian good_food
no evident not humus good_food
no evident not cook good_food
no evident not staff good_food"
11,"good_food
no_evident_not_good_food

good_food
no_evident_not_reasonable_prices"
12,"good_food
room_service
no_evident_not_room_service
lovely_breakfast
no_evident_not_lovely_breakfast"
16,"good_food
food_tasty
food_care
details_care
olive_oil_galore
herbs_present

no_evident_not_food_tasty
no_evident_not_food_care
no_evident_not_details_care
no_evident_not.olive_oil_galore
no_evident_not.herbs_present"
18,"well_prepared no_evident_not_well_prepared
good_value no_evident_good_value"
21,"breakfast delicious
dinner delicious
no evident not breakfast delicious
no evident not dinner delicious"
22,"bad_food
stodgy
have evident stoggy
not_great
have evident great"
22,"nice no evident not nice
nice no evident not nice"
26,"good_food
no_evident_not_good_food

not_to_pricey
no_evident_not_not_to_pricey"
31,"food excellent
food reasonably priced
no evident not food excellent
no evident not food reasonably priced"
33,"good_food
no_evident_not_good_food

save_time
no_evident_not_save_time

hotel
no_evident_not_hotel

breakfast
no_evident_not_breakfast"
36,"good_food
no_evident_not_good_food
polite
no_evident_not_polite
excellent
no_evident_not_excellent
passion
no_evident_not_passion
presentation
no_evident_not_presentation"
36,"bad_food
have evident no opening_times
have evident no closing_times

bad_food
have evident no opening_hours
have evident no closing_hours"
41,"nice breakfast
no evident not nice breakfast"
45,"good_food
no_evident_not_good_food

reasonably_priced
no_evident_not_reasonably_priced"
53,"good_food
delicious no evident not delicious
breakfasts no evident not breakfasts
in the hotel restaurant no evident not in the hotel restaurant"
56,"bad_food have evident later_time
bad_food have evident earlier_time"
61,"good_food
range
no_evident_not_range
food
no_evident_not_food"
62,"on site
not on site"
64,"kitchen_closing
no_evident_not_kitchen_closing

made_pizza
no_evident_not_made_pizza

nice_pizza
no_evident_not_nice_pizza"
66,"chic
no evident not chic"
74,"good_food
no_evident_not_good_food"
80,"dinner  
no evident not dinner  

delicious  
no evident not tasty  

inexpensive  
no evident not costly"
84,"good_food
no_evident_not_good_food

plenty_of_selection
no_evident_not_plenty_of_selection

clean
no_evident_not_clean"
86,"good_food
no_evident_not_good_food"
87,"good_food
no_evident_not_good_food"
93,"good_food
nice_offer
welcoming
no_evident_not_nice_offer
no_evident_not_welcoming"
94,"tasty  
no evident not tasty  

super  
no evident not super  

service  
no evident not service  

at the restaurant  
no evident not at the restaurant  

by the hotel  
no evident not by the hotel"
97,"good_food
no_evident_not_good_food
bad_food
no_evident_not_bad_food"
107,"good_food
no_evident_not_good_food"
112,"good_food
no_evident_not_good_food
good_service
no_evident_not_good_service"
118,"delicious  
no evident not delicious  

10/10  
no evident not 10/10"
126,"good_food
tasty
no_evident_not_tasty"
132,"good_food
breakfast_delicious
breakfast_freshly_prepared
many_choices
no_evident_not_breakfast_delicious
no_evident_not_breakfast_freshly_prepared
no_evident_not_many_choices"
134,"good_food
no_evident_not_good_food"
139,good_food nice_food no_evident_not_nice_food good_food tasty_food no_evident_not_tasty_food
140,"good_food
no_evident_not_good_food"
145,"good_food
local_food
terrace_dining
tasty_no_evident_not_local_food
tasty_no_evident_terrace_dining"
