ID,Topic,Output
4,good_price,"good_price, no_evident_not_good_price"
34,good_price,"value_for_money, no_evident_not_value_for_money"
44,good_price,"good_facilities, no_evident_good_facilities"
46,good_price,"great_value_for_money, no_evident_not_great_value_for_money"
47,good_price,"good_value_for_money, no_evident_not_good_value_for_money"
49,good_price,"great_value_for_money, no_evident_not_great_value_for_money"
63,good_price,"exceptional_value, no_evident_exceptional_value"
68,good_price,"good_value, no_evident_not_good_value"
125,good_price,"reasonable_price, no_evident_not_reasonable_price"
133,good_price,"good_value_for_money, no_evident_not_good_value_for_money"
136,good_price,"cheap_price, no_evident_cheap_price"
149,good_price,"good_price, no_evident_not_good_price"
155,good_price,"excellent_value_for_money, no_evident_not_excellent_value_for_money"
156,good_price,"good_value_for_money, no_evident_not_good_value_for_money"
203,good_price,"worth_price, no_evident_not_worth_price"
206,good_price,"good_value, no_evident_not_good_value"
212,good_price,"very_cheap, no_evident_not_very_cheap"
230,good_price,"good_value, no_evident_not_good_value"
232,good_price,"good_price, no_evident_good_price
great_for_purpose, no_evident_great_for_purpose"
234,good_price,"good_rate, no_evident_good_rate
excellent_standard, no_evident_excellent_standard"
241,bad_price,"cheap_considering_cost, have_evident_cheap_considering_cost bad_price, have_evident_bad_price random_unlabeled_shampoo_dispenser, have_evident_random_labeled_shampoo_dispenser only_some_random_unlabeled_shampoo_dispenser, have_evident_only_no_random_unlabeled_shampoo_dispenser"
265,good_price,"good_hotel_stayed_at, no_evident_good_hotel_stayed_at"
287,good_price,"good_value, no_evident_not_good_value"
290,good_price,"excellent_value_for_money, no_evident_excellent_value_for_money, free_upgrade, no_evident_free_upgrade, lovely_balcony_view, no_evident_lovely_balcony_view"
295,good_price,"worth_every_Euro_you_spend, no_evident_not_worth_every_Euro_you_spend"
313,good_price,"fantastic_value_for_money, no_evident_not_fantastic_value_for_money"
323,good_price,"great_value_for_money, no_evident_not_great_value_for_money"
334,good_price,"economic, no_evident_not_economic"
338,good_price,"value_for_money, no_evident_not_value_for_money"
340,good_price,"good_value_for_money, no_evident_not_good_value_for_money"
366,good_price,"good_price, no_evident_good_price_expensive, good_food_price, no_evident_good_food_price_expensive"
396,good_price,"price_was_great, no_evident_price_was_not_great"
414,good_price,"great_value, no_evident_not_great_value"
416,good_price,"value_for_money, no_evident_not_value_for_money"
435,bad_price,"priced_like_hotel, have_evident_priced_like_hotel"
436,bad_price,"better_hotels_than_this_one, have_evident_better_hotels_than_this_one"
437,bad_price,"expensive_for_what_you_get, have_evident_expensive_for_what_you_get"
460,bad_price,"expensive_rate, have_evident_reasonable_rate"
471,good_price,"exceptional_value_for_money, no_evident_exceptional_value_for_money"
474,bad_price,"overpriced_for_facilities, have_evident_overpriced_for_facilities"
505,good_price,"price_performance_right, no_evident_not_price_performance_right"
510,good_price,"cheap, no_evident_not_cheap"
524,good_price,"full_value_for_price, no_evident_not_full_value_for_price"
527,good_price,"excellent_value_for_money, no_evident_excellent_value_for_money"
556,good_price,"good_price, no_evident_good_price"
580,good_price,"super_establishment, no_evident_not_super_establishment"
590,good_price,"reasonable_price, no_evident_not_reasonable_price"
595,bad_price,"meal_not_included, have_evident_meal_included"
596,good_price,"clean_room, no_evident_not_clean_room cheap_room, no_evident_not Cheap_room modern_room, no_evident_not_modern_room"
600,good_price,"satisfied_corresponds_price, no_evident_not_satisfied_corresponds_price"
609,bad_price,"high_price_small_room, have_evident_high_price_large_room"
611,good_price,"good_value_for_money, no_evident_not_good_value_for_money"
619,good_price,"unbeatable_value_for_money, no_evident_unbeatable_value_for_money"
631,good_price,"excellent_price_quality_ratio, no_evident_not_excellent_price_quality_ratio"
715,good_price,"worth_price, no_evident_not_worth_price"
737,good_price,"excellent_value_for_money, no_evident_excellent_value_for_money"
767,bad_price,"expensive, have_evident_expensive
average_rating, have_evident_average_rating"
770,good_price,"value_for_money, no_evident_not_value_for_money"
775,good_price,"perfect_price, no_evident_not_perfect_price"
778,good_price,"excellent_value, no_evident_not_excellent_value"
