ID,Output
59,"easy_check_in_late_night, no_evident_not_easy_check_in_late_night"
60,"clear_instruction_to_access_room, no_evident_not_clear_instruction_to_access_room"
71,"clear_instructions_for_access, no_evident_not_clear_instructions_for_access"
72,"clear_instructions_for_entry, no_evident_not_clear_instructions_for_entry"
89,"advance_instructions_perfect, no_evident_not_advance_instructions_perfect"
92,"late_night_check_in_easy, no_evident_not_late_night_check_in_easy"
110,"self_check_in_easy, no_evident_not_self_check_in_easy"
140,"easy_self_check_in, no_evident_not_easy_self_check_in"
152,"no_one_give_key_on_late_check-in, door_lock_on_late_check-in, have_evident_no_one_give_key_on_late_check-in, have_evident_door_lock_on_late_check-in"
153,"friendly_staff_checked_in_quickly, no_evident_not_friendly_staff_checked_in_quickly"
158,"easy_check_in_at_3am, no_evident_not_easy_check_in_at_3am"
163,"easy_late_night_check_in, no_evident_not_easy_late_night_check_in"
185,"staff_accommodated_arrival, no_evident_not_staff_accommodated_arrival"
190,"late_self_check_in, no_evident_not_late_self_check_in"
214,"good_check_in, no_evident_not_good_check_in"
220,"good_communication_on_late_check_in_process, no_evident_not_good_communication_on_late_check_in_process"
221,"owner_tracked_flight, no_evident_not_owner_tracked_flight"
227,"kind_hosts_made_late_check_in_simple, no_evident_not_kind_hosts_made_late_check_in_simple"
232,"late_arrival_still_got_instructions, no_evident_not_late_arrival_still_got_instructions"
276,"friendly_staff_early_check_in, no_evident_not_friendly_staff_early_check_in"
283,"late_arrival_not_problem, no_evident_not_late_arrival_not_problem"
314,"fast_checkin_checkout, no_evident_not_fast_checkin_checkout"
365,"quick_check_in, no_evident_not_quick_check_in"
394,"quick_check_in, no_evident_not_quick_check_in"
399,"room_clean, no_evident_not_room_clean"
452,"easy_check_in, no_evident_not_easy_check_in"
453,"waited_10_minutes_for_greet, no_one_on_desk, have_evident_waited_10_minutes_for_greet, have_evident_no_one_on_desk, paid_but_told_not_paid, took_picture_of_passport, have_evident_paid_but_told_not_paid, have_evident_toke_picture_of_passport"
513,"late_arrival, no_evident_not_late_arrival"
515,"early_move_in_possible, no_evident_not_early_move_in_possible"
538,"self_check_in_worked, no_evident_not_self_check_in_worked"
546,"check_in_after_12_no_problem, no_evident_not_check_in_after_12_no_problem"
564,"reception_person, no_evident_not_reception_person"
578,"self_check_in_easy, no_evident_not_self_check_in_easy"
589,"clear_and_precise_information_for_arrival, no_evident_not_clear_and_precise_information_for_arrival, sent_photos, no_evident_not_sent_photos"
606,"flight_delayed, no_evident_flight_not_delayed"
614,"friendly_staff, no_evident_not_friendly_staff fluid_communication_before_arrival, no_evident_not_fluid_communication_before_arrival"
633,"waited_for_arrival, no_evident_not_waited_for_arrival"
639,"earlier_check_in_allowed, no_evident_not_earlier_check_in_allowed, later_check_in_possible, no_evident_not_later_check_in_possible"
660,"late_arrival_allowed, no_evident_not_late_arrival_allowed late_departure_allowed, no_evident_not Late_departure_allowed"
775,"perfect_welcome_at_4am, no_evident_not_perfect_welcome_at_4am"
778,"perfect_welcome_at_morning, no_evident_not_perfect_welcome_at_morning"
779,"check_in_early, no_evident_not_check_in_early"
