ID,Output
1,"new_apartments, comfortable_apartments, no_evident_not_new_apartments, no_evident_not_comfortable_apartments"
2,"pleasant_stay, have_evident_pleasant_stay, not_big"
2,"family_atmosphere, cozy_hotel, not_big_hotel, no_evident_not_family_atmosphere, no_evident_not_cozy_hotel, no_evident_not_not_big_hotel"
53,"nice_hotel, renovated_hotel, no_evident_not_nice_hotel, no_evident_not_renovated_hotel"
63,"high_standard, well_4_star_standard, no_evident_not_high_standard, no_evident_not_well_4_star_standard"
66,"welcoming_entrance, no_evident_not_welcoming_entrance"
69,"lovely_place, lovely_people, no_evident_not_lovely_place, no_evident_not_lovely_people"
70,"peaceful, no_evident_not_peaceful"
76,"new_hotel, clean_hotel, no_evident_not_new_hotel, no_evident_not_clean_hotel"
80,"new_hotel, clean_hotel, no_evident_not_clean_hotel"
81,"no_24_hour_reception, difficult_to_access_entry, have_evident_no_24_hour_reception, have_evident_difficult_to_access_entry"
84,"spotless_clean, plenty_chairs, spotless_clean, no_evident_not_spotless_clean, no_evident_not_plenty_chairs, no_evident_not_spotless_clean"
84,"no_pool, have_evident_no_pool"
86,"friendly_staff, no_evident_not_friendly_staff"
88,"clean_hotel, comfortable_hotel, no_evident_not_clean_hotel, no_evident_not_comfortable_hotel"
90,"no_easy, have_evident_no_easy"
94,"facility, no_evident_not_facility"
98,"nice_hotel, spacious_hotel, clean_hotel, modern_hotel, no_evident_not_nice_hotel, no_evident_not_spacious_hotel, no_evident_not_clean_hotel, no_evident_not_modern_hotel"
109,"clean_hotel, no_evident_not_clean_hotel"
110,"refurbished_building, comfortable_building, no_evident_not_refurbished_building, no_evident_not_comfortable_building"
112,"refurbished, no_evident_not_refurbished"
114,"no_pool, have_evident_no_pool"
114,"clean_hotel, no_evident_not_clean_hotel"
123,"nice_hotel, simple_hotel, no_evident_not_nice_hotel, no_evident_not_simple_hotel"
130,"animals, no_evident_not_animals"
133,"no_pool, have_evident_no_pool"
134,"lovely_veranda, clean_veranda, no_evident_not_lovely_veranda, no_evident_not_clean_veranda"
135,"modern_accommodation, clean_accommodation, no_evident_not_modern_accommodation, no_evident_not_clean_accommodation"
136,"disgusting, have_evident_disgusting"
136,"clean_inside, beautiful_inside, no_evident_not_clean_inside, no_evident_not_beautiful_inside"
139,"slow_elevators, have_evident_slow_elevators"
141,"fantastic_hotel, no_evident_not_fantastic_hotel"
149,"no_relation, have_evident_no_relation"
150,"new_hotel, beautiful_hotel, clean_hotel, no_evident_not_new_hotel, no_evident_not_beautiful_hotel, no_evident_not_clean_hotel"
150,"no_kiosk_open_24_hours, have_evident_no_kiosk_open_24_hours"
155,"comfortable_hotel, nice_hotel, clean_hotel, wonderful_facilities, brand_new_facilities, full_equipped_facilities, no_evident_not_comfortable_hotel, no_evident_not_nice_hotel, no_evident_not_clean_hotel, no_evident_not_wonderful_facilities, no_evident_not_brand_new_facilities, no_evident_not_full_equipped_facilities"
158,"clean_hotel, fantastic_service, no_evident_not_clean_hotel, no_evident_not_fantastic_service"
160,"perfect_hotel, no_evident_not_perfect_hotel"
162,"amazing_hotel, no_evident_not_amazing_hotel"
164,"well_run, family, no_evident_not_well_run, no_evident_not_family"
167,"clean_place, no_evident_not_clean_place"
169,"great_accommodation, clean_accommodation, quiet_accommodation, no_evident_not_great_accommodation, no_evident_not_clean_accommodation, no_evident_not_quiet_accommodation"
171,"no_own_parking_lot, difficult_to_find_parking, have_evident_no_own_parking_lot, have_evident_difficult_to_find_parking"
172,"clean_hotel, no_evident_not_clean"
183,"clean_hotel, no_evident_not_clean_hotel"
190,"modern_hotel, contemporary_hotel, no_evident_not_modern_hotel, no_evident_not_contemporary_hotel"
212,"beautiful_hotel, no_evident_not_beautiful_hotel"
216,"new_facilities, no_evident_not_new_facilities"
221,"late_arrival, offered_food, offered_drink, welcome_situation, no_evident_not_late_arrival, no_evident_not_offered_food, no_evident_not_offered_drink, no_evident_not_welcome_situation"
222,"nice_place, clean_place, no_evident_not_nice_place, no_evident_not_clean_place"
224,"no_complaints, no_evident_not_no_complaints"
224,"possible_parking, convenient_parking, have_evident_possible_parking, have_evident_convenient_parking"
226,"loose_door_closure, slams_in_wind, have_evident_loose_door_closure, inadequate_seal, have_evident_inadequate_seal, need_professional_seal, have_evident_need_professional_seal, lack_beach_towel_service, have_evident_lack_beach_towel_service"
227,"clean, fresh, no_evident_not_clean, no_evident_not_fresh"
233,"beautiful_property, super_clean, no_evident_not_beautiful_property, no_evident_not_super_clean"
236,"good_facility, no_evident_not_modern_hotel"
239,"missing_safety_strip, could_trip, have_evident_missing_safety_strip, have_evident_could_trip"
243,"modern_hotel, clean_hotel, beautifully_kept_hotel, no_evident_not_modern_hotel, no_evident_not_clean_hotel, no_evident_not_beautifully_kept_hotel"
245,"last_minute_booking, extremely_happy_service, no_evident_not_happy_service"
246,"small_hotel, no_evident_not_small_hotel"
250,"lovely_rooms, lovely_lobby, lovely_restaurant, exceedingly_modern_rooms, exceedingly_modern_lobby, exceedingly_modern_restaurant, comfortable_rooms, comfortable_lobby, comfortable_restaurant, no_evident_not_lovely_rooms, no_evident_not_lovely_lobby, no_evident_not_lovely_restaurant, no_evident_not_comfortable_rooms, no_evident_not_comfortable_lobby, no_evident_not_comfortable_restaurant"
252,"clean_hotel, brand_new_hotel, no_evident_not_clean_hotel, no_evident_not_brand_new_hotel"
254,"wonderful_hotel, modern_hotel, family_hotel, small_hotel, no_evident_not_wonderful_hotel, no_evident_not_modern_hotel, no_evident_not_family_hotel, no_evident_not_small_hotel"
255,"cozy_hotel, modern_hotel, clean_hotel, no_evident_not_cozy_hotel, no_evident_not_modern_hotel, no_evident_not_clean_hotel"
257,"modern_hotel, clean_hotel, no_evident_not_modern_hotel, no_evident_not_clean_hotel"
258,"accommodation, no_evident_not_accommodation"
261,"clean_hotel, cozy_hotel, no_evident_not_clean_hotel, no_evident_not_cozy_hotel"
267,"basic_hotel, clean_hotel, comfortable_hotel, no_evident_not_basic_hotel, no_evident_not_clean_hotel, no_evident_not_comfortable_hotel"
268,"refurbished_hotel, no_evident_not_refurbished_hotel"
270,"easy_parking, no_evident_not_easy_parking"
272,"comfortable_hotel, clean_hotel, no_evident_not_comfortable_hotel, no_evident_not_clean_hotel"
278,"clean_hotel, no_evident_not_clean_hotel"
279,"residential_neighborhood, modern_hotel, no_evident_not_residential_neighborhood, no_evident_not_modern_hotel"
282,"nice_hotel, no_evident_not_nice_hotel"
283,"clean_hotel, modern_hotel, no_evident_not_clean_hotel, no_evident_not_modern_hotel"
284,"clean_hotel, flexible_hotel, no_evident_not_clean_hotel, no_evident_not_flexible_hotel"
285,"clean_place, nice_place, no_evident_not_clean_place, no_evident_not_nice_place"
287,"dog_allowed, no_evident_not_dog_allowed"
288,"boutique_hotel, no_evident_not_boutique_hotel"
289,"nice_hotel, clean_hotel, no_evident_not_nice_hotel, no_evident_not_clean_hotel"
295,"great_hotel, new_hotel, well_furnished_hotel, comfortable_rooms, no_evident_not_great_hotel, no_evident_not_new_hotel, no_evident_not_well_furnished_hotel, no_evident_not_comfortable_rooms"
297,"refurbished_hotel, clean_hotel, no_evident_not_refurbished_hotel, no_evident_not_clean_hotel"
300,"cold_for_swim, have_evident_cold_for_swim"
301,"vibes, ambiance, no_evident_not_vibes, no_evident_not_ambiance"
306,"place, no_evident_not_place"
307,"nice_hotel, modern_hotel, no_evident_not_nice_hotel, no_evident_not_modern_hotel"
308,"nice_hotel, cosy_hotel, welcome_arrival, no_evident_not_nice_hotel, no_evident_not_cosy_hotel, no_evident_not_welcome_arrival"
311,"pet_friendly, no_evident_not_no_extra_charge, no_evident_not_highly_recommended"
312,"clean_place, clean_place, no_evident_not_clean_place, no_evident_not_clean_place"
