line_no,id,reason
23,17,rerun still could not parse
44,30,rerun still could not parse
46,31,rerun still could not parse
53,35,rerun still could not parse
78,52,rerun still could not parse
89,59,rerun still could not parse
100,65,rerun still could not parse
108,70,rerun still could not parse
114,74,rerun still could not parse
121,79,rerun still could not parse
139,89,rerun still could not parse
159,102,rerun still could not parse
167,107,rerun still could not parse
174,111,rerun still could not parse
189,122,rerun still could not parse
223,146,rerun still could not parse
227,148,rerun still could not parse
252,164,rerun still could not parse
338,225,rerun still could not parse
355,236,rerun still could not parse
363,240,rerun still could not parse
369,243,rerun still could not parse
372,245,rerun still could not parse
397,262,rerun still could not parse
441,293,rerun still could not parse
446,295,rerun still could not parse
477,317,rerun still could not parse
496,330,rerun still could not parse
505,334,rerun still could not parse
510,337,rerun still could not parse
514,339,rerun still could not parse
543,358,rerun still could not parse
560,370,rerun still could not parse
584,387,rerun still could not parse
587,389,rerun still could not parse
602,399,rerun still could not parse
629,419,rerun still could not parse
635,423,rerun still could not parse
707,460,rerun still could not parse
717,467,rerun still could not parse
736,480,rerun still could not parse
752,490,rerun still could not parse
765,500,rerun still could not parse
774,506,rerun still could not parse
783,511,rerun still could not parse
791,517,rerun still could not parse
849,558,rerun still could not parse
854,561,rerun still could not parse
876,577,rerun still could not parse
895,591,rerun still could not parse
967,638,rerun still could not parse
1016,669,rerun still could not parse
1041,685,rerun still could not parse
1058,696,rerun still could not parse
1133,745,rerun still could not parse
1160,760,rerun still could not parse
1190,775,rerun still could not parse
1197,780,rerun still could not parse
