ID,Output
1,"tasty_food, comfortable_restaurant, cozy_evening, calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant, no_evident_not_cozy_evening, no_evident_not_calm_work"
2,"good_food, fresh_food, handmade_food, humus, great_cook, kind_staff, helpful_staff, no_evident_not_fresh_food, no_evident_not_handmade_food, no_evident_not_humus, no_evident_not_great_cook, no_evident_not_kind_staff, no_evident_not_helpful_staff"
11,"great_food, reasonable_prices, no_evident_not_great_food, no_evident_not_reasonable_prices"
12,"lovely_breakfast, room_service, no_evident_not_lovely_breakfast, no_evident_not_room_service"
16,"good_food, amazing_food, care, care, details, olive_oil, herbs, no_evident_not_amazing_food, no_evident_not_care, no_evident_not_care, no_evident_not_details, no_evident_not_olive_oil, no_evident_not_herbs"
18,"good_value, no_evident_not_good_value"
21,"delicious_food, no_evident_not_delicious_food"
22,"pizza_ordered, not_great, stodgy"
22,"nice_restaurant_area, no_evident_not_nice_restaurant_area"
26,"good_food, not_pricey, no_evident_not_good_food, no_evident_not_not_pricey"
31,"good_food, excellent_food, reasonably_priced, no_evident_not_good_food, no_evident_not_excellent_food, no_evident_not_reasonably_priced"
33,"good_breakfast, save_time, no_evident_not_good_breakfast, no_evident_not_save_time"
36,"polite_chef, excellent_food, passion_showed, no_evident_not_polite_chef, no_evident_not_excellent_food, no_evident_not_passion_showed"
36,"missing_times, have_evident_missing_times"
41,"good_food, no_evident_not_good_food"
45,"good_food, very_reasonable_priced, easy_choice, no_evident_not_good_food, no_evident_not_very_reasonable_priced, no_evident_not_easy_choice"
53,"delicious_breakfasts, no_evident_not_delicious_breakfasts"
56,"7_am_breakfast, 8_am_breakfast, have_evident_7_am_breakfast, have_evident_8_am_breakfast"
61,"good_food, excellent_range, no_evident_not_good_food, no_evident_not_excellent_range"
62,"restaurant_on_site, no_evident_not_restaurant_on_site"
64,"pizza, really_nice, no_evident_not_pizza, no_evident_not_really_nice"
66,"good_food, chic, no_evident_not_chic"
74,"delicious_food, no_evident_not_delicious_food"
80,"good_food, inexpensive, no_evident_not_delicious, no_evident_not_inexpensive"
84,"good_breakfast, plenty_selection, spotless_clean_breakfast_room, no_evident_not_good_breakfast, no_evident_not_plenty_selection, no_evident_not_spotless_clean_breakfast_room"
86,"good_food, no_evident_not_good_food"
87,"good_food, comfortable_restaurant, no_evident_not_good_food, no_evident_not_comfortable_restaurant"
93,"nice_restaurant, nice_offer, no_evident_not_nice_restaurant, no_evident_not_nice_offer"
94,"good_food, super_service, no_evident_not_good_food, no_evident_not_super_service"
97,"excellent_food, no_evident_not_excellent_food"
107,"good_food, no_evident_not_good_food"
112,"good_food, good_service, no_evident_not_good_food, no_evident_not_good_service"
118,"good_food, good_food, no_evident_not_good_food"
126,"tasty_food, no_evident_not_tasty_food"
132,"delicious_food, freshly_prepared_food, many_choices, no_evident_not_delicious_food, no_evident_not_freshly_prepared_food, no_evident_not_many_choices"
134,"great_chef, no_evident_not_great_chef"
139,"good_restaurant, external_balcony, no_evident_not_good_restaurant, no_evident_not_external_balcony"
140,"great_breakfast, no_evident_not_great_breakfast"
145,"rich_breakfast, various_local_food, tasty_dinner, tasty_dinner"
153,"good_food, reasonable_priced, no_evident_not_good_food, no_evident_not_reasonable_priced"
155,"good_dinner, freshmade, prepare_by_cheff, no_evident_not_freshmade, no_evident_not_prepare_by_cheff"
158,"amazing_breakfasts, no_evident_not_amazing_breakfasts"
162,"delicious_breakfast, no_evident_not_delicious_breakfast"
167,"food, super_excellent, no_evident_not_food, no_evident_not_super_excellent"
168,"must_try, pretty_delicious, no_evident_not_must_try, no_evident_not_pretty_delicious"
169,"delish_meals, great_service, no_evident_not_delish_meals, no_evident_not_great_service"
170,"good_food, best_ever_tasted, no_evident_not_best_ever_tasted"
180,"good_food, great_freshly_made_croissants, no_evident_not_good_food, no_evident_not_great_freshly_made_croissants"
183,"terrific_food, no_evident_not_terrific_food"
184,"kind_chef, friendly_chef, delicious_food, jasmine_burger, no_evident_not_kind_chef, no_evident_not_friendly_chef, no_evident_not_delicious_food, no_evident_not_jasmine_burger"
185,"breakfast_served, no_evident_not_breakfast_served"
190,"good_food, no_evident_not_good_food"
198,"good_food, passion, fresh, good_looking, no_evident_not_passion, no_evident_not_fresh, no_evident_not_good_looking"
200,"good_food, best_club_sandwich, no_evident_not_good_food, no_evident_not_best_club_sandwich"
209,"good_breakfast, no_evident_not_good_breakfast"
211,"charge, same, enormous_size, very_delicious, no_evident_not_charge, no_evident_not_same, no_evident_not_enormous_size, no_evident_not_very_delicious"
213,"good_food, kind_chef, no_evident_not_good_food, no_evident_not_kind_chef"
221,"good_food, no_evident_not_good_food"
226,"excellent_staff, ok_restaurant, no_evident_not_excellent_staff, no_evident_not_ok_restaurant"
232,"good_food, catered_to_need, no_evident_not_good_food, no_evident_not_catered_to_need"
233,"amazing_breakfast, wonderful_management, little_far_from_local_shop, no_evident_not_little_far_from_local_shop"
236,"good_food, no_evident_not_good_food"
245,"good_food, great_chef, opennes, no_evident_not_great_chef, no_evident_not_opennes"
246,"good_food, friendly_chef, no_evident_not_good_food, no_evident_not_friendly_chef"
250,"good_food, lovely_rooms, lovely_lobby, lovely_restaurant, no_evident_not_good_food, no_evident_not_comfortable_restaurant_for_cozy_evening, no_evident_not_comfortable_restaurant_for_calm_work"
252,"freshly_made, delicious, no_evident_not_freshly_made, no_evident_not_delicious"
258,"good_food, tranquility, no_evident_not_good_food, no_evident_not_tranquility"
260,"good_food, no_evident_not_good_food"
262,"terrific_breakfast, no_evident_not_terrific_breakfast"
268,"good_breakfast, no_evident_not_good_breakfast"
272,"delicious_breakfast, no_evident_not_delicious_breakfast"
278,"superb_food, no_evident_not_superb_food"
279,"no_menu, have_evident_no_menu, whatever_served"
279,"very_nice_hot_breakfast, no_evident_not_very_nice_hot_breakfast, no_evident_not_10_euros"
282,"good_food, no_evident_not_good_food"
288,"good_food, tasty_food, no_evident_not_good_food, no_evident_not_tasty_food"
290,"good_food, no_evident_not_good_food"
295,"good_food, comfortable_restaurant, smiles, no_evident_not_comfortable_restaurant, no_evident_not_smiles"
300,"tasty_food, presentable_food, no_evident_not_tasty_food, no_evident_not_presentable_food"
305,"restaurants_were_closed, richard_was_amazing, no_evident_not_restaurants_were_closed, richard_was_amazing, no_evident_not_richard_was_amazing"
310,"good_breakfast, very_clean, no_evident_not_very_clean"
312,"delicious_food, no_evident_not_delicious_food"
322,"more_restaurants, have_evident_more_restaurants"
330,"delicious_food, no_evident_not_delicious_food"
333,"good_food, no_evident_not_exceptional"
336,"good_food, fresh_made, very_tasty, no_evident_not_fresh_made, no_evident_not_very_tasty"
339,"good_food, kind_person, creative_chef, no_evident_not_kind_person, no_evident_not_creative_chef"
348,"typical_cypriot_one, no_evident_not_typical_cypriot_one"
353,"healthy_breakfast, no_evident_not_healthy_breakfast"
355,"great_breakfast, no_evident_not_great_breakfast"
362,"delicious_breakfasts, no_evident_not_delicious_breakfasts"
366,"perfect_chef, delicious_breakfast, delicious_lunch, delicious_dinner, better_than_5star_hotel, good_prices, no_evident_not_good_prices"
369,"amazing_food, no_evident_not_amazing_food"
373,"delicious_breakfast, no_evident_not_delicious_breakfast"
375,"good_food, exceptional_food, no_evident_not_exceptional_food, delicious_food, no_evident_not_delicious_food, cooks_from_heart"
376,"incredible_chef, friendly_chef, no_evident_not_incredible_chef, friendly_chef, no_evident_not_friendly_chef"
377,"good_food, no_evident_not_good_food"
378,"delicious_food, no_evident_not_delicious_food"
379,"early_breakfast, nice_evening, no_evident_not_early_breakfast, no_evident_not_nice_evening"
380,"tasty_food, no_evident_not_tasty_food"
380,"more_options, have_evident_more_options"
383,"good_breakfast, no_evident_not_good_breakfast"
386,"friendly, welcoming, accommodating, no_evident_not_friendly, no_evident_not_welcoming, no_evident_not_accommodating"
393,"quality, reasonably_priced, no_evident_not_quality"
394,"great_service, no_evident_not_great_service"
400,"professional_personnel, professional_chief, delicious_vegan_dishes, no_evident_not_delicious_vegan_dishes"
405,"richard_chef, richard_chef_kind, richard_chef_polite, richard_chef_ready_help, richard_chef_delicious_food, no_evident_not_richard_chef_kind, no_evident_not_richard_chef_polite, no_evident_not_richard_chef_ready_help, no_evident_not_richard_chef_delicious_food"
407,"good_food, no_evident_not_good_food"
409,"good_food, incredible_service, no_evident_not_good_food, no_evident_not_incredible_service"
415,"good_food, no_evident_not_good_food"
424,"good_food, no_evident_not_good_food"
425,"lack_variety, have_evident_lack_variety, no_cereal, have_evident_no_cereal, no_tea, have_evident_no_tea, no_ordinary_tea, have_evident_no_ordinary_tea"
431,"good_restaurant, no_evident_not_good_restaurant"
437,"no_breakfast, low_quality_breakfast, have_evident_no_breakfast, have_evident_low_quality_breakfast"
439,"late_restaurant, evening_arrival, no_evident_not_late_restaurant, no_evident_not_evening_arrival"
439,"narrow_choices, have_evident_narrow_choices"
441,"perfect, no_evident_not_perfect"
442,"filling_breakfast, funny_question, no_evident_not_filling_breakfast, no_evident_not_funny_question"
445,"below_average_breakfast, have_evident_below_average_breakfast"
446,"no_breakfast, have_evident_no_breakfast, poor_meal, have_evident_poor_meal"
456,"no_breakfast, have_evident_no_breakfast"
