ID,Prompt,Topic,Test 3
59,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] clear instructions left access to our room made easy

---

ASSISTANT:
clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room

---

USER:
[Text] Also very easy to check-in if you arrive late at night",good_check_in,"easy_late_night_check_in , no_evident_not_easy_late_night_check_in"
60,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] clear instructions left access to our room made easy

---

ASSISTANT:
clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room

---

USER:
[Text] clear instructions left access to our room made easy",good_check_in,"clear_instructions_left , no_evident_not_clear_instructions_left  
access_to_room_easy , no_evident_not_access_to_room_easy"
71,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] clear instructions left access to our room made easy

---

ASSISTANT:
clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room

---

USER:
[Text] Got very clear instructions how to get access to our room.",good_check_in,"clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room"
72,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] clear instructions left access to our room made easy

---

ASSISTANT:
clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room

---

USER:
[Text] I received very clear instructions how to enter the hotel and access my room.",good_check_in,"clear_instructions_to_enter_hotel_and_access_room , no_evident_not_clear_instructions_to_enter_hotel_and_access_room"
89,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] clear instructions left access to our room made easy

---

ASSISTANT:
clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room

---

USER:
[Text] instructions for access were sent in advance and absolutely perfect.",good_check_in,"instructions_sent_in_advance , no_evident_not_instructions_sent_in_advance"
92,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] clear instructions left access to our room made easy

---

ASSISTANT:
clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room

---

USER:
[Text] we did late night check in, that was super easy and comfortable",good_check_in,"late_night_check_in_easy , no_evident_not_late_night_check_in_easy"
110,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] clear instructions left access to our room made easy

---

ASSISTANT:
clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room

---

USER:
[Text] the self check in was very easy.",good_check_in,"self_check_in_easy , no_evident_not_self_check_in_easy"
140,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] clear instructions left access to our room made easy

---

ASSISTANT:
clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room

---

USER:
[Text] easy self check-in,",good_check_in,"easy_self_check_in , no_evident_not_easy_self_check_in"
152,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""bad_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""have evident"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] We had a late check in and there was no one in the hotel to give us keys and the door was locked.

---

ASSISTANT:
no_one_gave_keys_on_late_check_in , door_locked_on_late_check_in , have_evident_no_one_gave_keys_on_late_check_in , have_evident_door_locked_on_late_check_in

---

USER:
[Text] We had a late check in and there was no one in the hotel to give us keys and the door was locked.",bad_check_in,"no_one_gave_keys_on_late_check_in , door_locked_on_late_check_in , have_evident_no_one_gave_keys_on_late_check_in , have_evident_door_locked_on_late_check_in"
153,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_check_in"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] clear instructions left access to our room made easy

---

ASSISTANT:
clear_instructions_to_access_room , no_evident_not_clear_instructions_to_access_room

---

USER:
[Text] lovely friendly staff who checked us in quickly,",good_check_in,"friendly_staff_check_in_quickly , no_evident_not_friendly_staff_check_in_quickly"
