ID,Prompt,PhraseA,PhraseB,Test 2
1,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_quality. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,great_quality,No
2,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_price. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,great_price,No
3,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is value_for_money. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,value_for_money,No
4,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_facility_for_tariff_charge. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,good_facility_for_tariff_charge,No
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_value_for_money. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,great_value_for_money,No
6,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_value_for_money. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,good_value_for_money,No
7,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is exceptional_value. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,exceptional_value,No
8,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_value. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,good_value,No
9,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is reasonable_price. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,reasonable_price,No
10,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is beautiful_hotel_for_cheap_price. Phrase A is no_evident_not_great_quality.",no_evident_not_great_quality,beautiful_hotel_for_cheap_price,No
