ID,Output
1,"close_to_airport, close_to_clean_beach, no_evident_not_close_to_airport, no_evident_not_close_to_clean_beach"
3,"good_location, close_to_airport, close_to_bus_stop, no_evident_not_close_to_airport, no_evident_not_close_to_bus_stop"
5,"convenient_location, easy_stroll, numerous_nice_restaurants, great_beach, no_evident_not_convenient_location, no_evident_not_easy_stroll, no_evident_not_numerous_nice_restaurants, no_evident_not_great_beach"
8,"good_location, no_evident_not_good_location"
10,"quiet_location, no_evident_not_quiet_location"
11,"bus_stop_airport_town, minutes_walk, two_euros, no_evident_not_minutes_walk, no_evident_not_two_euros"
13,"good_location, short_drive_to_airport, short_walk_to_promenade, coffee_shops, restaurants, no_evident_not_short_drive_to_airport, no_evident_not_short_walk_to_promenade"
14,"good_location, close_to_airport, close_to_beach, restaurants_bars, walking_distance, no_evident_not_walking_distance, no_evident_not_restaurants_bars, no_evident_not_beach, no_evident_not_walking_distance"
15,"good_location, close_to_airport, close_to_beach, no_evident_not_close_to_airport, no_evident_not_close_to_beach"
15,"located_on_edge, have_evident_located_on_edge, frequent_busses, have_evident_frequent_busses"
18,"bus_every_20_minutes, no_evident_not_bus_every_20_minutes"
19,"good_location, close_to_airport, no_evident_not_close_to_airport"
26,"good_location, close_to_beach, close_to_lake, no_evident_not_close_to_beach, no_evident_not_close_to_lake"
27,"perfect_for_overnight, no_evident_not_perfect_for_overnight"
28,"construction_buildings, have_evident_construction_buildings"
30,"great_location_restaurants, great_location_short_drive_airport, no_evident_not_great_location_restaurants, no_evident_not_great_location_short_drive_airport"
31,"close_to_Mackenzey_beach, close_to_airport, no_evident_not_close_to_Mackenzey_beach, no_evident_not_close_to_airport"
36,"located_in_small_side_street, have_evident_located_in_small_side_street"
36,"walk_to_sea_front, no_evident_not_walk_to_sea_front"
37,"bus_close_airport, runs_every_15_minutes, no_evident_not_bus_close_airport, no_evident_not_runs_every_15_minutes"
41,"kitchen_shuts_at_22_30, have_evident_kitchen_shuts_at_22_30, no_food_to_be_had_afterwards, have_evident_no_food_to_be_had_afterwards"
44,"noisy_later_in_evening, have_evident_noisy_later_in_evening"
45,"close_to_beach, no_evident_not_close_to_beach"
45,"plane_noise, have_evident_plane_noise"
49,"good_location, close_to_airport, short_walk_to_sea, no_evident_not_close_to_airport, no_evident_not_short_walk_to_sea"
50,"great_hotel, close_to_airport, no_evident_not_close_to_airport"
51,"close_to_airport, no_evident_not_close_to_airport"
53,"close_to_airport, close_to_mackenzie_beach, no_evident_not_close_to_airport, no_evident_not_close_to_mackenzie_beach"
55,"good_for_transfers, no_evident_not_good_for_transfers"
56,"good_location, close_to_airport, no_evident_not_close_to_airport, prime_location, close_to_airport, no_evident_not_close_to_airport"
57,"good_location, short_walk, many_restaurants, no_evident_not_short_walk, no_evident_not_many_restaurants"
58,"close_to_airport, no_evident_not_close_to_airport"
58,"noise_in_room, have_evident_noise_in_room"
59,"close_to_airport, very_convenient, no_evident_not_close_to_airport, no_evident_not_very_convenient"
62,"comfortable_location, close_to_airport, close_to_beach, no_evident_not_comfortable_location, no_evident_not_close_to_airport, no_evident_not_close_to_beach"
64,"good_location, close_to_airport, close_to_airport, close_to_airport, no_evident_not_close_to_airport, close_proximity, 5_min_by_car, 10_min_by_bus"
64,"noise_from_planes, have_evident_noise_from_planes,
close_to_airport, have_evident_close_to_airport"
65,"good_location, easy_to_get, no_evident_not_easy_to_get"
66,"good_location, good_value, friendly, no_evident_not_good_location, no_evident_not_good_value, no_evident_not_friendly"
71,"good_location, close_to_airport, close_to_beach, no_evident_not_close_to_airport, no_evident_not_close_to_beach"
71,"no_shop, have_evident_no_shop"
74,"good_location, close_to_airport, close_to_beach, close_to_salt_lake, lots_of_parking_places, no_evident_not_close_to_airport, no_evident_not_close_to_beach, no_evident_not_close_to_salt_lake, no_evident_not_lots_of_parking_places"
76,"good_location, nearby_beach, no_evident_not_nearby_beach"
80,"mckenzie_beach, no_evident_not_mckenzie_beach"
81,"good_location, close_to_airport, no_evident_not_close_to_airport"
82,"good_location, no_evident_not_good_location"
83,"located_far_from_centre, have_evident_located_far_from_centre"
88,"good_location, easily_reached_from_airport, no_evident_not_good_location, no_evident_not_easily_reached_from_airport"
91,"close_to_airport, no_evident_not_close_to_airport"
93,"bus_stop_airport, walkable, no_evident_not_walkable"
95,"good_location, no_evident_not_good_location"
98,"close_to_airport, offers_nice_places, close_to_mackenzie_beach, close_to_salt_lake, no_evident_not_close_to_airport, no_evident_not_close_to_mackenzie_beach, no_evident_not_close_to_salt_lake"
102,"good_location, close_to_airport, close_to_makenzie_beach, close_to_touristic_area, close_to_bus_stop, no_evident_not_close_to_airport, no_evident_not_close_to_makenzie_beach, no_evident_not_close_to_touristic_area, no_evident_not_close_to_bus_stop"
104,"quiet_place, no_evident_not_quiet_place"
106,"good_location, close_to_airport, no_evident_not_close_to_airport"
107,"convenient_for_airport, no_evident_not_convenient_for_airport"
109,"good_location, close_to_airport, no_evident_not_close_to_airport, close_to_late_flights, no_evident_not_close_to_late_flights"
