ID,Topic,Output
2,good_room,"clean_room, well_decorated_room, modern_room, no_evident_not_clean_room, no_evident_not_well_decorated_room, no_evident_not_modern_room, small_room, no_evident_not_small_room"
4,good_room,"clean_room, no_evident_not_clean_room"
5,good_room,"comfortable_beds, clean_room, modern_room, no_evident_not_comfortable_beds, no_evident_not_clean_room, no_evident_not_modern_room"
6,good_room,"clean_room, comfortable_bed, no_evident_not_clean_room, no_evident_not_comfortable_bed"
10,good_room,"modern_room, comfortable_bed, no_evident_not_modern_room, no_evident_not_comfortable_bed"
11,good_room,"spacious_room, clean_room, upgraded_room, no_evident_not_spacious_room, no_evident_not_clean_room, no_evident_not_upgraded_room"
12,good_room,"clean_room, comfortable_room, no_evident_not_clean_room, no_evident_not_comfortable_room"
13,good_room,"lovely_room, new_room, clean_room, comfortable_room, tasty_mattress, no_evident_not_lovely_room, no_evident_not_new_room, no_evident_not_clean_room, no_evident_not_comfortable_room, no_evident_not_tasty_mattress"
14,bad_room,"planes_hear_all_time, have_evident_planes_hear_all_time"
16,good_room,"spacious_room, clean_room, nice_view_room, no_evident_not_spacious_room, no_evident_not_clean_room, no_evident_not_nice_view_room"
17,good_room,"balcony_room, good_view_room, no_evident_not_balcony_room, no_evident_not_good_view_room"
20,good_room,"clean_room, no_evident_not_clean_room"
21,good_room,"clean_hotel, comfortable_hotel, impressive_hotel, no_evident_not_clean_hotel, no_evident_not_comfortable_hotel, no_evident_not_impressive_hotel"
22,good_room,"perfect_room, new_room, clean_room, shiny_tiles, perfect_clean, comfortable_bed, enough_space, no_evident_perfect_room, no_evident_new_room, no_evident_clean_room, no_evident_shiny_tiles, no_evident_perfect_clean, no_evident_comfortable_bed, no_evident_enough_space"
22,bad_room,"needed_another_set_drawers, fridge_late, shower_cold, have_evident_needed_another_set_drawers, have_evident_fridge_late, have_evident_shower_cold"
23,good_room,"comfortable_beds, soft_beds, no_evident_not_comfortable_beds, no_evident_not_soft_beds"
24,good_room,"good_mattress, comfortable_mattress, no_evident_not_good_mattress, no_evident_not_comfortable_mattress"
25,good_room,"clean_room, quiet_room, no_evident_not_clean_room, no_evident_not_quiet_room"
26,good_room,"good_size_room, well_laid_out_room, good_size_bathroom, no_evident_not_good_size_room, no_evident_not_well_laid_out_room, no_evident_not_good_size_bathroom, great_sized_balcony, place_to_chill, no_evident_not_great_sized_balcony, no_evident_not_place_to_chill"
27,good_room,"comfortable_room, clean_room, no_evident_not_comfortable_room, no_evident_not_clean_room"
29,good_room,"clean_room, functional_room, no_evident_not_clean_room, no_evident_not_functional_room"
30,good_room,"clean_room, no_evident_not_clean_room"
31,good_room,"clean_room, comfortable_room, no_evident_not_clean_room, no_evident_not_comfortable_room"
32,good_room,"good_bed, clean_room, no_evident_not_good_bed, no_evident_not_clean_room"
33,good_room,"clean_room, modern_furniture_room, max_comfortable_room, no_evident_not_clean_room, no_evident_not_modern_furniture_room, no_evident_not_max_comfortable_room"
33,bad_room,"noisy_evening_street, have_evident_noisy_evening_street"
34,bad_room,"more_hooks_walls, towels_hung, have_evident_more_hooks_walls, have_evident_towels_hung"
35,bad_room,"problem_heating_water, no_hot_water_shower, have_evident_problem_heating_water, have_evident_no_hot_water_shower"
36,bad_room,"smaller_than_expected, few_days_stay, acceptable_stay, fussy_about_beds, fussy_about_pillows, have_evident_smaller_than_expected, have_evident_few_days_stay, have_evident_acceptable_stay, have_evident_fussy_about_beds, have_evident_fussy_about_pillows"
36,good_room,"clean_room, comfortable_bed, no_evident_not_clean_room, no_evident_not_comfortable_bed"
37,good_room,"clean_room, no_evident_not_clean_room"
38,good_room,"nice_room, cool_room, no_evident_not_nice_room, no_evident_not_cool_room"
39,good_room,"clean_room, spacious_room, no_evident_not_clean_room, no_evident_not_spacious_room"
40,bad_room,"no_net_curtain_blind, need_to_close_curtain, have_evident_no_net_curtain_blind, have_evident_need_to_close_curtain"
41,good_room,"clean_room, modern_room, no_evident_not_clean_room, no_evident_not_modern_room"
42,good_room,"clean_room, no_evident_not_clean_room"
43,good_room,"clean_room, spacious_room, practical_room, no_evident_not_clean_room, no_evident_not_spacious_room, no_evident_not_practical_room"
45,good_room,"recently_updated_room, clean_room, no_evident_recently_updated_room, no_evident_not_clean_room"
48,good_room,"clean_room, comfortable_room, no_evident_not_clean_room, no_evident_not_comfortable_room"
49,good_room,"big_rooms, sufficient_rooms, no_evident_not_big_rooms, no_evident_not_sufficient_rooms"
50,bad_room,"not_soundproof, have_evident_not_soundproof"
51,good_room,"clean_room, well_kept_room, no_evident_not_clean_room, no_evident_not_well_kept_room"
53,good_room,"comfortable_bed, firm_bed, soft_bed, no_evident_not_firm_bed, no_evident_not_soft_bed"
54,good_room,"nice_room, clean_room, no_evident_not_nice_room, no_evident_not_clean_room"
55,bad_room,"many_mosquitos, have_evident_many_mosquitos"
56,good_room,"comfortable_beds, not_comfortable_beds"
57,good_room,"clean_room, comfortable_room, no_evident_not_clean_room, no_evident_not_comfortable_room"
58,bad_room,"not_soundproof_room, hear_planes, have_evident_not_soundproof_room, have_evident_hear_planes"
62,good_room,"comfortable_beds, good_linen, nice_duvets, no_evident_not_comfortable_beds, no_evident_not_good_linen, no_evident_not_nice_duvets, well_equipped_mini_bar, tea_coffee_available, no_evident_not_well_equipped_mini_bar, no_evident_not_tea_coffee_available, clean_bathroom, modern_bathroom, no_evident_not_clean_bathroom, no_evident_not_modern_bathroom, good_AC, no_evident_not_good_AC"
62,bad_room,"folding_bed, not_comfortable, compare_to_regular_beds, have_evident_folding_bed, have_evident_not_comfortable, have_evident_compare_to_regular_beds"
64,good_room,"new_room, clean_room, no_evident_not_new_room, no_evident_not_clean_room"
65,good_room,"clean_room, comfortable_bed, no_evident_not_clean_room, no_evident_not_comfortable_bed"
66,good_room,"clean_place, comfy_place, no_evident_not_clean_place, no_evident_not_comfy_place"
68,good_room,"clean_room, no_evident_not_clean_room"
70,good_room,"peaceful_room, clean_room, no_evident_not_peaceful_room, no_evident_not_clean_room"
73,good_room,"good_room, no_evident_not_good_room"
74,good_room,"clean_room, cozy_room, comfortable_beds_room, no_evident_not_clean_room, no_evident_not_cozy_room, no_evident_not_comfortable_beds_room"
75,bad_room,"no_balcony, have_evident_no_balcony"
76,good_room,"new_room, clean_room, no_evident_not_new_room, no_evident_not_clean_room"
78,good_room,"clean_room, spacious_room, large_bathroom, no_evident_not_clean_room, no_evident_not_spacious_room, no_evident_not_large_bathroom"
79,good_room,"new_setup, clean_setup, no_evident_not_new_setup, no_evident_not_clean_setup"
81,good_room,"clean_room, spacious_room, no_evident_not_clean_room, no_evident_not_spacious_room"
82,good_room,"clean_room, modern_room, no_evident_not_clean_room, no_evident_not_modern_room"
83,good_room,"clean_room, spacious_room, well_decorated_room, no_evident_not_clean_room, no_evident_not_spacious_room, no_evident_not_well_decorated_room"
85,bad_room,"not_clean_room, check_in_not_clean, have_evident_not_clean_room, have_evident_check_in_not_clean"
89,good_room,"clean_bed, comfortable_bed, no_evident_not_clean_bed, no_evident_not_comfortable_bed"
90,good_room,"clean_room, no_evident_not_clean_room"
91,good_room,"nice_room, clean_room, no_evident_not_nice_room, no_evident_not_clean_room"
92,bad_room,"badly_soundproofed, have_evident_badly_soundproofed"
93,good_room,"comfortable_room, new_room, no_evident_not_comfortable_room, no_evident_not_new_room"
95,good_room,"clean_room, quiet_room, no_evident_not_clean_room, no_evident_not_quiet_room"
96,good_room,"comfortable_room, no_evident_not_comfortable_room"
96,bad_room,"dirty_towels, have_evident_dirty_towels"
98,bad_room,"thick_blankets, hot_weather, have_evident_thick_blankets, have_evident_hot_weather"
99,good_room,"clean_room, no_evident_not_clean_room"
100,good_room,"clean_room, no_evident_not_clean_room"
101,bad_room,"need_doors_cupboards, should_be_drawers_cupboards, have_evident_need_doors_cupboards, have_evident_should_be_drawers_cupboards"
102,good_room,"modern_room, clean_room, no_evident_not_modern_room, no_evident_not_clean_room"
103,good_room,"recently_refurbished_room, spatious_room, nice_view_room, separate_sinks_and_toilette, no_evident_recently_refurbished_room, no_evident_spatifious_room, no_evident_nice_view_room, no_evident_separate_sinks_and_toilette"
103,bad_room,"no_soap_shower, no_shampoo_shower, hand_soap_shower, have_evident_no_soap_shower, have_evident_no_shampoo_shower, have_evident_hand_soap_shower"
105,good_room,"clean_room, spacious_bathroom, no_evident_not_clean_room, no_evident_not_spacious_bathroom"
106,good_room,"comfortable_beds, not_comfortable_beds"
107,good_room,"large_room, newly_redecorated_room, contemporary_style_room, no_evident_large_room, no_evident_newly_redecorated_room, no_evident_contemporary_style_room, comfortable_bed, no_evident_comfortable_bed"
109,good_room,"comfortable_beds_room, nice_rooms, no_evident_not_comfortable_beds_room, no_evident_not_nice_rooms"
111,good_room,"clean_room, no_evident_not_clean_room"
113,good_room,"nice_room, clean_room, no_evident_not_nice_room, no_evident_not_clean_room"
114,good_room,"air_con_room, fridge_room, bottled_water_room, no_evident_not_air_con_room, no_evident_not_fridge_room, no_evident_not_bottled_water_room"
116,good_room,"clean_room, not_close_to_airport_room, well_functioning_ac_room, no_evident_not_clean_room, no_evident_not_well_functioning_ac_room, no_evident_not_close_to_airport_room"
118,good_room,"perfect_room, no_evident_not_perfect_room"
119,good_room,"clean_room, comfortable_room, had_fridge_room, had_kettle_room, good_shower_room, working_air_con_room, no_evident_not_clean_room, no_evident_not_comfortable_room, no_evident_not_had_fridge_room, no_evident_not_had_kettle_room, no_evident_not_good_shower_room, no_evident_not_working_air_con_room"
120,bad_room,"small_room, adequate_room, have_evident_small_room, have_evident_inadequate_room"
122,good_room,"clean_room, no_evident_not_clean_room"
