ID,Prompt,Topic,Test 3
1,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The Hotel itself was very nice, spacious, clean and modern.

---

ASSISTANT:
nice_hotel , spacious_hotel , clean_hotel , modern_hotel , no_evident_not_nice_hotel , no_evident_not_spacious_hotel , no_evident_not_clean_hotel , no_evident_not_modern_hotel

---

USER:
[Text] New, comfortable apartments",good_facility,"new_apartments , comfortable_apartments , no_evident_not_new_apartments , no_evident_not_comfortable_apartments"
2,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""bad_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""have evident"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] when I came but the hotel doesn't have it's own parking lot so sometimes it might be difficult to find a parking spot.

---

ASSISTANT:
no_own_parking_lot , difficult_to_find_parking , have_evident_no_own_parking_lot , have_evident_difficult_to_find_parking

---

USER:
[Text] We had a really pleasant stay!, although not big,",bad_facility,"not_big , have_evident_not_big"
2,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The Hotel itself was very nice, spacious, clean and modern.

---

ASSISTANT:
nice_hotel , spacious_hotel , clean_hotel , modern_hotel , no_evident_not_nice_hotel , no_evident_not_spacious_hotel , no_evident_not_clean_hotel , no_evident_not_modern_hotel

---

USER:
[Text] I like hotels with a family atmosphere, cozy and not big,",good_facility,"family_atmosphere_hotel , cozy_hotel , not_big_hotel , no_evident_not_family_atmosphere_hotel , no_evident_not_cozy_hotel , no_evident_not_not_big_hotel"
53,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The Hotel itself was very nice, spacious, clean and modern.

---

ASSISTANT:
nice_hotel , spacious_hotel , clean_hotel , modern_hotel , no_evident_not_nice_hotel , no_evident_not_spacious_hotel , no_evident_not_clean_hotel , no_evident_not_modern_hotel

---

USER:
[Text] nice, renovated hotel",good_facility,"nice_hotel , renovated_hotel , no_evident_not_nice_hotel , no_evident_not_renovated_hotel"
63,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The Hotel itself was very nice, spacious, clean and modern.

---

ASSISTANT:
nice_hotel , spacious_hotel , clean_hotel , modern_hotel , no_evident_not_nice_hotel , no_evident_not_spacious_hotel , no_evident_not_clean_hotel , no_evident_not_modern_hotel

---

USER:
[Text] It’s been renovated to a exceptionally high standard , it really is well up to 4* standard.",good_facility,"renovated_high_standard , up_to_4_star_standard , no_evident_not_renovated_high_standard , no_evident_not_up_to_4_star_standard"
66,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The Hotel itself was very nice, spacious, clean and modern.

---

ASSISTANT:
nice_hotel , spacious_hotel , clean_hotel , modern_hotel , no_evident_not_nice_hotel , no_evident_not_spacious_hotel , no_evident_not_clean_hotel , no_evident_not_modern_hotel

---

USER:
[Text] The entrance to the hotel is welcoming",good_facility,"welcoming_entrance , no_evident_not_welcoming_entrance"
69,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The Hotel itself was very nice, spacious, clean and modern.

---

ASSISTANT:
nice_hotel , spacious_hotel , clean_hotel , modern_hotel , no_evident_not_nice_hotel , no_evident_not_spacious_hotel , no_evident_not_clean_hotel , no_evident_not_modern_hotel

---

USER:
[Text] The place and the people are lovely",good_facility,"lovely_place , lovely_people , no_evident_not_lovely_place , no_evident_not_lovely_people"
70,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The Hotel itself was very nice, spacious, clean and modern.

---

ASSISTANT:
nice_hotel , spacious_hotel , clean_hotel , modern_hotel , no_evident_not_nice_hotel , no_evident_not_spacious_hotel , no_evident_not_clean_hotel , no_evident_not_modern_hotel

---

USER:
[Text] Peaceful and clean",good_facility,"peaceful , clean , no_evident_not_peaceful , no_evident_not_clean"
76,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The Hotel itself was very nice, spacious, clean and modern.

---

ASSISTANT:
nice_hotel , spacious_hotel , clean_hotel , modern_hotel , no_evident_not_nice_hotel , no_evident_not_spacious_hotel , no_evident_not_clean_hotel , no_evident_not_modern_hotel

---

USER:
[Text] Feels new and clean",good_facility,"new_feel , clean_feel , no_evident_not_new_feel , no_evident_not_clean_feel"
80,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_facility"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The Hotel itself was very nice, spacious, clean and modern.

---

ASSISTANT:
nice_hotel , spacious_hotel , clean_hotel , modern_hotel , no_evident_not_nice_hotel , no_evident_not_spacious_hotel , no_evident_not_clean_hotel , no_evident_not_modern_hotel

---

USER:
[Text] It is a new hotel. Everything was clean.",good_facility,"new_hotel , clean_hotel , no_evident_not_new_hotel , no_evident_not_clean_hotel"
