ID,Prompt,PhraseA,PhraseB,Test 3
1,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is helpful_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,helpful_staff,No
2,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is easy_to_communicate_with. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,easy_to_communicate_with,No
3,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is nice_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,nice_staff,Yes
4,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,great_staff,No
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is lovely_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,lovely_staff,Yes
6,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_show_how_nearby_bus_take_to_town_center. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_show_how_nearby_bus_take_to_town_center,Yes
7,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_show_how_nearby_bus_take_to_airport. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_show_how_nearby_bus_take_to_airport,Yes
8,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is amazing_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,amazing_staff,Yes
9,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is beyond_expectation. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,beyond_expectation,No
10,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_take_time_to_explain. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_take_time_to_explain,Yes
11,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is friendliest_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,friendliest_staff,Yes
12,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is friendly_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,friendly_staff,Yes
13,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is nice_to_talk_to. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,nice_to_talk_to,Yes
14,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is exceptional_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,exceptional_staff,Yes
15,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_go_out_of_their_way_for_us. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_go_out_of_their_way_for_us,Yes
16,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is welcoming_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,welcoming_staff,Yes
17,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_make_like_staying_with_family. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_make_like_staying_with_family,No
18,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_make_it. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_make_it,Yes
19,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is supportive_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,supportive_staff,No
20,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_help_with_all_our_wish. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_help_with_all_our_wish,Yes
21,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_bring_back. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_bring_back,No
22,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_buy_fresh_food. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_buy_fresh_food,No
23,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is kind_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,kind_staff,Yes
24,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is accommodating_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,accommodating_staff,No
25,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is wonderful_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,wonderful_staff,Yes
26,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is polite_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,polite_staff,Yes
27,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is caring_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,caring_staff,Yes
28,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_service. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,great_service,No
