ID,Topic,Output
4,good_price,"- **Support**: quality  
  - **Contrary**: no evident not quality  

- **Support**: price  
  - **Contrary**: no evident not price"
34,good_price,"- **Support**: value for money  
- **Contrary**: no evident not value for money"
44,good_price,"1. good_price  
   - supports:  
     * facilities were good  
     * tariff was charged  
   - contraries:  
     * No evident not facilities were good  
     * No evident not tariff was charged"
46,good_price,"- **Support**: good  
  - **Contrary**: no evident not good"
47,good_price,"- **Support**: good_value_for_money  
  **Contrary**: no_evident_not_good_value_for_money"
49,good_price,"great_value_for_money, no_evident_not_great_value_for_money"
63,good_price,"- **Support**: exceptional  
  - **Contrary**: no evident not exceptional  

- **Support**: value  
  - **Contrary**: no evident not value"
68,good_price,"1. Good  
   - Contrary: no evident not good  

2. price  
   - Contrary: no evident not price"
125,good_price,"Support: reasonable  
Contrary: no evident not reasonable  

Support: quite reasonable (from ""all that with quite reasonable price"")  
Contrary: no evident not quite reasonable"
133,good_price,"- **Support**: great_value_for_money  
  - **Contrary**: no_evident_not_great_value_for_money"
136,good_price,"Here is the text converted into ABA format based on your instructions:

- **Supports**:  
  - low_price  
  - beautiful_hotel  

- **Contraries**:  
  - no_evident_not_low_price  
  - no_evident_not_beautiful_hotel"
149,good_price,"Supports:  
- great  
- for_the_price  

Contraries:  
- No evident not great  
- No evident not for_the_price"
155,good_price,"- value  
  no_evident_not_value"
156,good_price,"- **Support**: good  
  **Contrary**: no_evident_not_good"
203,good_price,"1. Definitely worth the price  
   - definitely_worth_the_price  
     - no_evident_not_definitely  
     - no_evident_not_worth"
206,good_price,"- Claim: good_price  
  Supports and Contraries:  
    - value  
      - no_evident_not_value"
212,good_price,"- **Support**: good_price  
  - **Contrary**: no_evident_not_good_price"
230,good_price,"- **Support**: `good_value_for_money`  
  - **Contrary**: `no_evident_not_good_value_for_money`"
232,good_price,"Here is the text converted into ABA format based on your conditions:

1. `good_price, great_for_the_price, our_purpose_of_a_late_night_flight_arrival`
2. `no_evident_not_great_for_the_price`
3. `no_evident_not_our_purpose_of_a_late_night_flight_arrival`"
234,good_price,"- Support: good_rate_for_excellent_accommodation  
  Contrary: no_evident_not_good_rate_for_excellent_accommodation"
241,bad_price,"1. **Support**: price  
   - The price was high for what you got.  
   - have evident_price_was_high  

2. **Support**: unlabeled_shampoo_dispenser  
   - It only had some random unlabeled shampoo dispenser attached to the shower wall, which seemed cheap considering the hotel cost.  
   - have evident_unlabeled_shampoo_dispenser_attached_to_the_shower_wall"
265,good_price,"- **Claim**: good_price  
  - **Support**: value  
    - **Contrary**: no evident not value  
  - **Support**: good_hotel_experience  
    - **Contrary**: no evident not good_hotel_experience"
287,good_price,"- Claim: good_price  
  Supports and Contraries:  
    - value  
      - no_evident_not_value"
290,good_price,"Here is the ABA format based on your conditions:

- **Support**: value  
  - **Contrary**: no evident not value  

- **Support**: free  
  - **Contrary**: no evident not free"
295,good_price,"- **Support**: worth every Euro  
  - **Contrary**: no evident not worth every Euro"
313,good_price,"The text is converted into ABA format as follows:

1. **Claim**: good_price  
2. **Supports and Contraries**:  
   - value  
     - no_evident_not_value  

Final response:  
good_price, value, no_evident_not_value"
323,good_price,"1. **Support**: value  
   **Contrary**: no evident not value  

2. **Support**: money  
   **Contrary**: no evident not money"
334,good_price,"- Support: economical  
  Contrary: no evident not economical"
338,good_price,"- **Support**: value  
  - **Contrary**: no evident not value"
340,good_price,"1. **Support**: good value for money  
   **Contrary**: no evident not good value for money"
