ID,Output
1,"close_to_airport
no_evident_not_close_to_airport

very_clean_beach
no_evident_not_very_clean_beach"
3,"location is great  
near airport  
bus stop is close  
no evident not location is great  
no evident not near airport  
no evident not bus stop is close"
5,"good_location
easy_stroll
no_evident_not_easy_stroll
numerous_restaurants
no_evident_not_numerous_restaurants
great_beach
no_evident_not_great_beach"
8,"good_location
location
no_evident_not_location"
10,"good_location
quiet_location
no_evident_not_quiet_location"
11,"good_location
bus_stop
no_evident_not_bus_stop
airport
no_evident_not_airport
town_center
no_evident_not_town_center
minutes_walk
no_evident_not_minutes_walk
2_euros
no_evident_not_2_euros"
13,"good_location
short_drive_to_airport
well_located
short_walk_promenade
coffee_shops_restaurants
no_evident_not_short_drive_to_airport
no_evident_not_well_located
no_evident_not_short_walk_promenade
no_evident_not_coffee_shops_restaurants"
14,"close_to_airport
no_evident_not_close_to_airport
restaurants_nearby
no_evident_not_restaurants_nearby
bars_nearby
no_evident_not_bars_nearby
walking_distance_to_beach
no_evident_not_walking_distance_to_beach"
15,"good_location
close_to_airport
no_evident_not_close_to_airport
nearby_beach
no_evident_not_nearby_beach"
15,"bad_location have evident distance from city center
bad_location have evident infrequent bus service"
18,"bus
no evident not bus

20
no evident not 20

minutes
no evident not minutes

centre
no evident not centre

Larnaka
no evident not Larnaka"
19,"close_to_airport
no_evident_not_close_to_airport"
26,"good_location
near_beach
no_evident_not_near_beach
near_lake
no_evident_not_near_lake"
27,"good_location
no_evident_not_good_location

good_location
no_evident_not_good_location"
28,"surrounding_buildings_under_construction
surrounding_buildings_poorly_lit
have_evident_surrounding_buildings_under_construction
have_evident_surrounding_buildings_poorly_lit"
30,"good_location
no_evident_not_good_location

good_location
no_evident_not_good_location"
31,"close_to_mackenzy_beach
no_evident_not_close_to_mackenzy_beach

near_larnaca_airport
no_evident_not_near_larnaca_airport"
36,"bad_location
have evident small
bad_location
have evident side street

bad_location
have evident small
bad_location
have evident side street"
36,"walk  
no evident not walk  
sea  
no evident not sea  
front  
no evident not front  
10-minute  
no evident not 10-minute"
37,"close_by no_evident_not_close_by
every_15_minutes no_evident_not_every_15_minutes"
40,"good_location
no_evident_not_nice_location
good_location
no_evident_not_fairly_close_to_Airport
good_location
no_evident_not_close_to_Mackenzie_beach"
44,"noisy have evident quiet
later have evident earlier
evening have evident morning"
45,"- The beach is about 5 minutes walk away.
- no evident not the beach is about 5 minutes walk away.
- The beach is about 5 minutes walk away.
- no evident not the beach is within walking distance.
- The beach is about 5 minutes walk away.
- no evident not there is a beach nearby."
45,"bad_location
have evident plane_noise
have evident near_runway

bad_location
have evident plane_noise
have evident far_runway"
49,"good_location
close_to_airport
short_walk_sea
no_evident_not_close_to_airport
no_evident_not_short_walk_sea"
50,"close_to_airport
no_evident_not_close_to_airport

good_location
no_evident_not_good_location"
51,"near_airport
no_evident_not_near_airport"
53,"close to the airport
no evident not close to the airport

close to Mackenzie Beach
no evident not close to Mackenzie Beach"
55,"good_location
no_evident_not_good_location"
56,"good_location
close_to_airport
no_evident_not_close_to_airport
within_5_minutes_from_airport
no_evident_not_within_5_minutes_from_airport
prime_location_near_airport
no_evident_not_prime_location_near_airport"
57,"good_location
no_evident_not_good_location

good_location
no_evident_not_good_location"
58,"close_to_airport
no_evident_not_close_to_airport"
58,"bad_location
have evident noise
have evident disturbance

bad_location
have evident noise
have evident silence

bad_location
have evident disturbance
have evident tranquility"
59,"close_to_airport
no_evident_not_close_to_airport

convenient_for_overnight_stay
no_evident_not_convenient_for_overnight_stay"
62,"good_location
near_airport
no_evident_not_near_airport
near_beach
no_evident_not_near_beach"
64,"close_proximity
no_evident_not_close_proximity

5_min_by_car
no_evident_not_5_min_by_car

10_min_by_bus
no_evident_not_10_min_by_bus"
64,"bad_location
have evident noise
have evident proximity_to_airport

bad_location
have evident disturbance
have evident closeness_to_airport

bad_location
have evident loudness
have evident nearness_to_runway

bad_location
have evident commotion
have evident adjacency_to_airfield"
65,"good_location
no_evident_not_good_location

good_location
no_evident_not_good_location"
66,"good_location
no_evident_not_perfect
good_location
no_evident_great_value
good_location
no_evident_friendly"
71,"good_location
bus_stop
no_evident_not_bus_stop
airport_access
no_evident_not_airport_access
few_steps
no_evident_not_few_steps
minutes
no_evident_not_minutes
mackenzie_beach
no_evident_not_mackenzie_beach"
71,"no_shop
have evident_shop

pharmacy_absent
have evident_pharmacy"
74,"quiet place
no evident not quiet place

near to the airport
no evident not near to the airport

beach nearby
no evident not beach nearby

Salt Lake in the city
no evident not Salt Lake in the city

lots of parking places around
no evident not lots of parking places around"
76,"good_location
nearby
no_evident_not_nearby
beach
no_evident_not_beach"
80,"within_walking_distance
no_evident_not_within_walking_distance"
81,"close_to_airport
no_evident_not_close_to_airport"
82,"good_location
location
no_evident_not_location
near
no_evident_not_near
convenient
no_evident_not_convenient
central
no_evident_not_central"
83,"bad_location
far
have evident near

bad_location
centre
have evident outskirts"
88,"good_location
no_evident_not_good_location
easily_reached_from_airport
no_evident_not_easily_reached_from_airport"
91,"close_to_larnaca_airport
no_evident_not_close_to_larnaca_airport"
93,"bus_stop_for_airport_walkable
no_evident_not_bus_stop_for_airport_walkable"
95,"good_location
no_evident_not_good_location"
98,"close_to_airport
no_evident_not_close_to_airport

nice_places
no_evident_not_nice_places

long_beach
no_evident_not_long_beach

cool_fancy_bars
no_evident_not_cool_fancy_bars

salt_lake
no_evident_not_salt_lake"
102,"good_location
close_to_Airport
no_evident_not_close_to_Airport
close_to_Makenzie_beach
no_evident_not_close_to_Makenzie_beach
close_to_touristic_area
no_evident_not_close_to_touristic_area
bus_stop_nearby
no_evident_not_bus_stop_nearby"
104,"quiet place, noisy place, no evident not quiet place, no evident not noisy place"
106,"proximity_to_airport
no_evident_not_proximity_to_airport

proximity_to_airport
no_evident_not_proximity_to_airport"
107,"good_location
no_evident_not_good_location"
109,"good_location
no_evident_not_good_location"
111,"airport
Mackenzie_beach
no_evident_not_airport
no_evident_not_Mackenzie_beach"
114,"10 minutes no evident not 10 minutes
15 minutes no evident not 15 minutes
connecting buses no evident not connecting buses
McKenzie beach no evident not McKenzie beach
ten minute walk no evident not ten minute walk"
115,"good_location
no_evident_not_few_minutes
good_location
no_evident_not_airport_near
good_location
no_evident_best_location_in_larnaca"
116,"clean, no evident not clean  
air conditioned, no evident not air conditioned  
close to the airport, no evident not close to the airport"
117,"next_to_airport
no_evident_not_next_to_airport
walk_to_beach_in_10_minutes
no_evident_not_walk_to_beach_in_10_minutes"
118,"near
no evident not near
beach
no evident not beach
airport
no evident not airport"
119,"good_location
no_evident_not_good_location

good_location
no_evident_not_good_location"
120,"close_to_airport
no_evident_not_close_to_airport"
123,"good_location
close_to_airport
no_evident_not_close_to_airport
convenient_location
no_evident_not_convenient_location"
123,"noisy
have evident quiet

little
have evident much

stayed
have evident left"
125,"close_to_best_beaches_of_Larnaca_region no_evident_not_close_to_best_beaches_of_Larnaca_region  
perfectly_connect_by_public_transport_with_Larnaca_city_centre no_evident_not_perfectly_connect_by_public_transport_with_Larnaca_city_centre"
126,"bad_location
loud
have evident quiet

bad_location
bit
have evident full"
129,"good_location
close_to_makenzie
no_evident_not_close_to_makenzie
perfect
no_evident_not_perfect"
131,"bad_location
have evident traffic
have evident noise
have evident safety_issues
have evident distance
have evident inconvenience"
134,"good_location
no_evident_not_good_location"
137,"good_location
location
no_evident_not_location
near
no_evident_not_near
convenient
no_evident_not_convenient
central
no_evident_not_central"
139,"proximity  
no evident not proximity

airport  
no evident not airport

location  
no evident not location"
140,"close to the airport, no evident not close to the airport"
142,"near  
mackenzie  
beach  
no evident not near  
no evident not mackenzie  
no evident not beach"
143,"good_location
close_to_airport
no_evident_not_close_to_airport
near_airport
no_evident_not_near_airport
close_to_terminal
no_evident_not_close_to_terminal
convenient_transport
no_evident_not_convenient_transport"
145,"close_to_airport
no_evident_not_close_to_airport

5_min_walk
no_evident_not_5_min_walk

blue_flag_beach
no_evident_not_blue_flag_beach"
148,"close
not close
near
not near
adjacent
not adjacent
proximity
not proximity
neighboring
not neighboring
close_to_airport
no evident not close_to_airport"
149,"good_location
no_evident_not_good_location

good_location
no_evident_not_good_location"
152,"close_to_bars
no_evident_not_close_to_bars
close_to_sea
no_evident_not_close_to_sea
close_to_airport
no_evident_not_close_to_airport"
153,"good_location
no_evident_not_good_location

close_to_airport
no_evident_not_close_to_airport

late_flight
no_evident_not_late_flight"
155,"near the airport.
no evident not near the airport."
156,"good_location
near_airport
no_evident_not_near_airport
short_stay
no_evident_not_short_stay
convenient_transport
no_evident_not_convenient_transport
close_to_terminal
no_evident_not_close_to_terminal"
157,"walking_to_beach
no_evident_not_walking_to_beach

10 minutes driving to the city center,
no_evident_not_10_minutes_driving_to_the_city_center

Close to the supermarket,
no_evident_not_close_to_the_supermarket

Near the park,
no_evident_not_near_the_park"
158,"good_location
no_evident_not_good_location"
159,"close_to_airport
no_evident_not_close_to_airport"
168,"near_airport
no_evident_not_near_airport
short_walking_distance_to_beach
no_evident_not_short_walking_distance_to_beach
close_to_restaurants
no_evident_not_close_to_restaurants"
169,"good_location
5_min_drive_to_airport
no_evident_not_5_min_drive_to_airport
close_to_airport
no_evident_not_close_to_airport"
171,"few steps no evident not near the salt lake  
few steps no evident not near McKenzie Beach  
a lot of cafes no evident not many cafes  
a lot of bars no evident not many bars"
177,"close_to_beach
no_evident_not_close_to_beach

close_to_airport
no_evident_not_close_to_airport"
179,"close_to_local_restaurants_and_beach
no_evident_not_close_to_local_restaurants_and_beach
quiet
no_evident_not_quiet"
182,"good_location
closure_no_evident_not_closure
good_location
no_evident_not_good_location"
