ID,Output
1,"helpful_staff, easy_to_communicate_with_staff, no_evident_not_helpful_staff, no_evident_not_easy_to_communicate_with_staff"
2,"nice_staff, helpful_staff, no_evident_not_nice_staff, no_evident_not_helpful_staff"
4,"great_staff, no_evident_not_great_staff"
8,"lovely_personal, no_evident_not_lovely_personal"
9,"helpful_host, shows_nearby_bus, goes_to_town_cntre, goes_to_airport, no_evident_not_helpful_host, no_evident_not_shows_nearby_bus, no_evident_not_goes_to_town_cntre, no_evident_not_goes_to_airport"
11,"amazing_staff, great_receptionist, explains_well, helpful_receptionist, friendly_chef, nice_chef, friendly_cleaning_lady, nice_cleaning_lady, great_owners, no_evident_not_amazing_staff, no_evident_not_great_receptionist, no_evident_not_explains_well, no_evident_not_helpful_receptionist, no_evident_not_friendly_chef, no_evident_not_nice_chef, no_evident_not_friendlies_cleaning_lady, no_evident_not_nice_cleaning_lady, no_evident_not_great_owners"
12,"exceptional_staff, helpful_staff, friendly_staff,staff_go_out_of_their_way_for_us, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_staff_go_out_of_their_way_for_us"
13,"welcoming_staff, feel_like_family_with_staff, no_evident_not_welcoming_staff, no_evident_not_feel_like_family_with_staff"
14,"staff_not_speak_English_properly, have_evident_staff_speak_English_properly"
15,"staff_make_it, no_evident_not_staff_make_it"
17,"friendly_staff, supportive_staff, helped_with_wishes_staff, no_evident_not_friendly_staff, no_evident_not_supportive_staff, no_evident_not_helped_with_wishes_staff"
18,"friendly_reception_staff, friendly_dining_staff, no_evident_not_friendly_reception_staff, no_evident_not_friendly_dining_staff"
20,"friendly_staff, no_evident_not_friendly_staff"
21,"staff_and_owners, personal_buying_fresh_food, owners_kind, richard_personally_buys_super_fresh_food_for_the_restaurant, owners_are_super_kind, no_evident_not_staff_and_owners, no_evident_not_personal_buying_fresh_food, no_evident_not_owners_kind, no_evident_not_richard_personally_buys_super_fresh_food_for_the_restaurant, no_evident_not_owners_are_super_kind"
22,"accommodating_staff, no_evident_not_accommodating_staff"
26,"wonderful_staff, friendly_staff, nice_receptionist_Maria, amazing_receptionist_Maria, no_evident_not_wonderful_staff, no_evident_not_friendly_staff, no_evident_not_nice_receptionist_Maria, no_evident_not_amazing_receptionist_Maria"
27,"friendly_staff, no_evident_not_friendly_staff"
28,"polite_staff, caring_staff, no_evident_not_polite_staff, no_evident_not_caring_staff"
29,"lovely_staff, helpful_staff, no_evident_not_lovely_staff, no_evident_not_helpful_staff"
30,"lovely_staff, great_service, no_evident_not_lovely_staff, no_evident_not_great_service"
31,"friendly_staff, no_evident_not_friendly_staff"
32,"kind_staff, no_evident_not_kind_staff"
33,"helpful_staff, no_evident_not_helpful_staff"
34,"welcoming_staff, no_evident_not_welcoming_staff"
36,"good_receptionist, clear_explanation, no_evident_not_good_receptionist, no_evident_not_clear_explanation"
37,"lovely_staff, caring_staff, no_evident_not_lovely_staff, no_evident_not_caring_staff"
41,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
42,"hospitality, no_evident_not_hospitality,"
44,"warm_welcome_at_reception, warm_welcome_by_dining_staff, no_evident_not_warm_welcome_at_reception, no_evident_not_warm_welcome_by_dining_staff"
47,"helpful_staff,staff_organised_taxi,staff_collected_in_morning, no_evident_not_helpful_staff, no_evident_not_staff_organised_taxi, no_evident_not_staff_collected_in_morning"
48,"lovely_owner, no_evident_not_lovely_owner"
51,"helpful_staff, friendly_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff"
56,"amazing_hospitality_from_staff, no_evident_not_amazing_hospitality_from_staff"
57,"extremely_helpful_staff, ordered_taxi_staff, early_morning_staff, no_evident_extremely_helpful_staff, no_evident_ordered_taxi_staff, no_evident_early_morning_staff"
58,"nice_staff, helpful_staff, no_evident_not_nice_staff, no_evident_not_helpful_staff"
61,"good_service, no_evident_not_good_service"
62,"caring_host, helpful_host, no_evident_not_caring_host, no_evident_not_helpful_host"
64,"reached_out_in_advance_staff, provided_instructions_staff, detailed_instructions_staff, went_above_and_beyond_staff, no_evident_not_reached_out_in_advance_staff, no_evident_not_provided_instructions_staff, no_evident_not_detailed_instructions_staff, no_evident_not_went_above_and_beyond_staff"
66,"friendly_receptionist, smiling_receptionist, no_evident_not_friend_receptionist, no_evident_not_smiling_receptionist"
67,"friendly_staff, no_evident_not_friendly_staff"
68,"friendly_staff, no_evident_not_friendly_staff"
69,"lovely_place, lovely_people, no_evident_not_lovely_place, no_evident_not_lovely_people"
70,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
71,"friendly_staff, nice_staff, no_evident_not_friendly_staff, no_evident_not_nice_staff"
73,"lovely_staff, assisting_staff, always_assisting_staff, no_evident_not_lovely_staff, no_evident_not_assisting_staff, no_evident_not_always_assisting_staff"
74,"friendly_staff, nice_staff, no_evident_not_friendly_staff, no_evident_not_nice_staff"
77,"very_helpful_staff, eager_to_assist_staff, no_evident_very_helpful_staff, no_evident_eager_to_assist_staff"
78,"friendly_staff, nice_staff, no_evident_not_friendly_staff, no_evident_not_nice_staff"
79,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
82,"amazing_staff, no_evident_not_amazing_staff"
83,"nice_staff, friendly_staff, no_evident_not_nice_staff, no_evident_not_friendly_staff"
84,"good_staff, values_customer, polite_staff, caring_staff,staff_do_not_seem_to_do_enough_for_guests, no_evident_not_good_staff, no_evident_not_values_customer, no_evident_not_polite_staff, no_evident_not_caring_staff, no_evident_not_staff_do_not_seem_to_do_enough_for_guests"
85,"friendly_staff, no_evident_not_friendly_staff"
85,"cleaning_delayed, have_evident_cleaning_delayed"
86,"lovely_hotel, friendly_staff, nice_hotel, friendly_staff, no_evident_lovely_hotel, no_evident_friendly_staff"
