ID,Output
2,"clean_room, well_decorated_room, modern_room, no_evident_not_clean_room, no_evident_not_well_decorated_room, no_evident_not_modern_room"
4,"clean_room, no_evident_not_clean_room"
5,"clean_room, comfortable_beds, no_evident_not_clean_room, no_evident_not_comfortable_beds"
6,"clean_room, comfortable_bed, no_evident_not_clean_room, comfortable_bed, no_evident_not_comfortable_bed"
10,"modern_room, comfortable_bed, no_evident_not_modern_room, no_evident_not_comfortable_bed"
11,"spacious_room, clean_room, great_stay, no_evident_not_clean_room, no_evident_not_spacious_room, no_evident_not_great_stay"
12,"clean_room, comfortable_room, no_evident_not_clean_room, no_evident_not_comfortable_room"
13,"lovely_room, new_room, clean_room, comfortable_room, mattress_to_taste, no_evident_not_clean_room, no_evident_not_comfortable_room, no_evident_not_mattress_to_taste"
14,"airplanes_coming, airplanes_leaving, have_evident_airplanes_coming, have_evident_airplanes_leaving"
16,"spacious_room, clean_room, nice_view, no_evident_not_clean_room, no_evident_not_spacious_room, no_evident_not_nice_view"
17,"balcony, sea_view, surrounding_area, no_evident_not_balcony, no_evident_not_sea_view, no_evident_not_surrounding_area"
20,"clean_room, no_evident_not_clean_room"
21,"clean_hotel, nice_hotel, comfortable_hotel, no_evident_not_clean_hotel, no_evident_not_nice_hotel, no_evident_not_comfortable_hotel"
22,"good_room, new_room, clean_room, comfortable_bed, no_evident_not_good_room, no_evident_not_new_room, no_evident_not_clean_room, no_evident_not_comfortable_bed"
22,"need_drawers, fridge_not_placed, shower_not_hot, have_evident_need_drawers, have_evident_fridge_not_placed, have_evident_shower_not_hot"
23,"comfortable_beds, no_evident_not_comfortable_beds"
24,"comfortable_mattress, no_evident_not_comfortable_mattress"
25,"clean_room, quiet_room, no_evident_not_clean_room, no_evident_not_quiet_room"
26,"good_room, well_laid_out_room, good_sized_bathroom, good_sized_balcony, no_evident_not_good_room, no_evident_not_well_laid_out_room, no_evident_not_good_sized_bathroom, no_evident_not_good_sized_balcony"
27,"comfortable_room, clean_room, no_evident_not_comfortable_room, no_evident_not_clean_room"
29,"clean_room, functional_room, no_evident_not_clean_room, no_evident_not_functional_room"
30,"clean_room, no_evident_not_clean_room"
31,"clean_room, comfortable_room, no_evident_not_clean_room, no_evident_not_comfortable_room"
32,"bed_good, rooms_clean, no_evident_not_bed_good, no_evident_not_rooms_clean"
33,"clean_room, modern_furniture, comfortable_stay, no_evident_not_clean_room, no_evident_not_modern_furniture, no_evident_not_comfortable_stay"
33,"noisy_evening, street_side_noise, have_evident_noisy_evening, have_evident_street_side_noise"
34,"more_hooks_walls, have_evident_more_hooks_walls"
35,"heating_problem, hot_water_not_available, have_evident_heating_problem, have_evident_hot_water_not_available"
36,"small_room, few_days, acceptable, fussy_beds, fussy_pillows, have_evident_small_room, have_evident_few_days, have_evident_acceptable, have_evident_fussy_beds, have_evident_fussy_pillows"
36,"clean_room, comfortable_bed, no_evident_not_clean_room, no_evident_not_comfortable_bed"
37,"clean_room, no_evident_not_clean_room"
38,"cool_room, no_evident_not_cool_room"
39,"clean_room, spacious_room, no_evident_not_clean_room, no_evident_not_spacious_room"
40,"no_net_curtain, no_blind, ensure_curtain, have_evident_no_net_curtain, have_evident_no_blind, have_evident_ensure_curtain"
41,"clean_room, modern_room, no_evident_not_clean_room, no_evident_not_modern_room"
42,"clean_room, no_evident_not_clean_room"
43,"clean_room, spacious_room, practical_room, no_evident_not_clean_room, no_evident_not_spacious_room, no_evident_not_practical_room"
45,"updated_room, me_room, no_evident_not_me_room, no_evident_not_clean_room"
48,"clean_room, comfortable_room, no_evident_not_clean_room, no_evident_not_comfortable_room"
49,"big_rooms, sufficient_size, no_evident_not_big_rooms, sufficient_size"
50,"not_soundproof, have_evident_not_soundproof"
51,"clean_room, well_kept_room, no_evident_not_clean_room, no_evident_not_well_kept_room"
53,"bed, no_evident_not_bed, no_evident_not_comfortable"
54,"clean_room, well_decorated_room, no_evident_not_clean_room"
