ID,Topic,Test 2
1,good_location,"close, no_evident_not_close, very_clean, no_evident_not_very_clean"
3,good_location,"near, close, no_evident_not_near, no_evident_not_close"
5,good_location,"in, no_evident_not_in, location, no_evident_not_location"
8,good_location,"nice, no_evident_not_nice, location, no_evident_not_location"
10,good_location,"quiet, no_evident_not_quiet"
11,good_location,"minutes_walk, no_evident_not_minutes_walk, 2_euros, no_evident_not_2_euros"
13,good_location,"short_drive_to_the_airport, located, short_walk_from_the_promenade, coffee_shops, restaurants, no_evident_not_a_short_drive_to_the_airport, no_evident_not_located, no_evident_not_a_short_walk_from_the_promenade, no_evident_not_coffee_shops, no_evident_not_restaurants, this_format_ensures_each_support_is_paired_with_its_contrary, using_exact_vocabulary_and_maintaining_clarity_without_unnecessary_adjectives_or_adverbs"
14,good_location,"no_evident_not_near_the_airport, no_evident_not_next_to_the_beach, no_evident_not_close_to_the_hotel"
15,bad_location,"it_is_a_bit_on_the_edge_of_larnaca, have_evident_frequent_buses_to_the_centre, with_frequent_buses_to_the_centre, have_evident_it_is_a_bit_on_the_edge_of_larnaca"
15,good_location,"close, no_evident_not_close, stroll, no_evident_not_stroll"
18,good_location,"every_20_minutes, centre_of_larnaka, no_evident_not_every_20_minutes, no_evident_not_centre_of_larnaka"
19,good_location,"near, close, proximity, no_evident_not_near, no_evident_not_close, no_evident_not_proximity"
26,good_location,"the_hotel_is_5_minutes_from_the_beach, no_evident_not_5_minutes_from_the_beach, the_location_is_near_the_lake, no_evident_not_near_the_lake"
27,good_location,"overnight_stay, larnaca_airport, no_evident_not_suitable_for_overnight_stay, no_evident_not_from_larnaca_airport"
28,bad_location,"constructions, poorly_lit, have_evident_constructions, have_evident_poorly_lit"
30,good_location,"no_evident_not_has_restaurants, close_to_the_airport, no_evident_not_is_close_to_the_airport"
31,good_location,"close_to_mackenzy_beach, no_evident_not_close_to_mackenzy_beach, close_to_larnaca_airport, no_evident_not_close_to_larnaca_airport"
36,bad_location,"small, have_evident_not_small, side_street, have_evident_not_side_street"
36,good_location,"close_no_evident_not_close, short_walk_no_evident_not_short_walk"
37,good_location,"bus, no_evident_not_bus, airport, no_evident_not_airport, close_by, no_evident_not_close_by, every, no_evident_not_every, minutes, no_evident_not_minutes"
40,good_location,"nice_location, no_evident_not_nice_location, not_far_from_airport, no_evident_not_far_from_airport, not_far_from_mackenzie_beach, no_evident_not_far_from_mackenzie_beach"
41,bad_location,"close_at_22_30, have_evident_it_does_not_close_early, no_food_afterwards, have_evident_there_is_food_available"
