ID,Output
4,"Great Quality/price
no evident not Quality
no evident not price"
34,"value for money
no evident not money
no evident not money"
44,"good_price
facilities were good
facilities were good
no evident not facilities were good
particularly tariff charged
no evident not tariff charged"
46,"good_price
value money
no evident not value money"
47,"good value for money
price is low
no evident not price is low
no evident not price is low"
49,"good_price
value money
no evident not value money"
63,"exceptional value
no evident not value"
68,"good value, value, value, no evident not value, no evident not value."
125,"quite reasonable price
no evident not reasonable price"
133,"good value for money
money is valuable
no evident not money is valuable
value is good
no evident not value is good"
136,"cheap price, no evident not cheap price
beautiful hotel, no evident not beautiful hotel
cheap price, no evident not cheap price"
149,"great price
no evident not great price"
155,"good_price
value money
no evident not value money"
156,"good value
no evident not value"
203,"worth price
no evident not worth price"
206,"good value
no evident not value
no evident not value"
212,"very cheap
no evident not cheap
no evident not cheap"
230,"good value
no evident not value
good value
no evident not value"
232,"good_price
late flight arrival
no evident not late flight arrival
no evident not good_price"
234,"good rate
no evident not rate
excellent standard
no evident not standard"
241,"price was bad
it had dispenser
it had dispenser have evident
it had dispenser have evident"
265,"good price
hotel
stayed
£50
night
hotel
stayed
£50
night
no evident not hotel
no evident not stayed
no evident not £50
no evident not night"
287,"good value
no evident not value
no evident not value"
290,"room excellent value money
no evident not room excellent value money
location excellent value money
no evident not location excellent value money"
295,"good_price
worth Euro
worth Euro
no evident not worth Euro
worth Euro
no evident not worth Euro"
313,"good_price
value for money
no evident not value
no evident not money"
323,"good_price
value for money
no evident not value for money
no evident not value for money"
334,"very economic
no evident not economic
no evident not economic"
338,"value for money, no evident not value for money."
340,"good value
no evident not value"
366,"price is good
no evident not high
price is good
no evident not high"
396,"price was great
no evident not price
no evident not price"
414,"great value
no evident not value
no evident not value"
416,"Value for money!
It is good price.
no evident not value
no evident not money"
435,"priced like a hotel
have evident high price
have evident low value"
436,"bad_price
water bottle
have evident water bottle
better hotels
have evident better hotels"
437,"it was expensive
have evident price
have evident price"
460,Rate was very expensive. Rate have evident low value.
471,"good_price
value for money
no evident not value for money
exceptional value
no evident not exceptional value"
474,"bad_price
facilities
have evident facilities
have evident facilities"
505,"Price/performance is totally right.
no evident not performance
no evident not right"
510,"cheap
no evident not cheap
no evident not cheap"
524,"place gives value price
no evident not place gives value price"
527,"good_price
value for money
no evident not value for money
value for money
no evident not value for money"
556,"good value
no evident not value"
580,"good_price
establishment undervalued
no evident not establishment undervalued"
590,"reasonable price, no evident not reasonable price
reasonable price, no evident not reasonable price"
595,"meal not included price
have evident meal not included price"
596,"cheap,
no evident not clean,
modern,
no evident not modern,
cheap,
no evident not cheap."
600,"we were satisfied, corresponds to the price, no evident not satisfied, no evident not corresponds to the price"
609,"price is high
room is small
comfort is limited
room is small have evident
comfort is limited have evident"
611,"good value
no evident not value"
619,"good_price
value for money
no evident not value for money"
631,"good_price
quality
no evident not quality
price
no evident not price"
715,"worth the price
no evident not price
no evident not price"
737,"good_price
value money
no evident not value money"
767,"bad_price
expensive
have evident expensive
have evident expensive"
770,"value for money
no evident not money
no evident not money"
775,"perfect price
it is good price
no evident not it is good price"
778,"good_price
value
no evident not value"
