ID,Topic,Output
1,good_facility,"new_apartments, comfortable_apartments, no_evident_new_apartments, no_evident_comfortable_apartments"
2,bad_facility,"pleasant_stay, small_size, have_evident_pleasant_stay, have_evident_small_size"
2,good_facility,"family_atmosphere, cozy_hotel, not_big_hotel, no_evident_family_atmosphere, no_evident_not_cozy_hotel, no_evident_big_hotel"
53,good_facility,"nice_hotel, renovated_hotel, no_evident_not_nice_hotel, no_evident_not_renovated_hotel"
63,good_facility,"high_standard, 4_star, no_evident_high_standard, no_evident_4_star"
66,good_facility,"welcoming_entrance, no_evident_not_welcoming_entrance"
69,good_facility,"lovely_place, lovely_people, no_evident_not_lovely_place, no_evident_not_lovely_people"
70,good_facility,"peaceful_place, clean_place, no_evident_not_peaceful_place, no_evident_not_clean_place"
76,good_facility,"new_feeling, clean_feeling, no_evident_not_new_feeling, no_evident_not_clean_feeling"
80,good_facility,"new_hotel, clean_everything, no_evident_not_new_hotel, no_evident_not_clean_everything"
81,bad_facility,"no_24_hour_reception, hard_access_entry_odd_hours, have_evident_no_24_hour_reception, have_evident_hard_access_entry_odd_hours"
84,good_facility,"clean_everywhere, clean_garden, many_chairs, spotless_clean_everywhere, spotless_clean_garden, no_evident_not_clean_everywhere, no_evident_not_clean_garden, no_evident_not_many_chairs, no_evident_not_spotless_clean_everywhere, no_evident_not_spotless_clean_garden"
84,bad_facility,"no_pool, have_evident_no_pool"
86,good_facility,"lovely_hotel, friendly_staff, no_evident_lovely_hotel, no_evident_not_friendly_staff"
88,good_facility,"clean_hotel, comfortable_hotel, small_hotel, no_evident_not_clean_hotel, no_evident_not_comfortable_hotel, no_evident_not_small_hotel"
90,bad_facility,"difficult_parking, have_evident_difficult_parking"
94,good_facility,"modern_facility, no_evident_not_modern_facility"
98,good_facility,"nice_hotel, spacious_hotel, clean_hotel, modern_hotel, no_evident_not_nice_hotel, no_evident_not_spacious_hotel, no_evident_not_clean_hotel, no_evident_not_modern_hotel"
109,good_facility,"clean_hotel, no_evident_not_clean_hotel"
110,good_facility,"refurbished_building, comfortable_building, no_evident_not_refurbished_building, no_evident_not_comfortable_building"
112,good_facility,"refurbished, no_evident_not_refurbished"
114,bad_facility,"no_pool, lack_of_swimming_facilities, have_evident_no_pool, have_evident_lack_of_swimming_facilities"
114,good_facility,"clean_hotel, no_evident_not_clean_hotel"
123,good_facility,"nice_hotel, simple_hotel, no_evident_not_nice_hotel, no_evident_not_simple_hotel"
130,good_facility,"allowed_animals, no_evident_not_allowed_animals"
133,bad_facility,"no_swimming_pool, lack_of_swimming_facilities, have_evident_no_swimming_pool, have_evident_lack_of_swimming_facilities"
134,good_facility,"lovely_veranda, clean_veranda, no_evident_not_lovely_veranda, no_evident_not_clean_veranda"
135,good_facility,"modern_accommodation, clean_accommodation, no_evident_not_modern_accommodation, no_evident_not_clean_accommodation"
136,bad_facility,"disgusting_outside, clean_outside, have_evident_disgusting_outside, have_evident_clean_outside"
136,good_facility,"clean_inside, beautiful_inside, no_evident_not_clean_inside, no_evident_not_beautiful_inside"
139,bad_facility,"slow_elevators, have_evident_slow_elevators"
141,good_facility,"fantastic_hotel, no_evident_not_fantastic_hotel"
149,bad_facility,"nothing_to_do_with_hotel, have_evident_something_to_do_with_hotel"
150,good_facility,"new_everything, beautiful_everything, clean_everything, no_evident_not_new_everything, no_evident_not_beautiful_everything, no_evident_not_clean_everything"
