ID,Output
1,"new apartments
comfortable apartments
no evident not new apartments
no evident not comfortable apartments"
2,"bad_facility
have evident poor
have evident small"
2,"good_facility small
good_facility warm
no evident not small
no evident not warm"
53,"nice no evident not nice  
renovated no evident not renovated"
63,"good_facility
renovated
no evident not renovated
well_up_to_4_star_standard
no evident not well_up_to_4_star_standard"
66,"good_facility
entrance welcoming
no evident not entrance welcoming

good_facility
welcoming entrance
no evident not welcoming entrance"
69,"good_facility
place
no_evident_not_place
people
no_evident_not_people"
70,"good_facility peaceful no_evident_not peaceful
good_facility clean no_evident_not clean"
76,"new
clean
no evident not new
no evident not clean"
80,"new hotel  
clean  
no evident not new hotel  
no evident not clean"
81,"no_24_hour_reception
have_evident_24_hour_reception

bad_facility"
84,"- everything_clean
- no_evident_not_everything_clean
- plenty_chairs
- no_evident_not_plenty_chairs
- garden_clean
- no_evident_not_garden_clean"
84,"- did not have pool
- have evident pool"
86,"good_facility
friendly_staff
no_evident_not_friendly_staff

nice_hotel
no_evident_not_nice_hotel"
88,"clean
comfortable
little
no evident not clean
no evident not comfortable
no evident not little"
90,"parking not always easy
have evident parking often difficult
have evident parking sometimes available"
94,"modern facility
no evident not modern facility"
98,"good_facility
nice
no evident not nice
spacious
no evident not spacious
clean
no evident not clean
modern
no evident not modern"
109,"clean no evident not clean
good_facility no evident not good_facility"
110,"completely refurbished
no evident not completely refurbished

comfortable
no evident not comfortable"
112,"recently refurbished
not recently refurbished"
114,"didn't have pool
have evident pool"
114,"clean
no evident not clean

immaculately clean
no evident not immaculately clean"
123,"good_facility nice_simple_hotel
no_evident_not_nice_simple_hotel"
130,"allowed
not allowed"
133,"no swimming pool
have evident no swimming pool"
134,"good_facility
veranda_clean
no_evident_not_veranda_clean

veranda_lovely
no_evident_not_veranda_lovely"
135,"modern no evident not modern
clean no evident not clean"
136,"bad_facility
have evident dirt
have evident filth

bad_facility
have evident decay
have evident ruin"
136,"clean no evident not clean
beautiful no evident not beautiful"
139,"slow elevators
have evident slow speed
have evident delay

fast elevators
have evident fast speed
have evident no delay"
141,"good_facility
bad_facility
clean
unclean
comfortable
uncomfortable
convenient
inconvenient
well-maintained
poorly-maintained"
149,"bad_facility
have evident poor facilities
have evident insufficient activities
have evident inadequate maintenance
have evident subpar cleanliness
have evident limited amenities

bad_facility
have evident good facilities
have evident abundant activities
have evident excellent maintenance
have evident superior cleanliness
have evident extensive amenities"
150,"new
no evident not new

beautiful
no evident not beautiful

clean
no evident not clean"
150,"no_kiosk_open_24_hours
have_evident_kiosk_open_24_hours

no_proximity_to_kiosk
have_evident_proximity_to_kiosk"
155,"good_facility
facilities_wonderful
facilities_brand_new
facilities_full_equiped
no_evident_not_facilities_wonderful
no_evident_not_facilities_brand_new
no_evident_not_facilities_full_equiped"
158,"clean
no evident not clean
fantastic
no evident not fantastic"
160,"good_facility
perfect_hotel
no_evident_not_perfect_hotel"
162,"good_facility
bad_facility
clean_room
unclean_room
comfortable_bed
uncomfortable_bed
convenient_location
inconvenient_location
friendly_staff
rude_staff"
164,"good_facility
run
no evident not run
family
no evident not family"
167,"good_facility
no_evident_not_good_facility

superb_location
no_evident_not_superb_location

well_maintained_equipment
no_evident_not_well_maintained_equipment"
169,"great_accommodation
clean
quiet
no_evident_not_great_accommodation
no_evident_not_clean
no_evident_not_quiet"
