ID,Output
1,"new
no evident not new
comfortable
no evident not comfortable
apartments
no evident not apartments"
2,"stay, not big
have evident stay, not big"
2,"family atmosphere
no evident not big
cozy
no evident not big"
53,"nice, renovated hotel
no evident not nice
no evident not renovated"
63,"good_facility
renovated
standard
well
standard
no evident not renovated
no evident not standard
no evident not well"
66,"welcoming
no evident not welcoming"
69,"place
people
lovely
no evident not place
no evident not people
lovely"
70,"peaceful
no evident not peaceful
clean
no evident not clean"
76,"feels new
feels clean
no evident not feels new
no evident not feels clean"
80,"new
hotel
clean
no evident not new
no evident not hotel
no evident not clean"
81,"bad_facility
not easy access
have evident not easy access
not easy access
have evident not easy access"
84,"spotless clean everywhere
no evident not spotless clean everywhere
spotless clean everywhere
no evident not spotless clean everywhere"
84,"pool, have evident
lack, have evident"
86,"good_facility
staff
no evident not staff
friendly
no evident not friendly"
88,"good_facility
clean
no evident not clean
comfortable
no evident not comfortable
little
no evident not little
hotel
no evident not hotel"
90,"parking not always easy
have evident parking not easy
have evident parking not easy"
94,"modern facility
support: facility
contrary: no evident not facility
support: modern
contrary: no evident not modern
support: facility
contrary: no evident not facility
support: modern
contrary: no evident not modern"
98,"good_facility
spacious
no evident not spacious
clean
no evident not clean
modern
no evident not modern"
109,"clean hotel,
hotel provides good facility,
no evident not hotel provides good facility,
clean,
no evident not clean,
hotel,
no evident not hotel,"
110,"building refurbished
it confortable
no evident not it confortable"
112,"recently refurbished
no evident not refurbished
no evident not refurbished"
114,"It didn't have a pool
have evident lack
have evident pool"
114,"hotel was clean
no evident not dirty
hotel was clean
no evident not damaged"
123,"good_facility
simple
no evident not simple"
130,"that your hotel allowed to stay with animals
no evident not allowed
no evident not stay"
133,"no swimming pool
have evident lack
have evident water
have evident risk"
134,"veranda was lovely
veranda was clean
veranda was lovely
no evident not veranda was clean
veranda was lovely
no evident not veranda was clean"
135,"modern
no evident not modern
clean
no evident not clean"
136,Disgusting on the outside. Have evident decay. Have evident damage. Have evident rust. Have evident deterioration.
136,"clean
beautiful
no evident not clean
no evident not beautiful"
139,"slow elevators
have evident slow elevators
have evident slow elevators"
141,"good_facility
hotel
no evident not hotel"
149,"hotel, nothing"
150,"new
no evident not new
beautiful
no evident not beautiful
clean
no evident not clean"
150,"no kiosk open 24 hours
have evident no kiosk open 24 hours"
155,"good_facility
wonderful facilities
no evident not wonderful facilities
full equiped
no evident not full equiped"
158,"hotel is clean
no evident not clean
hotel is fantastic
no evident not fantastic"
160,"good_facility
no evident not perfect
no evident not hotel"
162,"good_facility
amazing
no evident not amazing
amazing
no evident not amazing"
164,"good_facility
family
establishment
no evident not family
no evident not establishment"
167,"super clean place, no evident not super clean place."
169,"great accommodation, clean, quiet
no evident not clean
no evident not quiet"
171,"hotel doesn't have parking lot
have evident parking spot
doesn't have parking lot
have evident parking spot"
172,"everything was clean
no evident not clean
everything was clean
no evident not clean"
183,"very clean hotel,
hotel is clean,
no evident not hotel is clean,
very clean,
no evident not very clean,"
190,"good_facility
modern
no evident not modern
contemporary
no evident not contemporary"
212,"beautiful hotel
hotel is good facility
no evident not hotel is good facility"
