ID,Prompt,PhraseA,PhraseB,Test 2
1,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_check-out_time. Phrase A is no_evident_not_good_check-out_time.",no_evident_not_good_check-out_time,good_check-out_time,Yes
2,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is allow_to_check-out_later. Phrase A is no_evident_not_good_check-out_time.",no_evident_not_good_check-out_time,allow_to_check-out_later,Yes
3,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is fast_check-out. Phrase A is no_evident_not_good_check-out_time.",no_evident_not_good_check-out_time,fast_check-out,Yes
4,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is no_problem_left_at_night. Phrase A is no_evident_not_good_check-out_time.",no_evident_not_good_check-out_time,no_problem_left_at_night,Yes
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_give_early_check-out. Phrase A is no_evident_not_good_check-out_time.",no_evident_not_good_check-out_time,staff_give_early_check-out,Yes
6,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is late_departure_no_extra_cost. Phrase A is no_evident_not_good_check-out_time.",no_evident_not_good_check-out_time,late_departure_no_extra_cost,Yes
7,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is hotel_allow_late_departure. Phrase A is no_evident_not_good_check-out_time.",no_evident_not_good_check-out_time,hotel_allow_late_departure,Yes
8,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is possibility_for_late_check_out. Phrase A is no_evident_not_good_check-out_time.",no_evident_not_good_check-out_time,possibility_for_late_check_out,Yes
9,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_check-out_time. Phrase A is no_evident_not_allow_to_check-out_later.",no_evident_not_allow_to_check-out_later,good_check-out_time,Yes
10,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is allow_to_check-out_later. Phrase A is no_evident_not_allow_to_check-out_later.",no_evident_not_allow_to_check-out_later,allow_to_check-out_later,Yes
11,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is fast_check-out. Phrase A is no_evident_not_allow_to_check-out_later.",no_evident_not_allow_to_check-out_later,fast_check-out,Yes
12,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is no_problem_left_at_night. Phrase A is no_evident_not_allow_to_check-out_later.",no_evident_not_allow_to_check-out_later,no_problem_left_at_night,Yes
13,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_give_early_check-out. Phrase A is no_evident_not_allow_to_check-out_later.",no_evident_not_allow_to_check-out_later,staff_give_early_check-out,Yes
14,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is late_departure_no_extra_cost. Phrase A is no_evident_not_allow_to_check-out_later.",no_evident_not_allow_to_check-out_later,late_departure_no_extra_cost,Yes
15,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is hotel_allow_late_departure. Phrase A is no_evident_not_allow_to_check-out_later.",no_evident_not_allow_to_check-out_later,hotel_allow_late_departure,Yes
16,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is possibility_for_late_check_out. Phrase A is no_evident_not_allow_to_check-out_later.",no_evident_not_allow_to_check-out_later,possibility_for_late_check_out,Yes
17,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_check-out_time. Phrase A is no_evident_not_fast_check-out.",no_evident_not_fast_check-out,good_check-out_time,Yes
18,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is allow_to_check-out_later. Phrase A is no_evident_not_fast_check-out.",no_evident_not_fast_check-out,allow_to_check-out_later,Yes
19,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is fast_check-out. Phrase A is no_evident_not_fast_check-out.",no_evident_not_fast_check-out,fast_check-out,Yes
20,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is no_problem_left_at_night. Phrase A is no_evident_not_fast_check-out.",no_evident_not_fast_check-out,no_problem_left_at_night,Yes
21,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is staff_give_early_check-out. Phrase A is no_evident_not_fast_check-out.",no_evident_not_fast_check-out,staff_give_early_check-out,Yes
