ID,Output
1,"good_location
close airport
no evident not close airport
to very clean beach
no evident not to very clean beach"
3,"good_location
bus stop
very close
no evident not very close
airport
near the airport
no evident not near the airport"
5,"good_location
easy stroll
no evident not easy stroll
numerous nice restaurants
no evident not numerous nice restaurants
a great beach
no evident not a great beach"
8,"good_location
nice
no evident not nice"
10,"quiet location
no evident not quiet"
11,"good_location
minutes walk
2 euros
no evident not minutes walk
no evident not 2 euros"
13,"good_location
short drive to the airport
no evident not short drive to the airport
short walk from the promenade
no evident not short walk from the promenade
coffee shops
no evident not coffee shops
restaurants
no evident not restaurants"
14,"good_location
restaurants
bars
walking distance
no evident not restaurants
no evident not bars
no evident not walking distance"
15,"good_location
Airport
nearby beach
no evident not Airport
no evident not beach"
15,"bad_location
busses to the centre
have evident busses to the centre
frequent busses to the centre
have evident frequent busses to the centre"
18,"good_location
Bus every 20 minutes to the centre of Larnaka
no evident not Bus
no evident not every
no evident not minutes
no evident not centre
no evident not Larnaka"
19,"good_location
Close to airport
no evident not close airport"
26,"good_location
beach
no evident not beach
lake
no evident not lake"
27,"good_location
airport
no evident not airport
flying
no evident not flying
Larnaca
no evident not Larnaca"
28,"bad_location
Surrounding buildings are under construction.
Have evident surrounding buildings are under construction.
Surrounding buildings are poorly lit.
Have evident surrounding buildings are poorly lit."
30,"good_location
drive
no evident not drive
short
no evident not short
airport
no evident not airport"
31,"good_location
beach
airport
no evident not beach
no evident not airport"
36,"location
side street
have evident location
have evident side street"
36,"good_location
walk
10-minute
sea front
no evident not walk
no evident not 10-minute
no evident not sea front"
37,"good_location
runs
no evident not runs
close
no evident not close"
40,"good_location
Airport
Mackenzie beach
no evident not Airport
no evident not Mackenzie beach"
44,"bad_location
noise
have evident silence
later
have evident early"
45,"good_location
beach
5 minutes
walk away
no evident not beach
no evident not 5 minutes
no evident not walk
no evident not away"
45,"bad_location
runway
have evident runway
noise
have evident noise
plane
have evident plane"
49,"good_location
airport
sea
no evident not airport
no evident not sea"
50,"good_location
airport
no evident not airport
close
no evident not close"
51,"near airport
no evident not near airport"
53,"good_location
close to the airport
no evident not close to the airport
Mackenzie Beach
no evident not Mackenzie Beach"
55,"good_location
airport transfers
no evident not airport transfers"
56,"good_location
airport
no evident not airport
prime location
no evident not prime location"
57,"good_location
walk
no evident not walk
restaurants
no evident not restaurants"
58,"good_location
Close to the airport
no evident not close"
58,"bad_location
noise
have evident noise
planes
have evident planes"
59,"good_location
airport
convenient
overnight
no evident not airport
no evident not convenient
no evident not overnight"
62,"good_location
near airport
no evident not near airport
near beach
no evident not near beach"
64,"good_location
proximity
no evident not proximity
close
no evident not close
airport
no evident not airport"
64,"bad_location
noise
planes
airport
close
have evident noise
have evident planes
have evident airport
have evident close"
65,"good_location
easy to get
no evident not easy to get
great
no evident not great"
66,"good_location
The location was perfect for the airport.
no evident not the location was perfect for the airport.
The fish and steak restaurant around the corner was great value.
no evident not the fish and steak restaurant around the corner was great value.
The fish and steak restaurant was friendly.
no evident not the fish and steak restaurant was friendly."
71,"good_location
steps
minutes
no evident not steps
no evident not minutes"
71,"bad_location
there is no shop
have evident no pharmacy
there is no pharmacy
have evident no shop"
74,"good_location
parking places
no evident not parking places
beach
no evident not beach
Salt Lake
no evident not Salt Lake
airport
no evident not airport"
76,"good_location
nearby the beach
no evident not nearby the beach
perfect location
nearby the beach
no evident not nearby the beach"
80,"good_location
walking distance
no evident not walking distance"
81,"good_location
Close to the airport
no evident not close"
82,"great location
no evident not location
no evident not location"
83,"location was far from centre
have evident location was near centre"
88,"good_location
easily reached
no evident not easily reached
airport"
91,"good_location
Close
no evident not close"
93,"good_location
walkable
no evident not walkable"
95,"good_location
airport
no evident not airport
perfect location
no evident not location"
98,"good_location
close to the airport
no evident not close to the airport
offers some nice places
no evident not offers some nice places
mackenzie is nice
no evident not mackenzie is nice
long
no evident not long
some cool and fancy bars
no evident not some cool and fancy bars
salt lake
no evident not salt lake"
102,"good_location
Airport
Makenzie beach
touristic area
bus stop
Airport
Makenzie beach
touristic area
bus stop
no evident not Airport
no evident not Makenzie beach
no evident not touristic area
no evident not bus stop"
104,"good_location
Quiet
no evident not quiet"
106,"good_location
proximity
no evident not proximity
airport"
107,"good_location
airport
no evident not airport
convenient
no evident not convenient"
109,"good_location
airport
no evident not airport
convenient
no evident not convenient
late flights
no evident not late flights
overnight stay
no evident not overnight stay"
111,"good_location
airport
Mackenzie beach
no evident not airport
no evident not Mackenzie beach"
114,"good_location
taxi
no evident not ten minutes
shuttle bus
no evident not fifteen minutes
connecting buses
no evident not via Larnaca
McKenzie beach
no evident not close by
food restaurants
no evident not ten minute walk"
115,"good_location
airport
near
mackenzie beach
no evident not airport
no evident not near"
116,"good_location
close
no evident not close
air
no evident not air
conditioned
no evident not conditioned
airport
no evident not airport"
117,"good_location
it takes five minutes
no evident not five minutes
the beach is ten minutes
no evident not ten minutes"
118,"location near the airport and beach
no evident not airport
no evident not beach
no evident not airport
no evident not beach"
119,"good_location
airport
beach
no evident not airport
no evident not beach"
120,"good_location
close to airport
no evident not close to airport"
123,"good_location
close airport
no evident not close airport"
123,"bad_location
area
was
noisy
have evident area was quiet
have evident area was peaceful"
125,"good_location
close beach
perfect transport
close beach
no evident not close beach
perfect transport
no evident not perfect transport"
126,"bad_location
It was loud outside.
Have evident loud outside.
It was a bit loud outside.
Have evident bit loud outside."
129,"good_location
Makenzie close
no evident not close
Makenzie perfect
no evident not perfect"
131,"bad_location
far
have evident far
far
have evident far"
134,"good_location
beach
bars
no evident not beach
no evident not bars"
137,"great location
no evident not location
no evident not location"
139,"good_location
proximity to the airport
no evident not proximity to the airport"
140,"good_location
close to the airport
no evident not close to the airport"
142,"good_location
near
beach
no evident not near
Mackenzie"
143,"good_location
airport
no evident not airport
close
no evident not close"
145,"good_location
airport
Makenzie
blue flag beach
5 min walk
no evident not airport
no evident not Makenzie
no evident not blue flag beach
no evident not 5 min walk"
148,"good_location
airport
no evident not airport
close"
149,"good_location
beachside cafes
treacherous
no evident not beachside cafes
no evident not treacherous"
152,"good_location
close bars
close airport
close bars
no evident not close bars
close airport
no evident not close airport"
155,"good_location
near the airport
no evident not near the airport"
156,"good_location
near airport
no evident not near airport
few hours
no evident not few hours
catching plane
no evident not catching plane"
157,"good_location
7 minutes walking to the beach
no evident not 7 minutes walking to the beach"
158,"good_location
beach
no evident not beach"
159,"good_location
airport
no evident not airport
close
no evident not close"
168,"good_location
near airport
short walking distance beach
short walking distance restaurants
no evident not near airport
no evident not short walking distance beach
no evident not short walking distance restaurants"
169,"good_location
5 min drive
no evident not 5 min drive
prior"
171,"good_location
steps
few
salt lake
McKenzie Beach
cafes
bars
nearby
no evident not steps
no evident not few
no evident not salt lake
no evident not McKenzie Beach
no evident not cafes
no evident not bars
no evident not nearby"
177,"good_location
beach
airport
no evident not beach
no evident not airport"
179,"good_location
restaurants
beach
quiet
no evident not restaurants
no evident not beach
no evident not quiet"
182,"good_location
Airport
Closure
no evident not Airport
no evident not Closure"
183,"good_location
beach
no evident not beach
very close"
185,"good_location
airport
no evident not airport
which
no evident not which
was"
185,"bad_location
access car
have evident access car
use hotel
have evident use hotel
base
have evident base"
190,"good_location
Convenient
no evident not convenient"
191,"good_location
beside airport
no evident not beside airport
beside airport
no evident not beside airport"
193,"good_location
beach
airport
transfer
no evident not beach
no evident not airport
no evident not transfer"
195,"bad_location
Not too close to the beach
have evident not too close to the beach"
195,"good_location
airport
no evident not airport"
197,"good_location
Mackenzy beach
restaurants
not that far away
no evident not Mackenzy beach
no evident not restaurants"
199,"good_location
beach
restaurants
cafés
5 minute walk
no evident not beach
no evident not restaurants
no evident not cafés
no evident not 5 minute walk"
202,"good_location
close beach
close restaurants
no evident not close beach
no evident not close restaurants"
204,"good_location
easy access
no evident not easy access
convenient
no evident not convenient
close proximity"
206,"good_location
beach
less than
five minutes
no evident not beach
no evident not less than
no evident not five minutes"
208,"good_location
easy parking
no evident not easy parking
quiet area
no evident not quiet area"
210,"fine location
no evident not fine"
211,"good_location
airport
town
no evident not airport
no evident not town"
211,"bad_location
half an hour walking to town
have evident half an hour walking to town"
219,"bad_location
air traffic
have evident air traffic
noise"
220,"good_location
walk airport
no evident not walk airport
b4 highway
no evident not b4 highway"
226,"bad_location
room
was
warm
turned off
completely empty
shop
kiosk
nearby
fill"
227,"good_location
Close to airport.
no evident not close"
228,"location is convenient
no evident not convenient
quiet
no evident not quiet"
231,"good_location
supports:
situated
contraries:
no evident not situated
supports:
ideal
contraries:
no evident not ideal
supports:
for
contraries:
no evident not for
supports:
airport
contraries:
no evident not airport"
232,"good_location
airport
no evident not airport
late
flight
no evident not flight"
233,"bad_location
shop
have everything
cafe
shop
have evident everything
cafe"
234,"good_location
beach
no evident not beach
bars
no evident not bars
restaurants
no evident not restaurants"
235,"good_location
no evident not location
no evident not location"
236,"good_location
bus route
airport
10 minutes
no evident not bus route
no evident not airport
no evident not 10 minutes"
238,"close to the airport
no evident not close"
239,"good_location
Not far from the sea
no evident not far from the sea"
240,"good_location
beach
restaurants
no evident not beach
no evident not restaurants"
241,"location was perfect
no evident not walking
no evident not close"
243,"good_location
near beaches
no evident not near beaches
restaurants
no evident not restaurants"
246,"good_location
airport
no evident not airport
10 minutes
no evident not 10 minutes"
246,"bad_location
it’s amongst buildings
have evident it’s amongst buildings
it’s amongst buildings
have evident it’s amongst buildings
it’s amongst buildings
have evident it’s amongst buildings"
250,"good_location
walk
to beach
to restaurants
no evident not walk
no evident not to beach
no evident not to restaurants"
253,"good_location
cleanliness
no evident not cleanliness
quietness
no evident not quietness"
254,"good_location
airport
no evident not airport
works
no evident not works"
255,"good_location
beach
no evident not beach
airport
no evident not airport
steps
no evident not steps"
257,"good_location
quiet
no evident not quiet"
259,"good_location
easy drive
no evident not easy drive
then airport"
260,"good_location
Mackenzie Beach
downtown
40 mins
3 km
no evident not Mackenzie Beach
no evident not downtown
no evident not 40 mins
no evident not 3 km"
262,"good_location
taxi
€20
late
no evident not taxi
no evident not €20
no evident not late"
268,"good_location
Easy walk to Mackenzie Beach
no evident not easy walk to Mackenzie Beach
short journey from airport
no evident not short journey from airport"
271,"good_location
Near beach
Near restaurants
Public bus station
Close airport
no evident not Near beach
no evident not Near restaurants
no evident not Public bus station
no evident not Close airport"
272,"good_location
Near Mackenzie beach
no evident not Near Mackenzie beach
very close to the center
no evident not very close to the center"
276,"good_location
45 min walk to airport
no evident not 45 min walk to airport"
278,"good_location
easy
no evident not easy
airport"
279,"good_location
drive
no evident not drive
approx
no evident not approx
minute
no evident not minute
drive
no evident not drive
historical
no evident not historical
area
no evident not area"
280,"bad_location
restaurants very close
have evident restaurants very close
lovely restaurants
have evident lovely restaurants
sea front
have evident sea front
airport
have evident airport
Limassol
have evident Limassol"
280,"good_location
restaurants
lovely
sea front
Limassol
airport
no evident not restaurants
no evident not lovely
no evident not sea front
no evident not Limassol
no evident not airport"
281,"good_location
airport
no evident not airport
restaurants
no evident not restaurants"
282,"good_location
close beach
no evident not close beach
quiet place
no evident not quiet place"
284,"good_location
restaurants
on the beach
quite close
hotel
staff
kindly told
no evident not restaurants
no evident not on the beach
no evident not quite close
no evident not hotel
no evident not staff
no evident not kindly told"
286,"good_location
airport
no evident not airport
convenient
no evident not convenient"
288,"good_location
airport
no evident not airport
city center
no evident not city center
salt lake
no evident not salt lake
flaming
no evident not flaming"
288,"bad_location
distant
have evident distant
city
have evident city
center
have evident center"
289,"good_location
Taxi fare to airport around 15-18 euro
no evident not Taxi fare to airport around 15-18 euro"
290,"good_location
value
no evident not value
excellent
no evident not excellent
money
no evident not money"
291,"good_location
Close to the airport
no evident not close"
292,"good_location
only 8 minutes by car
no evident not only 8 minutes by car"
295,"location is good
only 20 minutes away from the centre
located in a quiet area
no evident not only 20 minutes away from the centre
no evident not located in a quiet area"
298,"good_location
bus 425
airport
hotel
somewhere
no evident not bus 425
no evident not airport
no evident not hotel
no evident not somewhere"
299,"good_location
public transportations
no evident not public transportations
café
no evident not café
center
no evident not center"
300,"good_location
1. close
no evident not close
2. minute
no evident not minute
3. beach
no evident not beach
4. restaurants
no evident not restaurants"
301,"good_location
Quiet
no evident not quiet
area"
304,"good_location
bus station
no evident not bus station
nice
restaurants
bars
shops
beach shores
no evident not beach shores"
307,"good_location
city
no evident not city
accommodation
one night
no evident not one night
before departure
no evident not before departure"
310,"good_location
close airport
no evident not close airport
close beach
no evident not close beach
close restaurants
no evident not close restaurants"
312,"good_location
beach
five minute walk
airport
no evident not beach
no evident not five minute walk
no evident not airport"
313,"good_location
street
parking
facilities
street
no evident not street
parking
no evident not facilities"
