ID,Topic,Test 2
2,bad_room,"very_clean, well_decorated, modern, not_big, have_evident_very_clean, have_evident_well_decorated, have_evident_modern, have_evident_not_big"
2,good_room,"clean, no_evident_not_clean, decorated, no_evident_not_decorated, modern, no_evident_not_modern"
4,good_room,"clean, no_evident_not_clean, neat, no_evident_not_neat, tidy, no_evident_not_tidy, fresh, no_evident_not_fresh, sanitised, no_evident_not_sanitised, sanitized, no_evident_not_sanitized"
5,good_room,"clean, modern, comfortable_beds, no_evident_not_clean, no_evident_not_modern, no_evident_not_comfortable_beds"
6,good_room,"the_room_was_exceptionally_clean, no_evident_not_there_was_no_evident_not_clean_aspect_of_the_room, the_room_had_a_comfortable_bed, no_evident_not_the_bed_did_not_seem_really_comfortable"
10,good_room,"modern_room, comfortable_bed, no_evident_not_modern_room, no_evident_not_comfortable_bed"
11,good_room,"spacious, clean, good, no_evident_not_spacious, no_evident_not_clean, no_evident_not_good"
12,good_room,"clean, comfortable, no_evident_not_clean, no_evident_not_comfortable"
13,good_room,"lovely, no_evident_not_lovely, new, no_evident_not_new, very_clean, no_evident_not_very_clean, comfortable, no_evident_not_comfortable, mattress_was_to_my_taste, no_evident_not_mattress_was_to_my_taste"
14,bad_room,"you_can_hear, have_evident_you_cannot_hear, airplanes_coming_and_leaving, have_evident_airplanes_do_not_come_and_leave, from_the_airport_all_the_time, have_evident_they_do_not_come_and_leave_from_the_airport_at_all_times"
16,good_room,"liked, spacious, clean, window_view, no_evident_not_liked, no_evident_not_spacious, no_evident_not_clean, no_evident_not_window_view"
17,good_room,"balcony, view, sea, surrounding_area, no_evident_not_balcony, no_evident_not_view, no_evident_not_sea, no_evident_not_surrounding_area"
20,good_room,"clean, no_evident_not_clean"
21,good_room,"clean, nice, comfortable, no_evident_not_clean, no_evident_not_nice, no_evident_not_comfortable"
22,bad_room,"needed_drawers, fridge_could_have_been_put_on, took_a_while_to_get_hot, have_evident_needed_drawers, have_evident_fridge_could_have_been_put_on, have_evident_took_a_while_to_get_hot, each_support_is_paired_with_its_contrary, starting_with_have_evident_followed_by_the_same_word_from_the_original_text_this_structure_adheres_to_the_user_s_conditions_and_format_requirements"
22,good_room,"new, no_evident_not_new, clean_shiny_tiled_floors, no_evident_not_clean_shiny_tiled_floors, bathroom_tiles, no_evident_not_bathroom_tiles, comfortable_bed, no_evident_not_comfortable_bed, lots_of_room_for_me_to_put_my_things, no_evident_not_lots_of_room_for_me_to_put_my_things"
23,good_room,"beds, no_evident_not_beds"
24,good_room,"love, no_evident_not_loved, mattress, no_evident_not_mattress"
25,good_room,"clean, quiet, no_evident_not_clean, no_evident_not_quiet"
26,good_room,"size, layout, bathroom, balcony, no_evident_not_size, no_evident_not_layout, no_evident_not_bathroom, no_evident_not_balcony"
27,good_room,"comfort, no_evident_not_comfortable, clean, no_evident_not_clean, this_format_includes_both_supports_and_their_respective_contraries, adhering_to_all_specified_conditions"
29,good_room,"clean_no_evident_not_clean, functional_no_evident_not_functional"
30,good_room,"room, spotless, no_evident_not_room, no_evident_not_spotless"
31,good_room,"clean, no_evident_not_clean, comfortable, no_evident_not_comfortable"
32,good_room,"bed, rooms, no_evident_not_bed, no_evident_not_rooms"
33,bad_room,"little_noisy, have_evident_quiet, evening_time, have_evident_daytime, street_side, have_evident_house_side"
33,good_room,"clean_room, no_evident_not_clean_room, furniture_together, no_evident_not_furniture_together, your_stay_max_comfortable, no_evident_not_your_stay_max_comfortable"
34,bad_room,"has_too_much_hooks, have_evident_too_much_hooks, has_trip_hazard_on_walls, have_evident_trip_hazard_on_walls"
35,bad_room,"problem_with_heating_water, have_evident_problem_with_heating_water, eventually_couldn_t_manage_to_have_a_proper_shower_with_hot_water, have_evident_eventually_couldn_t_manage_to_have_a_proper_shower_with_hot_water"
36,bad_room,"short_words, beds, pillows, have_evident_bad_beds, have_evident_bad_pillows"
36,good_room,"no_issues, no_evident_not_there_were_some_issues, clean, no_evident_not_not_clean, comfortable, no_evident_not_not_comfortable"
37,good_room,"clean, no_evident_not_clean"
38,good_room,"great_rooms, nice_and_cool, no_evident_not_great_rooms, no_evident_not_nice_and_cool"
39,good_room,"clean, spacious, no_evident_not_clean, no_evident_not_spacious"
40,bad_room,"no_net_curtain, have_evident_net_curtain, no_blind, have_evident_blind"
41,good_room,"clean_modern_rooms, clean, no_evident_not_clean, no_evident_not_good_room"
42,good_room,"clean, no_evident_not_clean"
43,good_room,"clean_the_room_s_cleanliness_contributes_to_its_quality, no_evident_not_clean_there_is_no_evident_lack_of_cleanliness_that_would_make_the_room_unsuitable, spacious_the_room_s_spaciousness_ensures_comfort_and_functionality, no_evident_not_spacious_there_is_no_evident_lack_of_spaciousness_that_would_compromise_comfort_or_functionality, practical_the_room_s_practicality_makes_it_suitable_for_daily_use, no_evident_not_practical_there_is_no_evident_lack_of_practicality_that_would_make_the_room_unsuitable_for_its_intended_use"
45,good_room,"clean, no_evident_not_clean"
48,good_room,"clean, no_evident_not_clean, comfortable, no_evident_not_comfortable"
49,good_room,"rooms, family_of_5, no_evident_not_rooms, no_evident_not_family_of_5"
50,bad_room,"have_evident_bad_room, not_very_soundproof, have_evident_not_very_soundproof, noisy, have_evident_noisy"
51,good_room,"clean, no_evident_not_clean, kept, no_evident_not_kept, well, no_evident_not_well"
53,good_room,"bed, comfortable, no_evident_not_bed, no_evident_not_comfortable"
54,good_room,"nice, no_evident_not_nice"
55,bad_room,"lots_from_a_lot, have_evident_lots, mosquitos_from_mosquitos, have_evident_mosquitos"
