ID,Topic,Test 2
1,good_staff,"staff_are_extremely_helpful, no_evident_not_staff_are_extremely_helpful, staff_are_easy_to_communicate_with, no_evident_not_staff_are_easy_to_communicate_with"
2,good_staff,"nice_staff, helpful_staff, no_evident_not_nice_staff, no_evident_not_helpful_staff"
4,good_staff,"exceptional_staff, no_evident_not_exceptional_staff, helpful_staff, no_evident_not_helpful_staff, friendly_staff, no_evident_not_friendly_staff, staff_go_out_of_their_way_for_us, no_evident_not_staff_go_out_of_their_way_for_us"
8,good_staff,"lovely, personal, no_evident_not_lovely, no_evident_not_personal"
9,good_staff,"helpful_host, no_evident_not_helpful_host, showed_host_how_nearby_bus_takes_to_town_centre, no_evident_not_showed_host_how_nearby_bus_takes_to_town_centre, mentioned_host_airport, no_evident_not_mentioned_host_airport"
11,good_staff,"great_receptionist, friendly_chef, has_a_permanent, nice_cleaning_lady, no_evident_not_great_receptionist, no_evident_not_friendly_chef, no_evident_not_has_a_permanent, no_evident_not_nice_cleaning_lady"
12,good_staff,"helpful, no_evident_not_helpful, friendly, no_evident_not_friendly, went_out_of_their_way_for_us, no_evident_not_went_out_of_their_way_for_us"
13,good_staff,"ing_element_welcoming_staff, ing_element_family_friendly, no_evident_not_welcoming_staff, no_evident_not_family_friendly"
14,bad_staff,"receptionist_poor_english, have_evident_receptionist_poor_english"
15,good_staff,"the_following_is_the_aba_format_based_on_your_instructions, staff_make_it, no_evident_not_staff_make_it"
17,good_staff,"friendly_staff, ive_staff, helped_with_all_our_wishes, no_evident_not_friendly_staff, no_evident_not_supportive_staff, no_evident_not_helped_with_all_our_wishes"
18,good_staff,"friendly_reception, friendly_dining, no_evident_not_friendly_reception, no_evident_not_friendly_dining"
20,good_staff,"friendly_staff, no_evident_not_friendly_staff"
21,good_staff,"helpful_staff, friendly_staff, go_out_of_their_way_for_us, fresh_food_support, kind_owners, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_go_out_of_their_way_for_us, no_evident_not_fresh_food_support, no_evident_not_kind_owners"
22,good_staff,"accommodating, no_evident_not_accommodating"
26,good_staff,"wonderful_staff, friendly_staff, no_evident_not_wonderful_staff, no_evident_not_friendly_staff"
27,good_staff,"exceptional, helpful, friendly, go_out_of_their_way_for_us, no_evident_not_exceptional, no_evident_not_helpful, no_evident_not_friendly, no_evident_not_go_out_of_their_way_for_us"
28,good_staff,"polite_staff, caring_staff, no_evident_not_polite_staff, no_evident_not_caring_staff"
29,good_staff,"lovely, helpful, no_evident_not_lovely, no_evident_not_helpful"
30,good_staff,"staff_lovely, service_great, no_evident_not_staff_lovely, no_evident_not_service_great"
31,good_staff,"friendly, no_evident_not_friendly, friendly_staff, no_evident_not_friendly_staff"
32,good_staff,"kind_staff, kind, no_evident_not_kind"
33,good_staff,"helpful_staff, no_evident_not_helpful_staff, friendly_staff, no_evident_not_friendly_staff"
34,good_staff,"the_staff_were_exceptional, so_helpful_and_friendly, went_out_of_their_way_for_us, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_went_out_of_their_way_for_us, this_format_ensures_that_each_support_is_followed_by_its_corresponding_contrary, providing_a_comprehensive_argumentation_structure"
36,good_staff,"very_good_receptionist, no_evident_not_very_good_receptionist, explained_clearly_receptionist, no_evident_not_explained_clearly_receptionist"
37,good_staff,"lovely_staff, caring_staff, no_evident_not_lovely_staff, no_evident_not_caring_staff"
41,good_staff,"friendly, no_evident_not_friendly, helpful, no_evident_not_helpful"
42,good_staff,error_timeout_after_180s_while_waiting_for_model_response_skipping
44,good_staff,"here_s_the_structured_aba_format_based_on_your_instructions, warm, no_evident_not_warm, welcome, no_evident_not_welcome, reception, no_evident_not_reception, dining, no_evident_not_dining, staff, no_evident_not_staff, this_format_ensures_that_each_support_is_paired_with_its_corresponding_contrary, using_only_the_vocabulary_from_your_original_text_and_adhering_to_the_specified_conditions"
47,good_staff,"helpful_staff, organised_taxi_collect_us_in_morning, no_evident_not_helpful_staff, no_evident_not_organised_taxi_collect_us_in_morning, this_format_adheres_to_the_specified_conditions, ensuring_clarity_and_conciseness_while_maintaining_the_integrity_of_the_original_text_s_meaning"
48,good_staff,"lovely_owner, no_evident_not_lovely_owner"
51,good_staff,"helpful_staff, no_evident_not_helpful_staff, friendly_staff, no_evident_not_friendly_staff"
56,good_staff,"amazing_hospitality, no_evident_not_amazing_hospitality"
57,good_staff,"helpful_staff, ordered_a_taxi_for_us_to_get_to_the_airport_very_early_in_the_morning, no_evident_not_helpful_staff, no_evident_not_ordered_a_taxi_for_us_to_get_to_the_airport_very_early_in_the_morning"
58,good_staff,"nice_staff, no_evident_not_nice_staff, helpful_staff, no_evident_not_helpful_staff"
61,good_staff,"good_service, no_evident_not_good_service"
62,good_staff,"caring_host, no_evident_not_caring_host, helpful_host, no_evident_not_helpful_host"
64,good_staff,"staff_reached_out_in_advance, staff_provided_instructions, no_evident_not_staff_reached_out_in_advance, no_evident_not_staff_provided_instructions"
66,good_staff,"friendly_staff, no_evident_not_friendly_staff, smiling_staff, no_evident_not_smiling_staff"
67,good_staff,"exceptional, helpful, friendly, went_out_of_their_way_for_us, no_evident_not_exceptional, no_evident_not_helpful, no_evident_not_friendly, no_evident_not_went_out_of_their_way_for_us"
68,good_staff,"friendly_staff, no_evident_not_friendly_staff"
69,good_staff,"place_lovely, no_evident_not_place_lovely, people_lovely, no_evident_not_people_lovely"
70,good_staff,"friendly_staff, no_evident_not_friendly_staff, helpful_staff, no_evident_not_helpful_staff"
71,good_staff,"friendly_staff, nice_staff, no_evident_not_friendly_staff, no_evident_not_nice_staff"
73,good_staff,"here_s_how_you_can_format_your_text_in_assumption_based_argumentation_aba_based_on_the_given_conditions, lovely_staff, best_assist, always_assist, for_each_support, no_evident_not_lovely_staff, no_evident_not_best_assist, no_evident_not_always_assist, this_structure_ensures_that_you_have_a_clear_claim, relevant_supports_with_short_and_precise_terms, and_corresponding_contraries_that_start_with_no_evident_not"
74,good_staff,"friendly_staff, nice_staff, no_evident_not_friendly_staff, no_evident_not_nice_staff"
77,good_staff,"helpful_staff, eager_to_assist, no_evident_not_helpful, no_evident_not_eager_to_assist"
78,good_staff,"friendly, no_evident_not_friendly, nice, no_evident_not_nice"
79,good_staff,"friendly_staff, no_evident_not_friendly_staff, helpful_staff, no_evident_not_helpful_staff"
82,good_staff,"amazing_staff, no_evident_not_amazing_staff"
83,good_staff,"nice, friendly, staff_was_nice, staff_was_friendly, no_evident_not_nice, no_evident_not_friendly"
84,good_staff,"serving_customers, polite_staff, caring_staff, could_not_seem_to_do_enough_for_their_guests, for_each_support, no_evident_not_good_staff, no_evident_not_serving_customers, no_evident_not_polite_staff, no_evident_not_caring_staff, no_evident_not_could_not_seem_to_do_enough_for_their_guests, this_format_ensures_that_each_support_is_paired_with_its_contrary, using_the_same_terms_as_in_the_original_text_and_avoiding_any_unnecessary_adjectives_or_adverbs"
85,bad_staff,"staff_didn_t_finish_the_cleaning, have_evident_staff_didn_t_finish_the_cleaning"
85,good_staff,"friendly_personnel, no_evident_not_friendly_personnel, personnel, no_evident_not_personnel"
86,good_staff,"friendly, no_evident_not_friendly, staff, no_evident_not_staff"
87,good_staff,"friendly, no_evident_not_friendly"
88,good_staff,"friendly, no_evident_not_friendly"
91,good_staff,"helpful_staff, no_evident_not_helpful_staff, friendly_staff, no_evident_not_friendly_staff"
94,good_staff,"amazing_staff, no_evident_not_amazing_staff"
96,good_staff,"nice_staff, no_evident_not_nice_staff"
97,good_staff,"excellent, no_evident_not_excellent"
99,good_staff,"wonderful_staff, no_evident_not_wonderful_staff, staff_was, no_evident_not_staff_was"
100,good_staff,"exceptional_staff, no_evident_not_exceptional_staff, polite_staff, no_evident_not_polite_staff"
101,good_staff,"here_s_the_text_formatted_in_assumption_based_argumentation_aba_based_on_your_conditions, hospitable, no_evident_not_hospitable, helpful, no_evident_not_helpful"
102,good_staff,"friendly_staff, no_evident_not_friendly_staff"
105,good_staff,"nice_staff, was_staff, no_evident_not_nice_staff, no_evident_not_was_staff"
106,bad_staff,"staff_should_learn, have_evident_staff_should_learn, have_evident_bad_staff_because_of_not_learning_better_english"
109,good_staff,"helpful, no_evident_not_helpful, friendly, no_evident_not_friendly"
113,good_staff,"excellent_staff, no_evident_not_excellent_staff, accommodating_staff, no_evident_not_accommodating_staff"
114,good_staff,"staff, no_evident_not_staff, via_booking_com, no_evident_not_via_booking_com, arrived, no_evident_not_arrived, hotel, no_evident_not_hotel, not_manned_24_7, no_evident_not_not_manned_24_7, arrangements, no_evident_not_arrangements, collect_room_key, no_evident_not_collect_room_key, bus_routes, no_evident_not_bus_routes"
115,good_staff,"helpful_stuff, no_evident_not_helpful_stuff, nice_stuff, no_evident_not_nice_stuff"
118,good_staff,"perfect_front_desk, no_evident_not_perfect_front_desk, 10_10, no_evident_not_10_10"
119,good_staff,"fantastic_service, no_evident_not_fantastic_service, friendlier, no_evident_not_friendlier, kinder, no_evident_not_kinder, more_helpful, no_evident_not_more_helpful"
120,good_staff,"helpful_staff, no_evident_not_helpful, friendly_staff, no_evident_not_friendly, went_out_of_their_way_for_us, no_evident_not_went_out_of_their_way_for_us"
122,good_staff,"friendly_staff, no_evident_not_friendly_staff"
123,good_staff,"friendly, helpful, no_evident_not_friendly, no_evident_not_helpful"
124,good_staff,"very_friendly_staff, no_evident_not_very_friendly_staff"
126,good_staff,"helpful_staff, no_evident_not_helpful_staff, friendly_staff, no_evident_not_friendly_staff"
129,good_staff,"kind, no_evident_not_kind, helpful, no_evident_not_helpful"
131,good_staff,"very_nice_staff, no_evident_not_very_nice_staff"
132,good_staff,"friendly_staff, friendly, no_evident_not_friendly, helpful_host, helpful, no_evident_not_helpful, excellent_service, excellent, no_evident_not_excellent"
133,good_staff,"helpful_staff, no_evident_not_helpful_staff"
134,good_staff,"the_response_to_your_query_is, friendly_staff, no_evident_not_friendly_staff"
135,good_staff,"great, staff, no_evident_not_great, no_evident_not_staff"
137,good_staff,"exceptional_staff, helpful_staff, friendly_staff, staff_go_out_of_their_way_for_us, for_each_support, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_staff_go_out_of_their_way_for_us, this_format_ensures_that_all_elements_are_included_as_per_the_specified_conditions, maintaining_clarity_and_conciseness"
138,good_staff,"helpful_staff, no_evident_not_helpful, kind_personel, no_evident_not_kind"
141,good_staff,"wonderful_staff, no_evident_not_wonderful_staff"
142,good_staff,"convenient_staff, friendly_staff, no_evident_not_convenient_staff, no_evident_not_friendly_staff"
145,good_staff,"friendly_staff, made_everything_possible_for_our_stay, no_evident_not_friendly_staff, no_evident_not_made_everything_possible_for_our_stay"
146,good_staff,"friendly, make_this_hotel, no_evident_not_friendly, no_evident_not_make_this_hotel"
147,good_staff,"amazing_staff, no_evident_not_amazing_staff"
149,good_staff,"friendly_staff, let_us_into_room_as_soon_as_it_was_ready, arranged_airport_taxi_for_6am_too, no_evident_not_friendly_staff, no_evident_not_let_us_into_room_as_soon_as_it_was_ready, no_evident_not_arranged_airport_taxi_for_6am_too"
153,good_staff,"lovely_staff, lovely, no_evident_not_lovely, friendly_staff, friendly, no_evident_not_friendly, checked_us_in_quickly, no_evident_not_checked_us_in_quickly, stored_luggage, no_evident_not_stored_luggage, called_taxi_for_us, called_a_taxi_for_us, no_evident_not_called_taxi_for_us"
154,good_staff,"lovely_staff, no_evident_not_lovely_staff"
158,good_staff,"great, no_evident_not_great"
159,good_staff,"friendly_staff, no_evident_not_friendly_staff, staff_good, no_evident_not_staff_good"
162,good_staff,"exceptional_staff, no_evident_not_exceptional_staff, helpful_staff, no_evident_not_helpful_staff, friendly_staff, no_evident_not_friendly_staff, staff_go_out_of_their_way_for_us, no_evident_not_staff_go_out_of_their_way_for_us"
