ID,Output
1,"good_food
restaurant
comfortable
escape
heat
midday
restaurant
comfortable
escape
heat
midday
no evident not restaurant
no evident not comfortable
no evident not escape
no evident not heat
no evident not midday"
2,"breakfast was amazing
no evident not breakfast was amazing
hummus was fresh
no evident not hummus was fresh
it was handmade
no evident not it was handmade"
11,"food is great
prices are reasonable
prices are reasonable
no evident not prices are reasonable
no evident not prices are reasonable"
12,"good_food
room service
no evident not room service
lovely
no evident not lovely"
16,"food tasty
no evident not tasty
olive oil galore
no evident not galore
herbs
no evident not herbs
delicious
no evident not delicious"
18,"good_food
value
no evident not value
well
no evident not well
prepared
no evident not prepared"
21,"good_food
breakfast
dinner
delicious
no evident not breakfast
no evident not dinner
no evident not delicious"
22,"bad_food
pizza
have evident pizza
stodgy
have evident stodgy"
22,"nice
no evident not nice"
26,"good
not pricey
no evident not pricey
not pricey"
31,"food excellent
no evident not excellent
food reasonably priced
no evident not reasonably priced"
33,"good breakfast saves time
no evident not saves time"
36,"food was excellent
no evident not food was excellent
passion showed
no evident not passion showed"
36,"bar, times, display, have evident, missing.
times, have evident, missing."
41,"good_food
breakfast
very nice
no evident not breakfast
very nice
no evident not breakfast"
45,"good food
no evident not reasonable price
no evident not easy choice"
53,"delicious breakfasts
hotel restaurant
no evident not hotel
no evident not restaurant"
56,"breakfast, started, 7, rather, 8
have evident, breakfast, started, 7, rather, 8"
61,"excellent range food offered
no evident not offered
no evident not range"
62,"restaurant
on site
no evident not restaurant
no evident not on site"
64,"good_food
pizza
no evident not closing
no evident not nice"
66,"good_food
coffee
shop
chic
no evident not coffee
no evident not shop
no evident not chic"
74,"delicious food, no evident not delicious food, hotel, restaurant"
80,"dinner
was delicious
was inexpensive
no evident not delicious
no evident not inexpensive"
84,"good_food
plenty selection
no evident not plenty selection
spotless clean
no evident not spotless clean"
86,"good_food
breakfast was excellent
no evident not breakfast was bad"
87,"good_food
nice restaurant
no evident not nice
nice restaurant
no evident not nice"
93,"good_food
welcoming
no evident not welcoming
nice
no evident not nice
offer
no evident not offer"
94,"good_food
service
no evident not service
tasty_food
no evident not tasty_food"
97,"food was excellent
no evident not food was excellent
was excellent
no evident not was excellent"
107,"good_food
breakfast was excellent
no evident not breakfast was bad"
112,"good food
no evident not food
good service
no evident not service"
118,"delicious!
no evident not bad
delicious!
no evident not poor"
126,"good_food
tasty
no evident not tasty
tasty
no evident not tasty"
132,"breakfast was delicious
freshly prepared
choices from Cyprus
English breakfast
no evident not breakfast was delicious
no evident not freshly prepared
no evident not choices from Cyprus
no evident not English breakfast"
134,"great chef.
food good.
no evident not food good."
