ID,Topic,Test 1
4,good_price,"quality, no_evident_not_quality, price, no_evident_not_price"
34,good_price,"value_for_money, no_evident_not_value_for_money"
44,good_price,"facilities_were_good, tariff_was_charged, no_evident_not_facilities_were_good, no_evident_not_tariff_was_charged"
46,good_price,"good, no_evident_not_good"
47,good_price,"good_value_for_money, no_evident_not_good_value_for_money"
49,good_price,"great_value_for_money, no_evident_not_great_value_for_money"
63,good_price,"exceptional, no_evident_not_exceptional, value, no_evident_not_value"
68,good_price,"good, no_evident_not_good, price, no_evident_not_price"
125,good_price,"reasonable, no_evident_not_reasonable, quite_reasonable_from_all_that_with_quite_reasonable_price, no_evident_not_quite_reasonable"
133,good_price,"great_value_for_money, no_evident_not_great_value_for_money"
136,good_price,"low_price, beautiful_hotel, no_evident_not_low_price, no_evident_not_beautiful_hotel"
149,good_price,"great, for_the_price, no_evident_not_great, no_evident_not_for_the_price"
155,good_price,"value, no_evident_not_value"
156,good_price,"good, no_evident_not_good"
203,good_price,"definitely_worth_the_price, no_evident_not_definitely, no_evident_not_worth"
206,good_price,"value, no_evident_not_value"
212,good_price,no_evident_not_good_price
230,good_price,"good_value_for_money, no_evident_not_good_value_for_money"
232,good_price,"great_for_the_price, our_purpose_of_a_late_night_flight_arrival, no_evident_not_great_for_the_price, no_evident_not_our_purpose_of_a_late_night_flight_arrival"
234,good_price,"good_rate_for_excellent_accommodation, no_evident_not_good_rate_for_excellent_accommodation"
241,bad_price,"price, the_price_was_high_for_what_you_got, have_evident_price_was_high, unlabeled_shampoo_dispenser, it_only_had_some_random_unlabeled_shampoo_dispenser_attached_to_the_shower_wall, which_seemed_cheap_considering_the_hotel_cost, have_evident_unlabeled_shampoo_dispenser_attached_to_the_shower_wall"
265,good_price,"value, no_evident_not_value, good_hotel_experience, no_evident_not_good_hotel_experience"
287,good_price,"value, no_evident_not_value"
290,good_price,"value, no_evident_not_value, free, no_evident_not_free"
295,good_price,"worth_every_euro, no_evident_not_worth_every_euro"
313,good_price,"the_text_is_converted_into_aba_format_as_follows, value, no_evident_not_value, final_response"
323,good_price,"value, no_evident_not_value, money, no_evident_not_money"
334,good_price,"economical, no_evident_not_economical"
338,good_price,"value, no_evident_not_value"
340,good_price,"good_value_for_money, no_evident_not_good_value_for_money"
366,good_price,"good_from_very_good, no_evident_not_good, not_expensive_from_are_not_expensive, no_evident_not_not_expensive"
396,good_price,"great, no_evident_not_great, value, no_evident_not_value"
414,good_price,"value, no_evident_not_value"
416,good_price,"value, no_evident_not_value"
435,bad_price,"priced_like_a_hotel, expensive_for_what_you_get, have_evident_priced_like_a_hotel, have_evident_expensive_for_what_you_get"
436,bad_price,"expensive_for_what_you_get, have_evident_expensive_for_what_you_get, better_hotels_in_valencia, have_evident_better_hotels_in_valencia"
437,bad_price,"it_was_a_bit_expensive, this_supports_the_claim, have_evident_it_was_a_bit_expensive, this_contradicts_the_claim, have_evident_bad_price, this_directly_contradicts_the_claim"
460,bad_price,"rate_was_expensive_for_what_it_offered, have_evident_rate_was_expensive_for_what_it_offered"
471,good_price,"exceptional, no_evident_not_exceptional, value, no_evident_not_value"
474,bad_price,"price, have_evident_price, overpriced, have_evident_overpriced, facilities, have_evident_facilities"
505,good_price,"right, no_evident_not_right"
510,good_price,"cheap, no_evident_not_cheap"
524,good_price,"full_value_for_the_price, no_evident_not_full_value_for_the_price"
527,good_price,"value, no_evident_not_value"
556,good_price,"value_for_money, price_we_paid, no_evident_not_value_for_money, no_evident_not_price_we_paid"
580,good_price,"establishment, no_evident_not_establishment, my_opinion_undervalued, no_evident_not_my_opinion_undervalued"
590,good_price,"reasonable_price, no_evident_not_reasonable_price"
595,bad_price,"meal, have_evident_meal_not_included, not_included, have_evident_not_included"
596,good_price,"clean, no_evident_not_clean, cheap, no_evident_not_cheap, modern_room, no_evident_not_modern_room"
600,good_price,"satisfied, no_evident_not_satisfied, corresponds, no_evident_not_corresponds"
609,bad_price,"price_is_high, comfort_that_room_gives_you, you_enter, have_evident_price_is_not_high, have_evident_comfort_that_room_gives_you_is_not_there, have_evident_you_do_not_enter"
611,good_price,"very, no_evident_not_very, good, no_evident_not_good"
619,good_price,"unbeatable_value_for_money, no_evident_not_unbeatable_value_for_money"
631,good_price,"excellent_price, no_evident_not_excellent_price, excellent_quality_ratio, no_evident_not_excellent_quality_ratio"
715,good_price,"price, no_evident_not_price"
737,good_price,"value, no_evident_not_value, this_is_based_on_the_original_text_excellent_value_for_money_with_the_following_adjustments, the_claim_is_extracted_as, the_support_is_simplified_to_value_short_word_without_adjectives, a_contrary_is_added_for_each_support, starting_with_no_evident_not"
767,bad_price,"average, have_evident_average, 400_euros, have_evident_400_euros"
770,good_price,"value_for_money, no_evident_not_value_for_money"
775,good_price,"perfect_price, no_evident_not_perfect_price"
778,good_price,"value, no_evident_not_value, this_is_the_aba_format_for_the_given_text_excellent_value"
