ID,Output
2,"room was clean
no evident not dirty
room was decorated
no evident not undecorated
room was modern
no evident not outdated
room was not big
no evident not large"
4,"Clean, room is good.
No evident not room is clean."
5,"good_room
Clean
Modern
Very comfortable beds
No evident not clean
No evident not modern
No evident not very comfortable beds"
6,"room was clean
bed was comfortable
room was clean
bed was comfortable
no evident not room was clean
no evident not bed was comfortable"
10,"great
modern
comfortable
bed
no evident not great
no evident not modern
no evident not comfortable
no evident not bed"
11,"good_room
rooms are spacious
rooms are clean
upgrade is good
rooms are spacious
no evident not rooms are clean
upgrade is good
no evident not upgrade is good"
12,"good_room
clean
comfortable
no evident not clean
no evident not comfortable"
13,"lovely
new
clean
comfortable
mattress
to taste
no evident not lovely
no evident not new
no evident not clean
no evident not comfortable
no evident not mattress
no evident not to taste"
14,"airplanes
have evident noise
airport
have evident activity"
16,"good_room
spacious
clean
window view
nice
spacious
clean
window view
no evident not spacious
no evident not clean
no evident not window view
no evident not nice"
17,"room, balcony, view, sea, surrounding, area
no evident not room, no evident not balcony, no evident not view, no evident not sea, no evident not surrounding, no evident not area"
20,"clean
no evident not clean
no evident not clean"
21,"good_room
nice
no evident not nice
clean
no evident not clean
comfortable
no evident not comfortable"
22,"room was perfect
looked new
clean shiny tiled floors
bathroom tiles
every inch perfect
clean
bed was comfortable
lots room
no evident not looked new
no evident not clean shiny tiled floors
no evident not bathroom tiles
no evident not every inch perfect
no evident not clean
no evident not bed was comfortable
no evident not lots room"
22,"might have needed another set of drawers
have evident need
Fridge could have been put on beforehand
have evident preparation
the shower took a while to get hot
have evident delay"
23,"beds were comfortable
no evident not beds were comfortable
beds were comfortable
no evident not beds were comfortable"
24,"good_room
mattress
no evident not mattress"
25,"clean
quiet
no evident not clean
no evident not quiet"
26,"good size
no evident not good size
great sized
no evident not great sized"
27,"good_room
clean
no evident not clean
comfortable"
29,"very clean
functional rooms
no evident not functional rooms
rooms"
30,"room was spotless
no evident not clean
no evident not dirty"
31,"clean, comfortable
no evident not clean
no evident not comfortable"
32,"bed was great
rooms clean
no evident not rooms clean
no evident not bed was great"
33,"super clean room
modern furniture
stay comfortable
no evident not super clean room
no evident not modern furniture
no evident not stay comfortable"
33,"bad_room
street
noise
have evident street
have evident noise"
34,"more hooks on walls for towels etc.
have evident hooks.
have evident walls."
35,"problem heating water
eventually couldn't manage shower
eventually couldn't manage shower
have evident problem heating water"
36,"room was smaller
acceptable
beds
fussy
have evident beds
have evident acceptable
have evident beds"
36,"room was good
bed was comfortable
no evident not bed was comfortable
room was clean"
37,"really clean
no evident not clean
no evident not clean"
38,"great rooms
nice
cool
no evident not nice
no evident not cool"
39,"clean
spacious
no evident not clean
no evident not spacious"
40,"no net curtain
have evident net curtain
no blind
have evident blind
so one needed to ensure that the curtain was closed
have evident curtain"
41,"good_room
Clean
Modern
Clean
Modern
no evident not Clean
no evident not Modern"
42,"clean
no evident not clean
no evident not clean"
43,"clean, spacious, practical, no evident not clean, no evident not spacious, no evident not practical"
45,"everything was me, recently updated, clean, everything was me, no evident not clean, everything was me, no evident not recently updated."
48,"good_room
Clean rooms
Clean rooms
no evident not clean rooms
comfortable rooms
comfortable rooms
no evident not comfortable rooms"
49,"rooms were big
rooms were big
no evident not rooms were big
rooms were big
no evident not rooms were big"
50,"Not very Soundproof.
Have evident not.
Have evident proof."
51,"nice
clean
room
very
well
kept
no evident not nice
no evident not clean
no evident not room
no evident not very
no evident not well
no evident not kept"
53,"comfortable bed
no evident not bed
no evident not bed"
54,"good_room
clean room
no evident not clean room
clean room
no evident not clean room"
55,"A lot of mosquitos
have evident many
mosquitoes exist
have evident many
mosquitoes are present"
56,"beds are extremely comfortable
beds are comfortable
no evident not beds are comfortable
beds are comfortable
no evident not beds are comfortable"
57,"room is good
room is comfortable
no evident not room is comfortable
room is clean
no evident not room is clean"
58,"room wasn't soundproof
planes hear
room wasn't soundproof
have evident planes hear"
62,"good_room
Clean
no evident not clean
best linen
no evident not best linen
duvets
no evident not duvets
mini bar
no evident not mini bar
tea
no evident not tea
coffee
no evident not coffee
bathroom
no evident not bathroom
AC
no evident not AC"
62,"bad_room
folding bed
regular beds
have evident folding bed
have evident regular beds"
64,"room was new
room was clean
room was new
no evident not room was clean
room was new
no evident not room was clean"
65,"property
clean
bed
comfortable
no evident not clean
no evident not comfortable"
