ID,Prompt,PhraseA,PhraseB,Test 2
1,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is great_quality. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,great_quality,No
2,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is great_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,great_price,No
3,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,value_for_money,No
4,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is good_facility_for_tariff_charge. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,good_facility_for_tariff_charge,No
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is great_value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,great_value_for_money,No
6,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is good_value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,good_value_for_money,No
7,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is exceptional_value. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,exceptional_value,No
8,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is good_value. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,good_value,No
9,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is reasonable_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,reasonable_price,No
10,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is beautiful_hotel_for_cheap_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,beautiful_hotel_for_cheap_price,No
11,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is great_for_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,great_for_price,No
12,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only.
No explanations.

[Question] Phrase B is excellent_value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,excellent_value_for_money,No
