Timestamp,Run,ID,PhraseA,PhraseB,Prompt,RawOutput
2026-02-02 07:19:24,2,1,have_evident_staff_not_speak_English_properly,helpful_staff,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is helpful_staff. Phrase A is have_evident_staff_not_speak_English_properly.",No
2026-02-02 07:19:25,2,2,have_evident_staff_not_speak_English_properly,easy_to_communicate_with,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is easy_to_communicate_with. Phrase A is have_evident_staff_not_speak_English_properly.",No
2026-02-02 07:19:26,2,3,have_evident_staff_not_speak_English_properly,nice_staff,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is nice_staff. Phrase A is have_evident_staff_not_speak_English_properly.",No
2026-02-02 07:19:27,2,4,have_evident_staff_not_speak_English_properly,great_staff,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is great_staff. Phrase A is have_evident_staff_not_speak_English_properly.",No
2026-02-02 07:19:28,2,5,have_evident_staff_not_speak_English_properly,lovely_staff,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is lovely_staff. Phrase A is have_evident_staff_not_speak_English_properly.",No
2026-02-02 07:19:29,2,6,have_evident_staff_not_speak_English_properly,staff_show_how_nearby_bus_take_to_town_center,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is staff_show_how_nearby_bus_take_to_town_center. Phrase A is have_evident_staff_not_speak_English_properly.",No
2026-02-02 07:19:30,2,7,have_evident_staff_not_speak_English_properly,staff_show_how_nearby_bus_take_to_airport,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is staff_show_how_nearby_bus_take_to_airport. Phrase A is have_evident_staff_not_speak_English_properly.",No
2026-02-02 07:19:31,2,8,have_evident_staff_not_speak_English_properly,amazing_staff,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is amazing_staff. Phrase A is have_evident_staff_not_speak_English_properly.",No
2026-02-02 07:19:32,2,9,have_evident_staff_not_speak_English_properly,beyond_expectation,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is beyond_expectation. Phrase A is have_evident_staff_not_speak_English_properly.",No
2026-02-02 07:19:33,2,10,have_evident_staff_not_speak_English_properly,staff_take_time_to_explain,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is staff_take_time_to_explain. Phrase A is have_evident_staff_not_speak_English_properly.",No
