ID,Output
59,"check-in is easy
no evident not easy"
60,"clear instructions
no evident not clear instructions
left access
no evident not left access
room
no evident not room
made easy
no evident not made easy"
71,"Got very clear instructions.
Got very clear instructions. No evident not clear."
72,"instructions, clear, access, room, no evident not instructions, no evident not clear, no evident not access, no evident not room."
89,"instructions were sent advance
no evident not instructions were sent advance
absolutely perfect
no evident not absolutely perfect"
92,"late night check in
that was easy
that was comfortable
that was easy
no evident not that
no evident not that"
110,"self check in was easy.
no evident not easy."
140,"easy
no evident not easy"
152,"late check in
there was no one
door was locked
there was no one have evident
door was locked have evident"
153,"lovely staff
quick check-in
no evident not quick
friendly staff
no evident not friendly"
158,"Easy check in.
3am.
No evident not 3am.
No evident not easy check in."
163,"easy
late
night
check in
no evident not easy
no evident not late
no evident not night
no evident not check in"
185,"staff accommodated arrival three a.m.
no evident not arrival three a.m."
190,"self check-in
no evident not self check-in
self check-in
no evident not self check-in"
214,"hotel made sure check in
no evident not hotel made sure check in"
220,"Excellent communication on late check in process,
Support: communication
Contrary: no evident not communication
Support: late
Contrary: no evident not late
Support: check in
Contrary: no evident not check in
Support: process
Contrary: no evident not process"
221,"owner tracked flight
no evident not owner tracked flight"
227,"hosts made late check in simple
no evident not hosts made late check in simple"
232,"great instructions
no evident not great instructions"
276,"friendly staff
allow early hours
no evident not allow early hours
no evident not allow early hours"
283,"arrived late night
no evident not arrived late night"
314,"super fast checkin
no evident not fast checkin
super fast checkout
no evident not fast checkout"
365,We arrived in the night. We were checked-in quickly. No evident not arrived in the night. No evident not checked-in quickly.
394,"Check in was quick and easy.
no evident not quick.
no evident not easy."
399,"room was clean
room was ready
by 12
to check in
no evident not room was clean
no evident not room was ready
no evident not by 12
no evident not to check in"
452,"easy check-in
no evident not easy
no evident not check-in"
453,"Waited 10 minutes for someone to come greet us for check in, no one on desk
Guy on desk told us we had not paid but we did
Have evident waited 10 minutes for check in
Have evident told we had not paid
Have evident waited 10 minutes for check in
Have evident told we had not paid"
513,"directions were clear
no evident not directions were unclear
easy
no evident not easy was difficult"
515,"being able earlier
no evident not earlier"
538,"self-check-in
no evident not problems"
546,Purely. no problem with check-in after 12 at night. no evident not problem with check-in after 12 at night.
564,"person reception check in
no evident not person
no evident not reception
no evident not check in"
578,"self check-in
easy
no evident not easy"
589,"owners left information arrival photos
no evident not information arrival photos"
606,"delayed flight
they took care
late check-in
no evident not delayed flight
no evident not they took care
no evident not late check-in"
614,"staff, fluid, communication, no evident not staff, no evident not fluid, no evident not communication"
633,"they waited
no evident not they waited"
639,"earlier check-in
no problem later check-in
no evident not earlier check-in
no evident not later check-in"
660,"allowed, late, late, no, extra, cost, late, no, evident not"
775,"perfect welcome
even arriving at 4am
no evident not arriving at 4am
no evident not perfect welcome"
778,"Perfect welcome
at 1:30 morning
no evident not welcome
no evident not morning"
779,"Check-in at 4am
no evident not 4am
no evident not 4am"
