ID,Topic,Test 2
1,good_facility,"nice, spacious, clean, modern, no_evident_not_nice, no_evident_not_spacious, no_evident_not_clean, no_evident_not_modern, no_evident_not_list_of_all_supports_and_contraries"
2,bad_facility,"not_big, have_evident_not_big"
2,good_facility,"family_atmosphere, cozy, not_big, no_evident_not_family_atmosphere, no_evident_not_cozy, no_evident_not_not_big"
53,good_facility,"nice, renovated, no_evident_not_nice, no_evident_not_renovated, this_format_adheres_to_all_specified_requirements, ensuring_clarity_and_consistency_in_the_argumentation"
63,good_facility,"exceptional, high, up_to_4, no_evident_not_exceptional, no_evident_not_high, no_evident_not_up_to_4"
66,good_facility,"welcoming_entrance, no_evident_not_welcoming_entrance"
69,good_facility,"place, people, no_evident_not_place, no_evident_not_people"
70,good_facility,"peaceful, clean, no_evident_not_peaceful, no_evident_not_clean"
76,good_facility,"new, no_evident_not_new, clean, no_evident_not_clean"
80,good_facility,"new_hotel_no_evident_not_new_hotel, clean_hotel_no_evident_not_clean_hotel"
81,bad_facility,"no_24_hour_reception, not_easy_to_access_entry_at_odd_hours, have_evident_no_24_hour_reception, have_evident_not_easy_to_access_entry_at_odd_hours"
84,bad_facility,"no_pool, have_evident_no_pool, have_evident_pool"
84,good_facility,"spotless_clean_everything, plenty_of_chairs_outside_garden, no_evident_not_spotless_clean_everything, no_evident_not_plenty_of_chairs_outside_garden"
86,good_facility,"lovely_hotel, little_hotel, friendly_staff, no_evident_not_lovely_hotel, no_evident_not_little_hotel, no_evident_not_friendly_staff"
88,good_facility,"clean_hotel, no_evident_not_clean_hotel, comfortable_hotel, no_evident_not_comfortable_hotel, little_hotel, no_evident_not_little_hotel, hotel, no_evident_not_hotel"
90,bad_facility,"no_own_parking_lot, have_evident_no_own_parking_lot, difficult_to_find_parking, have_evident_difficult_to_find_parking, parking_not_always_easy, have_evident_parking_not_always_easy"
94,good_facility,"modern_facility, no_evident_not_modern_facility"
98,good_facility,"nice_hotel, spacious_hotel, clean_hotel, modern_hotel, no_evident_not_nice_hotel, no_evident_not_spacious_hotel, no_evident_not_clean_hotel, no_evident_not_modern_hotel, this_format_adheres_to_the_conditions_specified, ensuring_each_attribute_is_presented_as_a_support_with_its_corresponding_contrary"
109,good_facility,"clean, no_evident_not_clean"
110,good_facility,"refurbished, no_evident_not_refurbished, comfortable, no_evident_not_comfortable, this_format_adheres_to_the_specified_conditions, ensuring_each_support_is_paired_with_its_contrary_without_unnecessary_adjectives_or_adverbs"
112,good_facility,"nice_hotel, spacious_hotel, clean_hotel, modern_hotel, no_evident_not_nice_hotel, no_evident_not_spacious_hotel, no_evident_not_clean_hotel, no_evident_not_modern_hotel"
114,bad_facility,"no_pool, have_evident_no_pool"
114,good_facility,"immaculate_hotel, no_evident_not_immaculate_hotel, clean_hotel, no_evident_not_clean_hotel"
123,good_facility,"nice_hotel, no_evident_not_nice_hotel, simple_hotel, no_evident_not_simple_hotel"
130,good_facility,"the_response_to_your_query_about_whether_the_hotel_allows_staying_with_animals_would_involve_identifying_any_specific_information_related_to_animal_accommodations_from_the_given_text_however, based_on_the_provided_text, none_since_there_is_no_explicit_information_about_animal_accommodations_in_the_original_text, none, thus, the_final_response_would_simply_be"
133,bad_facility,"no_own_parking_lot, have_evident_no_own_parking_lot, difficult_to_find_parking, have_evident_difficult_to_find_parking, no_swimming_pool, have_evident_no_swimming_pool"
134,good_facility,"lovely, clean, no_evident_not_lovely, no_evident_not_clean"
135,good_facility,"modern, clean, no_evident_not_modern, no_evident_not_clean"
