ID,Prompt,PhraseA,PhraseB,Test 2
1,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_quality. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,great_quality,Yes
2,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,great_price,Yes
3,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,value_for_money,Yes
4,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_facility_for_tariff_charge. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,good_facility_for_tariff_charge,Yes
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,great_value_for_money,Yes
6,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,good_value_for_money,Yes
7,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is exceptional_value. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,exceptional_value,Yes
8,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_value. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,good_value,Yes
9,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is reasonable_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,reasonable_price,Yes
10,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is beautiful_hotel_for_cheap_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,beautiful_hotel_for_cheap_price,Yes
11,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_for_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,great_for_price,Yes
12,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is excellent_value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,excellent_value_for_money,Yes
13,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is worth_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,worth_price,Yes
14,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is cheap. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,cheap,Yes
15,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_rate_for_excellent_accommodation. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,good_rate_for_excellent_accommodation,Yes
16,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_hotel_for_ £50_per_night. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,good_hotel_for_ £50_per_night,Yes
17,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is room_excellent_value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,room_excellent_value_for_money,Yes
18,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is location_excellent_value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,location_excellent_value_for_money,Yes
19,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is worth_every_Euro_spend. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,worth_every_Euro_spend,Yes
20,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is economic_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,economic_price,Yes
21,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is not_expensive_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,not_expensive_price,Yes
22,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is great_value. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,great_value,Yes
23,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is right_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,right_price,Yes
24,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is right_performance. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,right_performance,Yes
25,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is cheap_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,cheap_price,Yes
26,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is full_value_for_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,full_value_for_price,Yes
27,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is good_value_for_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,good_value_for_price,Yes
28,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is undervalue_establishment. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,undervalue_establishment,Yes
29,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is cheap_room. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,cheap_room,Yes
30,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is satisfied_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,satisfied_price,No
31,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is unbeatable_value_for_money. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,unbeatable_value_for_money,Yes
32,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is excellent_price. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,excellent_price,Yes
33,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is excellent_quality_ratio. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,excellent_quality_ratio,Yes
34,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Question] Phrase B is perfect_price_for_what_we_expect. Phrase A is have_evident_unlabeled_shampoo_dispenser_for_this_price.",have_evident_unlabeled_shampoo_dispenser_for_this_price,perfect_price_for_what_we_expect,Yes
