ID,Prompt,Topic,Test 2
1,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.

---

ASSISTANT:
exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us

---

USER:
[Text] Staff is extremely helpful and easy to communicate with",good_staff,"helpful_staff , easy_to_communicate_with_staff , no_evident_not_helpful_staff , no_evident_not_easy_to_communicate_with_staff"
2,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.

---

ASSISTANT:
exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us

---

USER:
[Text] The staff was very nice and helpful!",good_staff,"nice_staff , helpful_staff , no_evident_not_nice_staff , no_evident_not_helpful_staff"
4,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.

---

ASSISTANT:
exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us

---

USER:
[Text] Great stuff",good_staff,"great_stuff , no_evident_not_great_stuff"
8,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.

---

ASSISTANT:
exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us

---

USER:
[Text] lovely personal",good_staff,"lovely_personal , no_evident_not_lovely_personal"
9,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.

---

ASSISTANT:
exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us

---

USER:
[Text] very helpful host showed us how nearby bus takes to town-cntre (and airport by the way",good_staff,"helpful_host , host_showed_bus_to_town_centre , host_showed_bus_to_airport , no_evident_not_helpful_host , no_evident_not_host_showed_bus_to_town_centre , no_evident_not_host_showed_bus_to_airport"
11,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.

---

ASSISTANT:
exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us

---

USER:
[Text] The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",good_staff,"amazing_staff , Maria_great_reception , Maria_explain_where_to_go , Maria_explain_how_to_get_there , Maria_helpful , Richard_friendly_chef , Richard_nice_guy , cleaning_lady_friendly , cleaning_lady_nice_to_talk_to , owners_great , no_evident_not_amazing_staff , no_evident_not_Maria_great_reception , no_evident_not_Maria_explain_where_to_go , no_evident_not_Maria_explain_how_to_get_there , no_evident_not_Maria_helpful , no_evident_not_Richard_friendly_chef , no_evident_not_Richard_nice_guy , no_evident_not_cleaning_lady_friendly , no_evident_not_cleaning_lady_nice_to_talk_to , no_evident_not_owners_great"
12,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.

---

ASSISTANT:
exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.",good_staff,"exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us"
13,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.

---

ASSISTANT:
exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us

---

USER:
[Text] The staff are so welcoming, we felt like staying with family.",good_staff,"welcoming_staff , staff_feel_like_family , no_evident_not_welcoming_staff , no_evident_not_staff_feel_like_family"
14,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""bad_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""have evident"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The receptionist didn't speak English properly

---

ASSISTANT:
staff_didn_t_speak_english_properly , have_evident_staff_didn_t_speak_english_properly

---

USER:
[Text] The receptionist didn't speak English properly",bad_staff,"staff_didn_t_speak_english_properly , have_evident_staff_didn_t_speak_english_properly"
15,"SYSTEM:
Generate text in Assumption Based Argumentation (ABA) format from the given text. Use the following conditions carefully.
1. Claim is ""good_staff"".
2. Supports are written in short words with no adjectives and no adverbs if it is not necessary for understanding.
3. For each support, use vocab from the original text. Do not provide synonyms. Check grammar. Do not provide further opinion.
4. Add a contrary for each support as a new support.
5. Each contrary must use the same word as presented in the support and each contrary starts with ""no evident not"".
6. Regarding the format of answer, provide a list of all supports and contraries. Do not separate supports and contraries into separated sections. Do not provide assumptions. Do not provide claims.

---

USER:
[Text] The staff were exceptional. So helpful and friendly. Went out of their way for us.

---

ASSISTANT:
exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us

---

USER:
[Text] The staff make it",good_staff,"staff_make_it , no_evident_not_staff_make_it"
