ID,Output
1,"staff is extremely helpful
no evident not staff is extremely helpful
staff is easy to communicate with
no evident not staff is easy to communicate with"
2,"staff was nice
no evident not staff was helpful
staff was nice
no evident not staff was helpful"
4,"great stuff
no evident not stuff
great stuff
no evident not stuff"
8,"lovely
personal
no evident not lovely
no evident not personal"
9,"host showed us bus town-cntre
no evident not host showed us bus town-cntre
bus takes town-cntre
no evident not bus takes town-cntre"
11,"staff are amazing
Maria is great
Richard is friendly
cleaning lady is friendly
Richard is not evident not friendly
cleaning lady is not evident not friendly"
12,"staff were exceptional
helpful
friendly
went way
helpful
friendly
went way
no evident not helpful
no evident not friendly
no evident not went way"
13,"staff are welcoming
no evident not staff are welcoming"
14,"bad_staff
didn't speak
have evident didn't speak
didn't speak
have evident didn't speak"
15,"staff make it
no evident not staff
no evident not make it"
17,"good_staff
staff were friendly
no evident not staff were not friendly
staff were supportive
no evident not staff were not supportive
staff helped wishes
no evident not staff did not help wishes"
18,"staff friendly
no evident not staff friendly
dining staff
no evident not dining staff
reception staff
no evident not reception staff"
20,"friendly stuff
no evident not stuff
no evident not stuff"
21,"staff
owners
Richard
super fresh food
kind
no evident not staff
no evident not owners
no evident not Richard
no evident not super fresh food
no evident not kind"
22,"staff very accomodating
no evident not staff very accomodating"
26,"staff
receptionist
Maria
amazing
no evident not staff
no evident not receptionist
no evident not Maria
no evident not amazing"
27,"friendly staff
no evident not staff
no evident not staff"
28,"staff is very polite
no evident not staff is caring
staff is very polite
no evident not staff is caring"
29,"staff
helpful
no evident not helpful
staff"
30,"staff were lovely
no evident not staff were lovely
service was great
no evident not service was great"
31,"friendly staff
no evident not friendly
no evident not staff"
32,"staff
kind
no evident not staff
kind"
33,"staff
helpful
no evident not helpful
staff
helpful
no evident not helpful"
34,"welcoming
no evident not welcoming"
36,"good staff
explained information
no evident not explained information"
37,"lovely
caring
staff
no evident not lovely
no evident not caring
no evident not staff"
41,"staff
helpful
no evident not helpful
staff
friendly
no evident not friendly"
42,"good_staff
hospitality
no evident not hospitality
no evident not hospitality"
44,"warm welcome
reception
dining staff
no evident not warm welcome
no evident not reception
no evident not dining staff"
47,"staff
taxi
morning
no evident not taxi
no evident not morning"
48,"lovely owner
no evident not owner
lovely owner
no evident not owner"
51,"staff very helpful
no evident not staff very helpful
staff very friendly
no evident not staff very friendly"
56,"amazing hospitality from the staff
no evident not staff
no evident not staff"
57,"staff was helpful
taxi ordered
no evident not taxi ordered
staff was helpful
no evident not taxi ordered"
58,"staff were nice
no evident not staff were nice
staff were helpful
no evident not staff were helpful"
61,"good service
service is good
no evident not service"
62,"good_staff
helpful
no evident not helpful
caring
no evident not caring"
64,"staff reached out
advance provided
instructions detailed
reception closes
no evident not staff reached out
no evident not advance provided
no evident not instructions detailed
no evident not reception closes"
66,"good staff
friendly
no evident not friendly
lovely
no evident not lovely"
67,"friendly staff
no evident not staff
no evident not staff"
68,"friendly
no evident not friendly"
69,"lovely place
lovely people
no evident not lovely place
no evident not lovely people"
70,"friendly
helpful
no evident not friendly
no evident not helpful"
71,"staff is friendly
no evident not staff is unfriendly
staff is nice
no evident not staff is unpleasant
staff is friendly
no evident not staff is indifferent"
73,"staff
assist
always
assist
no evident not staff
no evident not assist
no evident not always"
74,"staff is friendly
no evident not staff is unfriendly
staff is nice
no evident not staff is unpleasant
staff is friendly
no evident not staff is indifferent"
77,"staff is helpful
eager to assist
no evident not helpful
no evident not assist"
78,"good_staff
friendly
no evident not friendly"
79,"friendly
helpful
no evident not friendly
no evident not helpful"
82,"amazing staff
no evident not staff
amazing staff
no evident not staff"
83,"good_staff
nice
no evident not nice
friendly
no evident not friendly"
84,"staff serving values customer polite caring
no evident not staff serving values customer polite caring"
85,"friendly personnel
no evident not friendly
no evident not personnel"
85,"bad_staff
cleaning
after
complaint
cleaning
after
complaint
have evident
cleaning
after
complaint"
86,"staff
no evident not staff
friendly
no evident not friendly"
87,"staff
friendly
no evident not friendly
staff
friendly
no evident not friendly"
88,"lovely
friendly
staff
no evident not lovely
no evident not friendly
no evident not staff"
91,"helpful
no evident not friendly
friendly
no evident not helpful"
94,"amazing staff
no evident not amazing staff
amazing staff
no evident not amazing staff"
96,"staff is nice
no evident not staff is nice"
97,"service
was
excellent
no evident not service
no evident not was
no evident not excellent"
99,"staff was wonderful
no evident not staff was wonderful
staff was wonderful
no evident not staff was wonderful"
100,"exceptional staff
no evident not polite
exceptional staff
no evident not polite"
101,"staff were hospitable
no evident not staff were helpful
staff were helpful
no evident not staff were hospitable"
102,"staff
no evident not staff
friendly
no evident not friendly"
105,"staff was nice
no evident not staff was nice
was nice
no evident not was nice"
106,"staff learn English
have evident staff learn English
English learn
have evident staff learn English"
109,"staff
helpful
no evident not helpful
staff
helpful
no evident not helpful"
113,"good_staff
staff excellent
no evident not staff excellent
staff accommodating
no evident not staff accommodating"
114,"staff emailed me via booking.com
no evident not arrival
staff asked me what time
no evident not arrival
staff told me bus routes
no evident not arrival"
115,"good staff
helpful
no evident not helpful
nice
no evident not nice"
118,"front desk are perfect
no evident not front desk are perfect"
