ID,Topic,Output
1,good_food,"tasty_food, comfortable_restaurant_for_cozy_evening, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evening, no_evident_not_comfortable_restaurant_for_calm_work"
2,good_food,"amazing_breakfast, fresh_breakfast, handmade_breakfast, no_evident_not_amazing_breakfast, no_evident_not_fresh_breakfast, no_evident_not_handmade_breakfast, vegetarian_version_with_humus, great_cook, kind_staff, helpful_staff, no_evident_not_vegetarian_version_with_humus, no_evident_not_great_cook, no_evident_not_kind_staff, no_evident_not_helpful_staff"
11,good_food,"good_food, reasonable_prices, no_evident_good_food, no_evident_reasonable_prices"
12,good_food,"lovely_breakfast, room_service, no_evident_not_lovely_breakfast, no_evident_not_room_service"
16,good_food,"tasty_food, cared_about_details, lots_of_olive_oil, many Herbs, no_evident_not_tasty_food, no_evident_not_cared_about_details, no_evident_not_lots_of_olive_oil, no_evident_not_many_Herbs"
18,good_food,"well_prepared_meals, good_value, no_evident_not_well_prepared_meals, no_evident_not_good_value"
21,good_food,"delicious_breakfast, delicious_dinner, no_evident_not_delicious_breakfast, no_evident_not_delicious_dinner"
22,bad_food,"not_great_pizza, stodgy_pizza, have_evident_great_pizza, have_evident_not_stodgy_pizza"
22,good_food,"nice_area, no_evident_not_nice_area"
26,good_food,"good_food, not_to_pricey, no_evident_good_food, no_evident_not_to_pricey"
31,good_food,"great_restaurant_beneath_hotel, excellent_food, reasonably_priced, no_evident_great_restaurant_beneath_hotel, no_evident_excellent_food, no_evident_reasonably_priced"
33,good_food,"good_breakfast_within_hotel, save_time, no_evident_good_breakfast_within_hotel, no_evident_save_time"
36,good_food,"chef_polite, excellent_food, passionate_chef, no_evident_not_chef_polite, no_evident_not_excellent_food, no_evident_not_passionate_chef"
36,bad_food,"no_opening_times, no_closing_times, have_evident_no_opening_times, have_evident_no_closing_times"
41,good_food,"nice_breakfast, no_evident_not_nice_breakfast"
45,good_food,"good_food, reasonably_priced, easy_choice_to_eat_at_hotel, no_evident_good_food, no_evident_reasonably_priced, no_evident_easy_choice_to_eat_at_hotel"
53,good_food,"delicious_breakfasts, hotel_restaurant, no_evident_not_delicious_breakfasts, no_evident_not_hotel_restaurant"
56,bad_food,"great_breakfast_7, start_at_8, have_evident_great_breakfast_7, have_evident_start_at_8"
61,good_food,"excellent_range_of_food_offered, no_evident_not_excellent_range_of_food_offered"
62,good_food,"restaurant_on_site, no_evident_not_restaurant_on_site"
64,good_food,"made_pizza, nice_pizza, no_evident_made_pizza, no_evident_nice_pizza"
66,good_food,"chic_bar_and_coffee_shop, no_evident_not_chic_bar_and_coffee_shop"
74,good_food,"delicious_food, restaurant_in_hotel, no_evident_delicious_food, no_evident_restaurant_in_hotel"
80,good_food,"dinner_was_had, food_was_delicious, food_was_inexpensive, no_evident_not_dinner_was_had, no_evident_not_food_was_delicious, no_evident_not_food_was_inexpensive"
84,good_food,"good_breakfast, plenty_of_selection, clean_breakfast_room, no_evident_good_breakfast, no_evident_plenty_of_selection, no_evident_clean_breakfast_room"
86,good_food,"excellent_breakfast, no_evident_not_excellent_breakfast"
87,good_food,"nice_restaurant, no_evident_not_nice_restaurant"
93,good_food,"nice_restaurant, welcoming, nice_offer, no_evident_nice_restaurant, no_evident_welcoming, no_evident_nice_offer"
94,good_food,"tasty_food, super_service, no_evident_not_tasty_food, no_evident_not_super_service"
97,good_food,"excellent_food, no_evident_not_excellent_food"
107,good_food,"excellent_breakfast, no_evident_not_excellent_breakfast"
112,good_food,"nice_restaurant, good_food, good_service, no_evident_not_nice_restaurant, no_evident_not_good_food, no_evident_not_good_service"
118,good_food,"delicious, no_evident_not_delicious"
126,good_food,"tasty_food, no_evident_not_tasty_food"
132,good_food,"delicious_breakfast, many_choices, no_evident_delicious_breakfast, no_evident_many_choices"
134,good_food,"great_chef, no_evident_not_great_chef"
139,good_food,"nice_restaurant, external_balcony, no_evident_not_nice_restaurant, no_evident_not_external_balcony"
140,good_food,"great_breakfast, no_evident_not_great_breakfast"
145,good_food,"rich_breakfast, various_local_food, tasty_dinner, no_evident_not_rich_breakfast, no_evident_not_various_local_food, no_evident_not_tasty_dinner"
153,good_food,"beautiful_breakfast, reasonably_priced_breakfast, no_evident_beautiful_breakfast, no_evident_reasonably_priced_breakfast"
155,good_food,"enjoyed_dinner, freshmade_food, prepared_by_cheff, no_evident_enjoyed_dinner, no_evident_freshmade_food, no_evident_prepared_by_cheff"
158,good_food,"amazing_breakfast, no_evident_not_amazing_breakfast"
162,good_food,"delicious_breakfast, no_evident_not_delicious_breakfast"
167,good_food,"good_food, super_excellent_food, no_evident_good_food, no_evident_super_excellent_food"
168,good_food,"good_food, tasty_food, no_evident_good_food, no_evident_tasty_food"
169,good_food,"good_food, great_service, no_evident_not_good_food, no_evident_not_great_service"
170,good_food,"excellent_food, richard_prepared_fish, fish_best_tasted, no_evident_not_excellent_food, no_evident_not_richard_prepared_fish, no_evident_not_fish_best_tasted"
180,good_food,"delicious_breakfast, great_freshly_made_croissants, no_evident_not_delicious_breakfast, no_evident_not_great_freshly_made_croissants"
183,good_food,"good_food, terrific_food, no_evident_good_food, no_evident_terrific_food"
184,good_food,"chef_kind, food_delicious, jasmine_burger_delicious, no_evident_chef_kind, no_evident_food_delicious, no_evident_jasmine_burger_delicious"
185,good_food,"breakfast_served_until_noon, no_evident_not_breakfast_served_until_noon"
190,good_food,"excellent_breakfast, no_evident_not_excellent_breakfast"
198,good_food,"amazing_food, passionate_cooking, made_from_scratch, fresh_and_good_look, simple_breakfast_amazing, lunch_table_feast, no_evident_not_amazing_food, no_evident_not_passionate_cooking, no_evident_not_made_from_scratch, no_evident_not_fresh_and_good_look, no_evident_not_simple_breakfast_amazing, no_evident_not_lunch_table_feast"
200,good_food,"5_star_food, best_club_sandwich, no_evident_5_star_food, no_evident_best_club_sandwich"
209,good_food,"loved_breakfast, no_evident_not_loved_breakfast"
211,good_food,"breakfast_for_charge_same_as_anywhere_else, enormous_size, very_delicious, no_evident_breakfast_for_charge_same_as_anywhere_else, no_evident_enormous_size, no_evident_very_delicious"
213,good_food,"good_food, kind_chef, no_evident_not_good_food, no_evident_not_kind_chef"
221,good_food,"outstanding_breakfast, no_evident_not_outstanding_breakfast"
226,good_food,"excellent_staff_owners, ok_restaurant, no_evident_excellent_staff_owners, no_evident_ok_restaurant"
232,good_food,"terrific_late_breakfast_at_café_downstairs, manager_catered_to_needs, no_evident_not_terrible_late_breakfast_at_café_downstairs, no_evident_not_manager_did_not_cater_to_needs"
233,good_food,"amazing_breakfast, beautiful_setting, wonderful_management, no_evident_not_amazing_breakfast, no_evident_not_beautiful_setting, no_evident_not_wonderful_management, far_from_local_shop, everything_we_need_in_cafe, no_evident_not_far_from_local_shop, no_evident_not_everything_we_need_in_cafe"
236,good_food,"good_breakfast, extra_good_breakfast, no_evident_not_good_breakfast, no_evident_not_extra_good_breakfast"
245,good_food,"awesome_restaurant, great_chef, friendly, makes_you_want_to_extend_vacation, felt_like_part_of_their_community, opennes, no_evident_awesome_restaurant, no_evident_great_chef, no_evident_friendliness, no_evident_makes_you_want_to_extend_vacation, no_evident_felt_like_part_of_their_community, no_evident_opennes"
246,good_food,"good_food, friendly_chef, no_evident_not_good_food, no_evident_not_friend_chef"
250,good_food,"lovely_rooms, modern_rooms, comfortable_rooms, no_evident_not_lovely_rooms, not_modern_rooms, not_comfortable_rooms, lovely_lobby, modern_lobby, comfortable_lobby, no_evident_not_lovely_lobby, not_modern_lobby, not_comfortable_lobby, lovely_restaurant, modern_restaurant, comfortable_restaurant, no_evident_not_lovely_restaurant, not_modern_restaurant, not_comfortable_restaurant, fabulous_food, impressed_with_chef_richard, no_evident_not_fabulous_food, not_impressed_with_chef_richard"
252,good_food,"freshly_made_breakfast, delicious_breakfast, no_evident_not_freshly_made_breakfast, no_evident_not_delicious_breakfast"
258,good_food,"delicious_food, tranquility, no_evident_not_delicious_food, no_evident_not_tranquility"
260,good_food,"delicious_breakfast, no_evident_not_delicious_breakfast"
262,good_food,"terrific_breakfast_on_terrace, no_evident_not_terrific_breakfast_on_terrace"
268,good_food,"good_breakfast_available, no_evident_not_good_breakfast_available"
272,good_food,"good_breakfast, tasty_breakfast, no_evident_not_good_breakfast, no_evident_not_tasty_breakfast"
278,good_food,"good_food, superb_food, no_evident_good_food, no_evident_superb_food"
279,bad_food,"no_breakfast_included, no_menu_breakfast, have_evident_no_breakfast_included, have_evident_no_menu_breakfast"
279,good_food,"charged_for_breakfast, nice_hot_breakfast, no_evident_charged_for_breakfast, no_evident_nice_hot_breakfast"
282,good_food,"tasty_breakfast, no_evident_not_tasty_breakfast"
288,good_food,"good_breakfast, tasty_breakfast, no_evident_not_good_breakfast, no_evident_not_tasty_breakfast"
