ID,Output
4,"great_quality, no_evident_not_great_quality"
34,"value_for_money, no_evident_not_value_for_money"
44,"facilities_were_good, no_evident_not_facilities_were_good, particularly_for_tariff_charged, no_evident_not_particularly_for_tariff_charged"
46,"great_value_for_money, no_evident_not_great_value_for_money"
47,"great_value_for_money, no_evident_not_great_value_for_money"
49,"great_value_for_money, no_evident_not_great_value_for_money"
63,"exceptional_value, no_evident_not_exceptional_value"
68,"good_value, no_evident_not_good_value"
125,"reasonable_price, no_evident_not_reasonable_price"
133,"great_value_for_money, no_evident_not_great_value_for_money"
136,"cheap_price, no_evident_not_cheap_price"
149,"great_value_for_price, no_evident_not_great_value_for_price"
155,"excellent_value_for_money, no_evident_not_excellent_value_for_money"
156,"very_good_value_for_money, no_evident_not_very_good_value_for_money"
203,"worth_the_price, no_evident_not_worth_the_price"
206,"good_value, no_evident_not_good_value"
212,"very_cheap, no_evident_not_very_cheap"
230,"very_good_value, no_evident_not_very_good_value"
232,"great_price, no_evident_not_great_price, our_purpose, no_evident_not_our_purpose"
234,"rate, no_evident_not_rate, accommodation, no_evident_not_accommodation"
241,"price_was_expensive, have_evident_price_was_expensive
dispenser_attached_to_shower_wall, have_evident_dispenser_attached_to_shower_wall
shampoo_was_not_nice, have_evident_shampoo_was_not_nice
hotel_cost_was_cheap, have_evident_hotel_cost_was_cheap"
265,"£50_a_night, no_evident_not_£50_a_night"
287,"good_value, no_evident_not_good_value"
290,"excellent_value_for_money, no_evident_not_excellent_value_for_money, great_value_for_money, no_evident_not_great_value_for_money, lovely_balcony_view, no_evident_not_lovely_balcony_view"
295,"worth_every_euro, no_evident_not_worth_every_euro"
313,"fantastic_value_for_money, no_evident_not_fantastic_value_for_money"
323,"great_value_for_money, no_evident_not_great_value_for_money"
334,"very_economic, no_evident_not_very_economic"
338,"value_for_money, no_evident_not_value_for_money"
340,"very_good_value_for_money, no_evident_not_very_good_value_for_money"
366,"very_good, no_evident_not_very_good, not_expensive, no_evident_not_not_expensive"
396,"price_was_great, no_evident_not_price_was_great"
414,"great_value, no_evident_not_great_value"
416,"value_for_money, no_evident_not_value_for_money"
435,"priced_like_hotel, have_evident_priced_like_hotel"
436,"expensive_for_money, have_evident_expensive_for_money, one_small_water_bottle, have_evident_one_small_water_bottle"
437,"expensive_for_what_you_get, have_evident_expensive_for_what_you_get"
460,"expensive_for_what_it_offers, have_evident_expensive_for_what_it_offers"
471,"exceptional_value_for_money, no_evident_not_exceptional_value_for_money"
474,"expensive_for_facilities, have_evident_expensive_for_facilities"
505,"price_performance, no_evident_not_price_performance"
510,"cheap, no_evident_not_cheap"
524,"gives_full_value_for_price, no_evident_not_gives_full_value_for_price"
527,"excellent_value_for_money, no_evident_not_excellent_value_for_money"
556,"good_value_for_money, no_evident_not_good_value_for_money"
580,"super_establishment, no_evident_not_super_establishment"
590,"reasonable_price, no_evident_not_reasonable_price"
595,"not_included_price, have_evident_not_included_price"
596,"very_clean, no_evident_not_very_clean, cheap, no_evident_not_cheap, modern, no_evident_not_modern"
600,"we_were_satisfied, no_evident_not_we_were_satisfied, corresponds_to_price, no_evident_not_corresponds_to_price"
609,"high_for_comfort_small_room, have_evident_high_for_comfort_small_room"
611,"very_good_value_for_money, no_evident_not_very_good_value_for_money"
619,"great_value_for_money, no_evident_not_great_value_for_money"
631,"excellent_price, no_evident_not_excellent_price
quality, no_evident_not_quality"
715,"worth_the_price, no_evident_not_worth_the_price"
737,"great_value_for_money, no_evident_not_great_value_for_money"
767,"expensive_for_hotel, have_evident_expensive_for_hotel, 3_stars, have_evident_3_stars"
770,"value_for_money, no_evident_not_value_for_money"
775,"perfect_price, no_evident_not_perfect_price"
778,"excellent_value, no_evident_not_excellent_value"
