ID,Topic,Test 1
1,good_food,"tasty_food, comfortable_restaurant, cozy_evenings_and_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant, no_evident_not_cozy_evenings_and_calm_work"
2,good_food,"first_floor_tasty_food, no_evident_not_first_floor_tasty_food, comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_comfortable_restaurant_for_calm_work, fresh_food, no_evident_not_fresh_food, handmade_food, no_evident_not_handmade_food, vegetarian_food_with_hummus, no_evident_not_vegetarian_food_with_hummus, great_cook, no_evident_not_great_cook, kind_staff, no_evident_not_kind_staff"
11,good_food,"great_food, very_reasonable_prices, no_evident_not_great_food, no_evident_not_very_reasonable_prices"
12,good_food,"good_breakfast, room_service_available, no_evident_not_good_breakfast, no_evident_not_room_service_available"
16,good_food,"restaurant, no_evident_not_restaurant, food, no_evident_not_food, tasty, no_evident_not_tasty, care, no_evident_not_care, olive_oil_galore, no_evident_not_olive_oil_galore, herbs, no_evident_not_herbs, delicious, no_evident_not_delicious"
18,good_food,"tasty, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, for_each_support, no_evident_not_tasty, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work, well_prepared, good_value, no_evident_not_well_prepared, no_evident_not_good_value"
21,good_food,"breakfast_is_delicious_no_evident_not_breakfast_is_delicious, lunch_is_delicious_no_evident_not_lunch_is_delicious, dinner_is_delicious_no_evident_not_dinner_is_delicious"
22,bad_food,"have_evident_bad_food, too_stodgy, have_evident_too_stodgy"
22,good_food,"restaurant_area, no_evident_not_restaurant_area, nice, no_evident_not_nice"
26,good_food,"restaurant, no_evident_not_restaurant, cheap, no_evident_not_cheap"
31,good_food,"food_excellent, reasonably_priced, no_evident_not_food_excellent, no_evident_not_reasonably_priced"
33,good_food,error_timeout_after_180s_while_waiting_for_model_response_skipping
36,bad_food,"no, have_evident_no, this_captures_the_idea_that_there_was_no_information_about_opening_or_closing_times, which_could_be_seen_as_a_negative_aspect"
36,good_food,"excellent_food, no_evident_not_excellent_food, passion_in_presentation, no_evident_not_passion_in_presentation"
41,good_food,"tasty, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work"
45,good_food,"very_reasonably_priced, an_easy_choice_to_eat_at_the_hotel, no_evident_not_good_food, no_evident_not_very_reasonably_priced, no_evident_not_an_easy_choice_to_eat_at_the_hotel"
53,good_food,"delicious, no_evident_not_delicious, breakfasts, no_evident_not_breakfasts"
56,bad_food,"great_breakfast, have_evident_great_breakfast, for_each_support"
61,good_food,"tasty, food, comfortable, restaurant, no_evident_not_tasty, no_evident_not_comfortable, this_format_adheres_to_the_specified_guidelines, ensuring_that_each_support_is_paired_with_its_contrary_and_that_all_necessary_elements_are_included_without_unnecessary_adjectives_or_adverbs"
62,good_food,"restaurant, on_site, no_evident_not_restaurant, no_evident_not_on_site"
64,good_food,"tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work"
66,good_food,"chic_bar, chic_coffee_shop, no_evident_not_chic_bar, no_evident_not_chic_coffee_shop"
74,good_food,"here_s_the_updated_aba_format_incorporating_your_new_sentence, tasty_food, no_evident_not_tasty_food, comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_comfortable_restaurant_for_calm_work, restaurant, no_evident_not_restaurant"
80,good_food,"delicious, inexpensive, no_evident_not_delicious, no_evident_not_inexpensive"
84,good_food,"the_breakfast_was_good, no_evident_not_the_breakfast_was_good, of_selection, no_evident_not_of_selection"
86,good_food,"breakfast, no_evident_not_breakfast, excellent"
87,good_food,"nice, no_evident_not_nice"
93,good_food,"nice_restaurant, same_building, welcoming, nice_offer, no_evident_not_nice_restaurant, no_evident_not_same_building, no_evident_not_welcoming, no_evident_not_nice_offer"
94,good_food,"tasty_food, super_service, no_evident_not_tasty_food, no_evident_not_super_service"
97,good_food,"excellent, no_evident_not_excellent"
107,good_food,"breakfast, no_evident_not_breakfast, excellent"
112,good_food,"restaurant, no_evident_not_restaurant, food, no_evident_not_food, service, no_evident_not_service"
118,good_food,"delicious_hotel_restaurant, no_evident_not_delicious_hotel_restaurant"
126,good_food,"tasty, no_evident_not_tasty, comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_comfortable_restaurant_for_calm_work"
132,good_food,"delicious, freshly_prepared, many_choices, no_evident_not_delicious, no_evident_not_freshly_prepared, no_evident_not_many_choices"
134,good_food,"tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, great_chef, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work, no_evident_not_great_chef"
139,good_food,"nice_restaurant, no_evident_not_nice_restaurant, external_balcony, no_evident_not_external_balcony"
140,good_food,"breakfast, no_evident_not_breakfast"
145,good_food,"rich_breakfast_with_various_local_food, dinner_on_the_terrace_everything_was_tasty, no_evident_not_rich_breakfast_with_various_local_food, no_evident_not_dinner_on_the_terrace_everything_was_tasty"
153,good_food,"beautiful, no_evident_not_beautiful, fresh, no_evident_not_fresh, very_reasonably, no_evident_not_very_reasonably, priced, no_evident_not_priced"
155,good_food,"enjoyed_dinner, everything_freshmade, no_evident_not_dinner, no_evident_not_everything_freshmade"
158,good_food,"amazing_breakfasts, no_evident_not_amazing_breakfasts"
162,good_food,"delicious_breakfast, this_supports_the_claim_by_indicating_that_the_breakfast_was_described_as_delicious, the_contrary_for_this_support_would_be_no_evident_not_delicious_breakfast, this_format_adheres_to_all_specified_conditions, ensuring_clarity_and_precision_in_the_argumentation"
167,good_food,"the_food, no_evident_not_the_food, super_excellent, no_evident_not_super_excellent"
168,good_food,"delicious_food_worth_trying, no_evident_not_delicious_food_no_evident_not_worth_trying"
169,good_food,"delish, no_evident_not_delish, great_service, no_evident_not_great_service"
170,good_food,"excellent, best_that_i_ve_ever_tasted, no_evident_not_excellent, no_evident_not_best_that_i_ve_ever_tasted"
180,good_food,"croissants, no_evident_not_croissants"
183,good_food,"tasty_food, no_evident_not_tasty_food, comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_comfortable_restaurant_for_calm_work, the_food_is_terric, no_evident_not_the_food_is_terric"
184,good_food,"chef_was_kind, food_was_delicious, jasmine_burger, no_evident_not_chef_was_kind, no_evident_not_food_was_delicious, no_evident_not_jasmine_burger"
185,good_food,"tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work"
190,good_food,"good_breakfast, no_evident_not_good_breakfast"
198,good_food,"amazing, passion, everything_from_scratch, simple_breakfast, lunch_table, no_evident_not_amazing, no_evident_not_passion, no_evident_not_everything_from_scratch, no_evident_not_simple_breakfast, no_evident_not_lunch_table"
200,good_food,"topnotch, no_evident_not_topnotch, best_club_sandwich, no_evident_not_best_club_sandwich"
209,good_food,"tasty, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work"
211,good_food,"enormous_size, no_evident_not_enormous_size, very_delicious, no_evident_not_very_delicious"
213,good_food,"no_evident_not_good_food, kind, no_evident_not_kind"
221,good_food,"outstanding_breakfast, no_evident_not_outstanding_breakfast"
226,good_food,"here_are_the_aba_arguments_based_on_your_input, excellent_staff_owners, no_evident_not_excellent_staff_owners, an_ok_restaurant, no_evident_not_ok_restaurant"
232,good_food,"late_breakfast, no_evident_not_late_breakfast, manager_catered_to_every_need, no_evident_not_manager_catered_to_every_need"
233,good_food,"amazing_breakfast, no_evident_not_amazing_breakfast, beautiful_setting, no_evident_not_beautiful_setting, everything_in_the_cafe, no_evident_not_everything_in_the_cafe"
236,good_food,"good_breakfast, breakfast_as_an_extra_was_good, no_evident_not_good_breakfast"
245,good_food,"tasty_food, no_evident_not_tasty_food, awesome, no_evident_not_awesome"
246,good_food,"good, no_evident_not_good"
250,good_food,"chefrichard, food_fabulous, no_evident_not_chefrichard, no_evident_not_food_fabulous"
252,good_food,"freshly_made, no_evident_not_freshly_made, delicious, no_evident_not_delicious"
258,good_food,"no_evident_not_food, tranquility, no_evident_not_tranquility"
260,good_food,breakfast
262,good_food,"excellent_breakfast, no_evident_not_good_food, no_evident_not_excellent_breakfast"
268,good_food,"breakfast_no_evident_not_breakfast, available_no_evident_not_available"
272,good_food,"delicious_breakfast, no_evident_not_delicious_breakfast"
278,good_food,"tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, superb_food, for_each_support, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work, no_evident_not_superb_food"
279,bad_food,"not_included_breakfast, no_menu, have_evident_not_included_breakfast, have_evident_no_menu"
279,good_food,"small_restaurant, no_evident_not_small_restaurant, hotel_lobby, no_evident_not_hotel_lobby, 10_euros, no_evident_not_10_euros, very_nice_hot_breakfast, no_evident_not_very_nice_hot_breakfast"
282,good_food,"tasty, no_evident_not_tasty"
288,good_food,"good_breakfast, good, no_evident_not_good, tasty, no_evident_not_tasty"
290,good_food,"good, no_evident_not_good"
295,good_food,"and_contraries, warm_and_cozy_place, no_evident_not_warm_and_cozy_place, tasty_breakfasts_every_morning, no_evident_not_tasty_breakfasts_every_morning, awesome_people, no_evident_not_awesome_people"
300,good_food,"presentable, tasty, no_evident_not_presentable, no_evident_not_tasty"
305,good_food,"tasty, no_evident_not_tasty_food, comfortable_restaurant_for_cozy, no_evident_not_comfortable_restaurant_for_cozy, calm_work, no_evident_not_calm_work"
310,good_food,"breakfasts_were_nice, clean_restaurant, no_evident_not_breakfasts_were_nice, no_evident_not_clean_restaurant"
312,good_food,"tasty, good, no_evident_not_tasty, no_evident_not_good"
322,bad_food,it_seems_like_your_request_is_incomplete_or_unclear_could_you_please_provide_more_context_or_clarify_what_you_mean_by_more_restaurants_i_would_be_happy_to_help_format_it_according_to_aba_standards_if_you_can_specify_how_this_should_be_incorporated_into_the_argumentation_framework
330,good_food,"tasty, no_evident_not_tasty_food, comfortable_restaurant, no_evident_not_comfortable_restaurant_for_cozy_evenings, calm_work, no_evident_not_calm_work"
333,good_food,"tasty_food, comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_tasty_food, no_evident_not_comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_calm_work, each_support_is_paired_with_its_corresponding_contrary, following_the_specified_format"
336,good_food,"dinner, breakfast, no_evident_not_dinner, no_evident_not_breakfast"
339,good_food,"garnish_restaurant_on_the_ground_is_amazing, no_evident_not_garnish_restaurant_on_the_ground_is_amazing, owner_is_a_very_kind_person, no_evident_not_owner_is_a_very_kind_person, creative_chef, no_evident_not_creative_chef"
348,good_food,"typical_cypriot_breakfast, no_evident_not_typical_cypriot_breakfast, no_evident_not_good_food"
353,good_food,"healthy_breakfast, no_evident_not_healthy_breakfast, breakfast_menu, no_evident_not_breakfast_menu, near_transport, no_evident_not_near_transport"
355,good_food,"great_breakfast, breakfast, no_evident_not_breakfast"
362,good_food,"i_recommend_breakfasts, no_evident_not_breakfasts, delicious_breakfasts, no_evident_not_delicious_breakfasts"
366,good_food,"delicious_breakfast, lunch, dinner, 5star_hotel, excellent_chef, perfect, absolutely_fantastic, for_each_support, no_evident_not_delicious_breakfast, no_evident_not_lunch, no_evident_not_dinner, no_evident_not_5star_hotel, no_evident_not_excellent_chef, no_evident_not_perfect, no_evident_not_absolutely_fantastic"
369,good_food,"amazing, no_evident_not_amazing"
373,good_food,"tasty, no_evident_not_tasty, comfortable, no_evident_not_comfortable, cozy_evenings, no_evident_not_cozy_evenings, calm_work, no_evident_not_calm_work, delicious_breakfast, no_evident_not_delicious_breakfast"
375,good_food,"outstanding, no_evident_not_outstanding, delicious, no_evident_not_delicious, even_the_simplest_food_was_made_to_taste_exceptional, no_evident_not_even_the_simplest_food_was_made_to_taste_exceptional"
376,good_food,"incredible, very, friendly, no_evident_not_incredible, no_evident_not_very, no_evident_not_friendly"
377,good_food,"delicious, no_evident_not_delicious"
378,good_food,"here_s_the_text_in_assumption_based_argumentation_aba_format_based_on_your_instructions, delicious, no_evident_not_delicious"
379,good_food,"got, nice_evening_in_bar, no_evident_not_got, no_evident_not_nice_evening_in_bar"
380,bad_food,"more, have_evident_more"
380,good_food,"tasty, no_evident_not_tasty"
383,good_food,"good_breakfast, no_evident_not_good_breakfast"
386,good_food,"friendly, no_evident_not_friendly, welcoming, no_evident_not_welcoming, accommodating, no_evident_not_accommodating"
393,good_food,"tasty_food, no_evident_not_tasty_food, comfortable_restaurant_for_cozy_evenings, no_evident_not_comfortable_restaurant_for_cozy_evenings, comfortable_restaurant_for_calm_work, no_evident_not_comfortable_restaurant_for_calm_work, reasonably_priced, no_evident_not_reasonably_priced, quality, no_evident_not_quality"
394,good_food,"here_s_the_aba_response_based_on_your_text_great_service_by_richard_bar_manager, good_service, no_evident_not_great_service"
