ID,Output
1,"good_staff
staff_helpful
staff_easy_communicate_with
no_evident_not_staff_helpful
no_evident_not_staff_easy_communicate_with"
2,"good_staff
nice_staff
helpful_staff
no_evident_not_nice_staff
no_evident_not_helpful_staff"
4,"good_staff
no_evident_not_good_staff"
8,"good_staff no evident not good_staff
good_staff no evident not good_staff"
9,"helpful_host  
no_evident_not_helpful_host

nearby_bus  
no_evident_not_nearby_bus

town-centre  
no_evident_not_town-centre

airport  
no_evident_not_airport"
11,"good_staff
no_evident_not_good_staff

good_staff
no_evident_not_good_staff

good_staff
no_evident_not_good_staff"
12,"good_staff
staff_helpful
staff_friendly
staff_out_of_their_way
no_evident_not_staff_helpful
no_evident_not_staff_friendly
no_evident_not_staff_out_of_their_way"
13,"good_staff
welcoming no_evident_not_welcoming
family no_evident_not_family"
14,"- bad_staff
- have evident difficulty in communication
- have evident lack of language proficiency
- have evident poor English skills"
15,"good_staff
staff
no_evident_not_staff

good_staff
helpful
no_evidient_not_helpful

good_staff
knowledgeable
no_evident_not_knowledgeable

good_staff
friendly
no_evident_not_friendly"
17,"owner_staff_friendly
no_evident_not_owner_staff_friendly

staff_supportive
no_evident_not_staff_supportive"
18,"friendly reception and dining staff
no evident not friendly reception and dining staff"
20,"friendly stuff
unfriendly stuff"
21,"staff good_staff
no evident not staff good_staff

owners good_staff
no evident not owners good_staff

Richard buys food good_staff
no evident not Richard buys food good_staff

owners kind good_staff
no evident not owners kind good_staff"
22,"staff accomodating
staff not accomodating"
26,"good_staff
staff_wonderful
staff_friendly
receptionist
Maria_nice
Maria_amazing
no_evident_not_staff_wonderful
no_evident_not_staff_friendly
no_evident_not_receptionist
no_evident_not_Maria_nice
no_evident_not_Maria_amazing"
27,"friendly staff
no evident not friendly staff"
28,"staff polite
staff caring
no evident not staff polite
no evident not staff caring"
29,"good_staff
staff_helpful
no_evident_not_staff_helpful
staff_lovely
no_evident_not_staff_lovely"
30,"staff were lovely
service was great
no evident not staff were lovely
no evident not service was great"
31,"friendly staff
no evident not friendly staff"
32,"good_staff
no_evident_not_good_staff"
33,"good_staff
helpful_staff
no_evident_not_helpful_staff
knowledgeable_staff
no_evident_not_knowledgeable_staff
friendly_staff
no_evident_not_friendly_staff"
34,"welcoming
no evident not welcoming

good_staff
no evident not good_staff"
36,"good_staff
no_evident_not_good_staff

clear_explanation
no_evident_not_clear_explanation"
37,"caring
no evident not caring

good_staff
no evident not good_staff"
41,"good_staff
staff_friendly
staff_helpful
no_evident_not_staff_friendly
no_evident_not_staff_helpful"
42,"good_staff
no_evident_not_good_staff

clean_rooms
no_evident_not_clean_rooms

friendly_receptionists
no_evident_not_friendly_receptionists

efficient_service
no_evident_not_efficient_service"
